Sample ID,Fe (%),Fe mg/g
NEON BART-032M,0.64,6.397283951
NEON BART-033M,0.66,6.588748188
NEON BART-034M,0.55,5.475959135
NEON BART-036M,0.32,3.20271581
NEON BART-040M,0.86,8.586287543
NEON BART-042M,0.32,3.196896217
NEON BART-071M,0.35,3.503944773
NEON DELA-001M,0.36,3.552538964
NEON DELA-002M,0.88,8.766055227
NEON DELA-004M,0.86,8.646983968
NEON DELA-014M,0.90,8.956636905
NEON DELA-037M,1.08,10.77811523
NEON DELA-038M,1.14,11.35472222
NEON DELA-041M,1.24,12.3792155
NEON HARV-001M,0.46,4.582634123
NEON HARV-004M,0.46,4.562459579
NEON HARV-010M,0.27,2.69591528
NEON HARV-016M,0.46,4.570476424
NEON HARV-021M,0.29,2.855022266
NEON HARV-033M,0.47,4.74939834
NEON HARV-037M,0.59,5.924077426
NEON LENO-002M,2.00,19.98889223
NEON LENO-003M,1.51,15.10048515
NEON LENO-005M,0.32,3.248991935
NEON LENO-006M,1.31,13.08649709
NEON LENO-062M,0.98,9.849779006
NEON LENO-063M,0.83,8.334782609
NEON LENO-064M,0.43,4.251712062
NEON ORNL-003M,0.15,1.483870968
NEON ORNL-021M,0.11,1.134874759
NEON ORNL-029M,0.29,2.870983213
NEON ORNL-037M,0.08,0.844162189
NEON ORNL-043M,0.08,0.780915287
NEON ORNL-046M,0.07,0.677078086
NEON ORNL-049M,0.09,0.890990543
NEON SERC-001M,0.39,3.861415753
NEON SERC-002M,0.30,2.999023438
NEON SERC-003M,0.26,2.563408521
NEON SERC-005M,0.49,4.865722031
NEON SERC-045M,0.12,1.244312562
NEON SERC-047M,0.22,2.24975025
NEON SERC-049M,0.18,1.832923833
NEON TREE-001M,0.34,3.444552529
NEON TREE-002M,0.63,6.263840079
NEON TREE-003M,0.26,2.630963973
NEON TREE-006M,0.32,3.162175902
NEON TREE-014M,0.23,2.261927945
NEON TREE-041M,0.42,4.224112056
