Count,Sample ID,pct.N,pct.C,C.N,Sample mass
1,BART 036 HF,0.118,2.2,18.6,34.982
2,HARV 001 HF,0.105,1.89,17.9,34.971
3,ORLN 043 HF,0.039,0.64,16.5,34.851
4,LENO 002 HF,0.195,1.66,8.5,35.018
5,ORLN 049 HF,0.051,0.68,13.2,34.964
6,TREE 002 HF,0.07,1.64,23.6,35.006
7,HARV 033 HF,0.227,4.37,19.3,34.903
8,BART 033 HF,0.17,3.28,19.3,34.94
9,SERC 003 HF,0.131,1.54,11.8,35.009
10,DELA 001 HF,0.048,0.48,9.9,34.849
11,LENO 062 HF,0.126,1.14,9.1,35.03
12,DELA 004 HF,0.165,1.61,9.7,34.93
13,SERC 047 HF,0.091,1.31,14.4,34.958
14,HARV 010 HF,0.095,1.96,20.5,35.054
15,ORLN 021 HF,0.079,0.69,8.7,34.931
16,SERC 001 HF,0.115,1.35,11.8,34.968
17,DELA 014 HF,0.16,1.57,9.8,35.054
18,BART 040 HF,0.145,3.03,20.9,34.838
19,LENO 005 HF,0.051,0.49,9.6,35.07
20,LENO 003 HF,0.223,2.15,9.6,35.011
21,ORNL 037 HF,0.062,1,16,35.137
22,BART 034 HF,0.149,3.28,22,35.081
23,ORNL 029 OLF,0.281,9.43,33.6,21.722
24,HARV 004 OLF,0.324,8.16,25.2,21.289
25,ORNL 037 OLF,0.113,4.84,42.9,21.225
26,ORNL 029 FLF,0.14,4,28.7,9.948
27,TREE 001 OLF,0.06,1.73,29.1,22.439
28,BART 040 OLF,0.256,8.39,32.8,21.857
29,HARV 033 OLF,0.652,20.83,31.9,10.525
30,ORNL 049 OLF,0.08,2.55,32,22.085
31,TREE 003 HF,0.122,1.86,15.2,35.382
32,LENO 005 OLF,0.215,4.45,20.7,20.136
33,SERC 002 OLF,0.086,2.94,34.3,20.493
34,BART 032 HF,0.184,3.73,20.2,34.865
35,HARV 016 HF,0.231,4.65,20.2,35.22
36,ORNL 029 HF,0.213,2.35,11.1,35.376
37,TREE 001 HF,0.059,0.82,13.8,34.857
38,SERC 003 OLF,0.07,1.8,25.5,21.067
39,DELA 002 OLF,0.117,4.8,40.9,23.493
40,HARV 004 HF,0.147,2.36,16,34.876
41,HARV 016 OLF,0.467,13.61,29.1,9.158
42,SERC 002 HF,0.136,1.53,11.2,35.447
43,LENO 003 OLF,0.31,8.81,28.5,22.535
44,SERC 001 OLF,0.149,4,26.8,21.895
45,DELA 014 OLF,0.239,8,33.4,24.172
46,BART 034 OLF,0.433,15.26,35.2,10.753
47,TREE 003 OLF,0.251,4.23,16.9,23.939
48,ORNL 003 OLF,0.076,3.55,47.1,20.957
49,LENO 002 OLF,0.159,3.87,24.4,22.165
50,ORNL 003 HF,0.047,0.4,8.5,46.736
51,BART 032 FLF,0.455,11.79,25.9,10.355
52,DELA 002 HF,0.125,1.22,9.8,35.12
53,HARV 016 FLF,0.318,9.42,29.6,10.099
