Date started,Sample ID,mg total soil (aim 5000),FLF tin mass (mg),FLF filter air dry mass (mg),oven-dried FLF+tin+filter dry mass (mg),oLF tin mass (mg),oLF filter air dry mass (mg),oven-dried oLF+tin+filter mass (mg),HF tin mass (mg),oven-dried HF+ tin mass (mg),fLF mass (mg),oLF mass (mg),HF mass (mg),Total fractions mass,% recovery ,flf mass/flf+filter mass,,,,,,,,,,
15 Feb 2021,BART_033,5223.2,1728.9,103.6,1918.7,1707.8,103.8,1853.5,1708.3,6794.5,86.2,41.9,5086.2,5214.3,99.82960637,0.4541622761,,,,,,,,,,
15 Feb 2021,BART_036,5359.3,1709,103.9,1996.3,1720.6,103.5,1871.6,1731.3,6877.7,183.4,47.5,5146.4,5377.3,100.3358648,0.638357118,,,,,,Extra HF tins,"tin mass, mg",tin+dry HF,HF mass (mg),
15 Feb 2021,DELA_001,5310.4,1731.9,102.7,1873.2,1711.1,102.6,1830.9,1739.4,6982.8,38.6,17.2,5243.4,5299.2,99.7890931,0.2731776362,harv 016 2nd tin olf,2nd filter,oven-dry olf+tin+filter mass,olf Harv 016 ,,DELA 002 #2,1719.2,1756.2,37,
15 Feb 2021,DELA_004,5255.9,1740.7,103.3,1881.2,1731.9,102.5,1867.6,1738.7,6812.4,37.2,33.2,5073.7,5144.1,97.87286668,0.2647686833,1735.3,103,1867.4,29.1,,DELA 014 #2,1737.2,1843.7,106.5,
15 Feb 2021,HARV_001,5032.7,1736.5,102.7,1907.5,1731.3,103,1879.2,1738.1,6669.6,68.3,44.9,4931.5,5044.7,100.2384406,0.304200542,,,,^Has been added,,ORNL 029 #2,1769.4,3120.5,1351.1,
15 Feb 2021,HARV_010,5069.8,1732,102.9,1923.8,1736.7,104.2,1879.1,1757.4,6714.2,88.9,38.2,4956.8,5083.9,100.2781175,0.2707299787,,,,,,ORNL 029 #3,1740.7,1777.6,36.9,
15 Feb 2021,HARV_033,5112.8,1746.6,102.2,1915,1719.6,103.2,1951.1,1751.9,6650.1,66.2,128.3,4898.2,5092.7,99.60686903,0.5566160521,,,,,,LENO 003 #2,1754.1,2144.4,390.3,
15 Feb 2021,LENO_002,5188.7,1730.8,103.1,1853.4,1741.9,103.6,1892.5,1739.1,7248.5,19.5,47,5509.4,5575.9,107.4623702,0.3131245836,,,,,,C,N,,^ has been added,
15 Feb 2021,LENO_062,5309.5,1743.1,102.2,1879.6,1744.5,103.1,1869,1748.2,6803.2,34.3,21.4,5055,5110.7,96.25576796,0.1731391586,FLF is ~30% C,FLF %N 0.7-1%,FLF samples are ~30% to 70% of the total mass as FLF,,FLF,9-21 %C,0.21-0.7 %N,,,
15 Feb 2021,ORNL_021,5152,1716.2,103.3,1861.2,1706.4,103.7,1820.5,1694.9,6762.9,41.7,10.4,5068,5120.1,99.38082298,0.09146877748,OLF is ~35-40% C,OLF %N 1-1.5%,OLF samples are 10% to 60% OLF ,,OLF,3-25 %C,0.1-0.9 %N,,,
15 Feb 2021,ORNL_043,5248.5,1767,103.3,1915.9,1723,103.3,1852.5,1721.9,6903,45.6,26.2,5181.1,5252.9,100.0838335,0.2023166023,HF is ~ 2-5% C,HF %N ~0.1-0.2%,,,HF,2-5 %C,0.1-0.2 %N,,,
15 Feb 2021,ORNL_049,5072.9,1748.8,102.8,1894.5,1732.4,104.5,1866.2,1716,6717.5,42.9,29.3,5001.5,5073.7,100.0157701,0.2218016654,,,,,,,,,,
15 Feb 2021,SERC_003,5143.8,1740.7,103.9,1893.6,1760.6,103.3,1876,1737.9,6791.4,49,12.1,5053.5,5114.6,99.4323263,0.1043103448,,,,0.075,,,,,,
15 Feb 2021,SERC_047,5202.4,1733.8,103.6,1933.6,1732.7,103.1,1856,1768.3,6827.9,96.2,20.2,5059.6,5176,99.4925419,0.1631663974,,,,,,,,,,
15 Feb 2021,TREE_002,5312.7,1690,103.8,1862.5,1732.9,103.8,1949.5,1731.4,6833.3,68.7,112.8,5101.9,5283.4,99.44849135,0.5207756233,,,,,,Extra HF tins,"tin mass, mg",tin+dry HF,HF mass (mg),
15 Feb 2021,TREE_014,5182,1697.6,103.6,1839.5,1724.1,102,1850.6,1724.4,6830.3,38.3,24.5,5105.9,5168.7,99.74334234,0.1912568306,,,,,,SERC 005,1726.8,1992.6,265.8,
22 Feb 2021,BART_032,5048.9,1725.7,104.7,2049.6,1721.5,102.8,1925.9,1725.8,6452.8,219.2,101.6,4727,5047.8,99.97821308,0.4924866699,,,,,,DELA 038,1748.2,1766.3,18.1,
22 Feb 2021,BART_034,5053.4,1721.2,102.7,2049.7,1732.6,102.9,1937.5,1751.1,6479.3,225.8,102,4728.2,5056,100.0514505,0.4982901808,,,,,,LENO 006,1747.9,2500.3,576.4,4 balls
22 Feb 2021,BART_040,5122.7,1752.2,102.6,1962.7,1709.5,102.8,1856.6,1748.2,6705.3,107.9,44.3,4957.1,5109.3,99.73841919,0.3015656909,,,,,,,,,^has been added,
22 Feb 2021,DELA_002,5411.2,1737.3,103,1903,1745.8,102.8,1892.8,1743.4,7075,62.7,44.2,5368.6,5475.5,101.1882762,0.3002717391,,,,,,,,,,
22 Feb 2021,DELA_014,5362.5,1746.8,104.4,1910.8,1732.3,103,1885.6,1740.8,7049,59.6,50.3,5414.7,5524.6,103.0228438,0.3251454428,,,,,,,,,,
22 Feb 2021,HARV_004,5003.8,1716.4,103.1,1910.1,1738.8,102.2,1899.1,1734.6,6604.7,90.6,58.1,4870.1,5018.8,100.2997722,0.3604218362,,,,,,,,,,
22 Feb 2021,HARV_016,5516.5,1728.1,103.1,1923.9,1744.4,103.8,1974.6,1727.6,7055.5,92.7,155.5,5327.9,5576.1,101.0803952,0.6013147718,,,,,,,,,,
22 Feb 2021,LENO_003,5151.9,1732.5,103.3,1874.8,1730.8,102.9,1890.4,1739.2,6618.3,39,56.7,5269.4,5365.1,104.1382791,0.354375,,,,,,,,,,
22 Feb 2021,LENO_005,5699.5,1732.4,103.3,1868.3,1722.4,102.9,1874.9,1730.8,7349.9,32.6,49.6,5619.1,5701.3,100.0315817,0.3243950294,,,,,,,,,,
22 Feb 2021,ORNL_003,5367.1,1752.8,103,1898.2,1743,103.5,1873.8,1740.2,7041.9,42.4,27.3,5301.7,5371.4,100.0801178,0.2095165004,,,,,,,,,,
