sampleID,subsampleMassGrams,Soil Origin
BART_032‐M‐39‐30‐20140821‐BA,23.8,"Bartlett, NH, USA"
BART_032‐O‐39‐30‐20140821‐BA,7.5,"Bartlett, NH, USA"
BART_033‐M‐36‐16‐20140820‐BA,21.3,"Bartlett, NH, USA"
BART_033‐O‐3‐37‐20140820‐BA,7.8,"Bartlett, NH, USA"
BART_034‐M‐30‐38‐20140820‐BA,25.1,"Bartlett, NH, USA"
BART_034‐O‐23‐30‐20140820‐BA,6.8,"Bartlett, NH, USA"
BART_036‐M‐33.5‐24.5‐20150728‐BA,23,"Bartlett, NH, USA"
BART_036‐O‐4‐27‐20150728‐BA,5.8,"Bartlett, NH, USA"
BART_040‐M‐26‐9‐20150727‐BA,20.6,"Bartlett, NH, USA"
BART_040‐O‐26‐9‐20150727‐BA,6.2,"Bartlett, NH, USA"
BART_042‐M‐37.5‐24‐20150728‐BA,25.7,"Bartlett, NH, USA"
BART_042‐O‐37.5‐24‐20150728‐BA,7.4,"Bartlett, NH, USA"
BART_071‐M‐39‐19.5‐20150727‐BA,21.1,"Bartlett, NH, USA"
BART_071‐O‐5.5‐38‐20150727‐BA,5.3,"Bartlett, NH, USA"
DELA_001‐M‐6‐6.5‐20190626‐ba,26.5,"Greene County, AL, USA"
DELA_002‐M‐32.5‐18.5‐20190624‐ba,20.7,"Greene County, AL, USA"
DELA_004‐M‐2‐13.5‐20190624‐ba,25.1,"Greene County, AL, USA"
DELA_014‐M‐8.5‐1‐20190624‐ba,25.5,"Greene County, AL, USA"
DELA_037‐M‐17‐3‐20190626‐ba,23.6,"Greene County, AL, USA"
DELA_038‐M‐32.5‐11.5‐20190626‐ba,25.2,"Greene County, AL, USA"
DELA_041‐M‐4‐24‐20190626‐ba,27.4,"Greene County, AL, USA"
HARV_001‐M‐30‐37‐20140715‐BA,27,"Petersham, MA, USA"
HARV_001‐O‐22‐32‐20140715‐BA,6.2,"Petersham, MA, USA"
HARV_004‐M‐9‐4‐20140715‐BA,23.9,"Petersham, MA, USA"
HARV_004‐O‐33.5‐2.5‐20180710‐ba,8.4,"Petersham, MA, USA"
HARV_010‐M‐8‐11‐20140715‐BA,24.6,"Petersham, MA, USA"
HARV_010‐O‐8‐11‐20140715‐BA,7.8,"Petersham, MA, USA"
HARV_016‐M‐16‐7‐20140715‐BA,26.3,"Petersham, MA, USA"
HARV_016‐O‐16‐7‐20140715‐BA,7.4,"Petersham, MA, USA"
HARV_021‐M‐3‐37‐20140717‐BA,25.4,"Petersham, MA, USA"
HARV_021‐O‐36‐16‐20140717‐BA,7.7,"Petersham, MA, USA"
HARV_033‐M‐30‐38‐20140717‐BA,24.8,"Petersham, MA, USA"
HARV_033‐O‐23‐30‐20140717‐BA,6.2,"Petersham, MA, USA"
