name,pubCode,description,startDate,endDate
"biophysicalCriteria","OK - no known exceptions","Sampling occurred on schedule, no known issues",2012-01-01T00:00:00Z,
"biophysicalCriteria","OK - schedule change but conditions met","Sampling occurred not within defined sampling window but reflects the target biophysical conditions",2012-01-01T00:00:00Z,
"biophysicalCriteria","conditions not met","Sampling does not reflect the target biophysical conditions",2012-01-01T00:00:00Z,
"biophysicalCriteria","other","Other potential sample timing inconsistencies described in the remarks",2012-01-01T00:00:00Z,
"biophysicalCriteria","conditions not met: most plants senesced","Sampling does not reflect the target biophysical conditions, most plants senesced",2012-01-01T00:00:00Z,
"biophysicalCriteria","conditions not met: most plants not yet flowering","Sampling does not reflect the target biophysical conditions, most plants not yet in flower",2012-01-01T00:00:00Z,
"biophysicalCriteria","unknown - logistical","Sampling not possible due to logistical considerations",2012-01-01T00:00:00Z,
"biophysicalCriteria","drought conditions","Sampling does not reflect the target biophysical conditions, abundance and composition of flora is drought compromised",2012-01-01T00:00:00Z,
"biophysicalCriteria","conditions not met: drought conditions","Sampling does not reflect the target biophysical conditions, abundance and composition of flora is drought compromised",2012-01-01T00:00:00Z,
"biophysicalCriteria","conditions not met - no photo taken","Conditions at photo point do not support image collection (e.g., localized flooding)",2012-01-01T00:00:00Z,
"biophysicalCriteria","date outside peak green","Sample collected outside of prescribed peak green window",2012-01-01T00:00:00Z,
"hbp.exclosure","N","N",2012-01-01T00:00:00Z,
"hbp.exclosure","Y","Y",2012-01-01T00:00:00Z,
"hbp.hbpType","Non-agricultural","Samples collected from site not managed for agriculture",2012-01-01T00:00:00Z,
"hbp.hbpType","Agricultural","Samples collected from site managed for agriculture",2012-01-01T00:00:00Z,
"hbp.hbpType","Fallow","Samples collected from site managed for agriculture but in fallow crop type",2021-01-01T00:00:00Z,
"hbp.herbGroup","Bryophyte","Bryophyte",2012-01-01T00:00:00Z,
"hbp.herbGroup","Cool Season Graminoids","Cool Season Graminoids",2012-01-01T00:00:00Z,
"hbp.herbGroup","Warm Season Graminoids","Warm Season Graminoids",2012-01-01T00:00:00Z,
"hbp.herbGroup","Leguminous Forbs","Leguminous Forbs",2012-01-01T00:00:00Z,2019-04-20T00:00:00Z
"hbp.herbGroup","N-fixing Plants","Leguminous forbs, other N-fixing herbaceous plants, and N-fixing woody-stemmed plants",2019-04-18T00:00:00Z,
"hbp.herbGroup","Annual and Perennial Forbs","Herbaceous annual and perennial forbs that do not fix nitrogen",2012-01-01T00:00:00Z,
"hbp.herbGroup","Woody-stemmed Plants","Woody-stemmed Plants",2012-01-01T00:00:00Z,
"hbp.herbGroup","All herbaceous plants","All herbaceous plants",2012-01-01T00:00:00Z,
"hbp.herbGroup","Barley","Barley",2012-01-01T00:00:00Z,
"hbp.herbGroup","Corn","Corn",2012-01-01T00:00:00Z,
"hbp.herbGroup","Sorghum","Sorghum",2012-01-01T00:00:00Z,
"hbp.herbGroup","Soybean","Soybean",2012-01-01T00:00:00Z,
"hbp.herbGroup","Wheat","Wheat",2012-01-01T00:00:00Z,
"hbp.herbGroup","Sunflower","Sunflower",2012-01-01T00:00:00Z,
"hbp.herbGroup","Millet","Millet",2012-01-01T00:00:00Z,
"hbp.herbGroup","Oat","Oat",2012-01-01T00:00:00Z,
"hbp.herbGroup","Rye","Rye",2012-01-01T00:00:00Z,
"hbp.herbGroup","Orchard Grass","Orchard Grass",2012-01-01T00:00:00Z,
"hbp.samplingProtocolVersion","NEON.DOC.014037vK","NEON.DOC.014037vK",2019-04-18T00:00:00Z,2021-05-31T00:00:00Z
"hbp.samplingProtocolVersion","NEON.DOC.014037vJ","NEON.DOC.014037vJ",2012-01-01T00:00:00Z,2019-04-20T00:00:00Z
"hbp.samplingProtocolVersion","NEON.DOC.014037vH","NEON.DOC.014037vH",2012-01-01T00:00:00Z,2019-04-17T00:00:00Z
"hbp.samplingProtocolVersion","NEON.DOC.014037vG","NEON.DOC.014037vG",2012-01-01T00:00:00Z,2019-04-17T00:00:00Z
"hbp.samplingProtocolVersion","NEON.DOC.014037vF","NEON.DOC.014037vF",2012-01-01T00:00:00Z,2019-04-17T00:00:00Z
"hbp.samplingProtocolVersion","NEON.DOC.014037vE","NEON.DOC.014037vE",2012-01-01T00:00:00Z,2019-04-17T00:00:00Z
"hbp.samplingProtocolVersion","NEON.DOC.014037vD","NEON.DOC.014037vD",2012-01-01T00:00:00Z,2019-04-17T00:00:00Z
"hbp.samplingProtocolVersion","NEON.DOC.014037vL","NEON.DOC.014037vL",2021-03-01T00:00:00Z,
"hbp.samplingProtocolVersion","NEON.DOC.014037vM","NEON.DOC.014037vM",2022-01-01T00:00:00Z,
"hbp.subplotID","31","31",2012-01-01T00:00:00Z,
"hbp.subplotID","21","21",2012-01-01T00:00:00Z,
"hbp.subplotID","23","23",2012-01-01T00:00:00Z,
"hbp.subplotID","39","39",2012-01-01T00:00:00Z,
"hbp.subplotID","41","41",2012-01-01T00:00:00Z,
"samplingImpractical","location dry","location dry",2012-01-01T00:00:00Z,
"samplingImpractical","location frozen","location frozen",2012-01-01T00:00:00Z,
"samplingImpractical","location snow covered","location snow covered",2012-01-01T00:00:00Z,
"samplingImpractical","other","Sampling location inaccessible due to other ecological reason described in the remarks",2012-01-01T00:00:00Z,
"samplingImpractical","shallow groundwater","shallow groundwater; depth of groundwater column less than 0.5 m",2012-01-01T00:00:00Z,
"samplingImpractical","low yield groundwater","low yield groundwater well",2012-01-01T00:00:00Z,
"samplingImpractical","high water velocity","high water velocity",2012-01-01T00:00:00Z,
"samplingImpractical","staff gauge disturbed","staff gauge disturbed",2012-01-01T00:00:00Z,
"samplingImpractical","staff gauge not installed","staff gauge not installed",2012-01-01T00:00:00Z,
"samplingImpractical","OK","OK",2012-01-01T00:00:00Z,
"samplingImpractical","coordinates not suitable","Maximum number of attempts made to sample within a subplot were unsuccessful",2012-01-01T00:00:00Z,
"samplingImpractical","location flooded","location flooded",2012-01-01T00:00:00Z,
"samplingImpractical","logistical","logistical",2012-01-01T00:00:00Z,
"samplingImpractical","management","management",2012-01-01T00:00:00Z,
"samplingImpractical","extreme weather","extreme weather",2012-01-01T00:00:00Z,
"samplingImpractical","location burned","location burned",2012-01-01T00:00:00Z,
"samplingImpractical","temperature low","temperature low",2012-01-01T00:00:00Z,
"samplingImpractical","temperature high","temperature high",2012-01-01T00:00:00Z,
"samplingImpractical","disturbance","samples not collected due to disturbance",2012-01-01T00:00:00Z,
"samplingImpractical","too windy","too windy",2012-01-01T00:00:00Z,
"samplingImpractical","horizon not present","horizon not present in the incubated soil sample",2012-01-01T00:00:00Z,
"samplingImpractical","location wet","location too wet due to rain or dew",2012-01-01T00:00:00Z,
"samplingImpractical","not all samples collected on this date","not all samples collected on this date",2012-01-01T00:00:00Z,
"samplingImpractical","exclosure cell not clipped, livestock absent","exclosure clip cell not harvested, cattle absent during previous grazing interval",2012-01-01T00:00:00Z,
"samplingImpractical","ambient cell not clipped, livestock absent","ambient clip cell not harvested, cattle absent during previous grazing interval",2012-01-01T00:00:00Z,
"samplingImpractical","wildfire","sampling location inaccessible due to active wildfire or post fire safety hazards",2012-01-01T00:00:00Z,
"samplingImpractical","wildlife hazard","wildlife hazard, specific hazard described in remarks",2012-01-01T00:00:00Z,
"samplingImpractical","outside target flow range","selected when stream flow already has good coverage and specific flows are being targeted",2022-03-01T00:00:00Z,
"samplingImpractical","safety hazard","unsafe conditions at sampling location or on route to sampling location",2012-01-01T00:00:00Z,
"Yes or No choice","Y","Yes",2012-01-01T00:00:00Z,
"Yes or No choice","N","No",2012-01-01T00:00:00Z,
