uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,eventID,processingDate,massSampleIDList,massSampleMixtureID,cnSampleID,cnSampleCode,ligninSampleID,ligninSampleBarcode,archiveSampleID,archiveSampleBarcode,bgcArchiveMass,toxicodendronPossible,remarks,processedBy,publicationDate,release
38bd43cb-7b21-4eff-8ce5-29456338654e,BART_073.basePlot.ltr,D01,BART,BART_073,2016-09-19,2016-10-10,,2016-11-17,NEON.LTR.BART073539.20161010.NDL|NEON.LTR.BART073409.20161010.NDL,NEON.LTR.BART073.20161010.NDL,NEON.LTR.BART073.20161010.NDL.CN,,NEON.LTR.BART073.20161010.NDL.LIG,,"",,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
378a085d-2378-48a1-b5c3-12849778f607,BART_041.basePlot.ltr,D01,BART,BART_041,2016-09-19,2016-10-10,,2016-11-17,NEON.LTR.BART041292.20161010.LVS,NEON.LTR.BART041.20161010.LVS,NEON.LTR.BART041.20161010.LVS.CN,,"",,NEON.LTR.BART041.20161010.LVS.AR,,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
c59c5bdf-a66c-45ae-9b7e-35ba21e816cb,BART_071.basePlot.ltr,D01,BART,BART_071,2016-09-19,2016-10-10,,2016-11-17,NEON.LTR.BART071382.20161010.LVS|NEON.LTR.BART071952.20161010.LVS,NEON.LTR.BART071.20161010.LVS,NEON.LTR.BART071.20161010.LVS.CN,,"",,NEON.LTR.BART071.20161010.LVS.AR,,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
cc16f004-78c0-47ca-af42-2a970843fc9b,BART_039.basePlot.ltr,D01,BART,BART_039,2016-09-19,2016-10-10,,2016-11-17,NEON.LTR.BART039930.20161010.NDL,NEON.LTR.BART039.20161010.NDL,NEON.LTR.BART039.20161010.NDL.CN,,"",,NEON.LTR.BART039.20161010.NDL.AR,,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
fb13c7f9-da7d-4325-be22-dc4f4bbb094b,BART_032.basePlot.ltr,D01,BART,BART_032,2016-09-19,2016-10-10,,2016-11-17,NEON.LTR.BART032293.20161010.LVS,NEON.LTR.BART032.20161010.LVS,NEON.LTR.BART032.20161010.LVS.CN,,NEON.LTR.BART032.20161010.LVS.LIG,,"",,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
9861ede9-0d3c-4a12-bd9a-932c7979b480,BART_073.basePlot.ltr,D01,BART,BART_073,2016-09-19,2016-10-10,,2016-11-17,NEON.LTR.BART073409.20161010.LVS|NEON.LTR.BART073539.20161010.LVS,NEON.LTR.BART073.20161010.LVS,NEON.LTR.BART073.20161010.LVS.CN,,"",,NEON.LTR.BART073.20161010.LVS.AR,,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
b26bb8a5-d25b-4c17-b5e4-230e7d8b5b61,BART_032.basePlot.ltr,D01,BART,BART_032,2016-09-19,2016-10-10,,2016-11-17,NEON.LTR.BART032293.20161010.NDL,NEON.LTR.BART032.20161010.NDL,NEON.LTR.BART032.20161010.NDL.CN,,"",,"",,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
16cac260-655d-46ee-838b-014131665ff2,BART_034.basePlot.ltr,D01,BART,BART_034,2016-09-19,2016-10-10,,2016-11-17,NEON.LTR.BART034531.20161010.LVS|NEON.LTR.BART034451.20161010.LVS,NEON.LTR.BART034.20161010.LVS,NEON.LTR.BART034.20161010.LVS.CN,,"",,NEON.LTR.BART034.20161010.LVS.AR,,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
6a1828cb-a38a-4c2c-af9e-63f866b5211f,BART_039.basePlot.ltr,D01,BART,BART_039,2016-09-19,2016-10-10,,2016-11-17,NEON.LTR.BART039930.20161010.LVS,NEON.LTR.BART039.20161010.LVS,NEON.LTR.BART039.20161010.LVS.CN,,"",,NEON.LTR.BART039.20161010.LVS.AR,,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
a5e5f99e-1c23-46e9-83aa-398ff5e9dd86,BART_071.basePlot.ltr,D01,BART,BART_071,2016-09-19,2016-10-10,,2016-11-17,NEON.LTR.BART071382.20161010.NDL|NEON.LTR.BART071952.20161010.NDL,NEON.LTR.BART071.20161010.NDL,NEON.LTR.BART071.20161010.NDL.CN,,"",,NEON.LTR.BART071.20161010.NDL.AR,,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
a842a56e-c01b-460e-a2dc-5b3d05969415,BART_041.basePlot.ltr,D01,BART,BART_041,2016-09-19,2016-10-10,,2016-11-17,NEON.LTR.BART041292.20161010.NDL,NEON.LTR.BART041.20161010.NDL,NEON.LTR.BART041.20161010.NDL.CN,,"",,NEON.LTR.BART041.20161010.NDL.AR,,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
49ae6bd2-9406-4ece-8242-86f08f3d5e85,BART_070.basePlot.ltr,D01,BART,BART_070,2016-09-19,2016-10-11,,2016-11-17,NEON.LTR.BART070553.20161011.LVS|NEON.LTR.BART070790.20161011.LVS,NEON.LTR.BART070.20161011.LVS,NEON.LTR.BART070.20161011.LVS.CN,,"",,"",,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
55017a81-d472-45dd-a03f-5635cd51fa4d,BART_070.basePlot.ltr,D01,BART,BART_070,2016-09-19,2016-10-11,,2016-11-16,NEON.LTR.BART070790.20161011.NDL|NEON.LTR.BART070553.20161011.NDL,NEON.LTR.BART070.20161011.NDL,NEON.LTR.BART070.20161011.NDL.CN,,"",,NEON.LTR.BART070.20161011.NDL.AR,,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
7aba8839-d26d-4aac-a0bd-d52b5ac6ec60,BART_033.basePlot.ltr,D01,BART,BART_033,2016-09-19,2016-10-11,,2016-11-17,NEON.LTR.BART033923.20161011.LVS|NEON.LTR.BART033453.20161011.LVS,NEON.LTR.BART033.20161011.LVS,NEON.LTR.BART033.20161011.LVS.CN,,NEON.LTR.BART033.20161011.LVS.LIG,,"",,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
eafa13af-5ac9-4137-b336-cd0ad4487722,BART_033.basePlot.ltr,D01,BART,BART_033,2016-09-19,2016-10-11,,2016-11-17,NEON.LTR.BART033453.20161011.NDL|NEON.LTR.BART033923.20161011.NDL,NEON.LTR.BART033.20161011.NDL,NEON.LTR.BART033.20161011.NDL.CN,,"",,"",,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
7d7e51f8-e1ac-4fc0-8e23-b0ee73c58f2a,BART_047.basePlot.ltr,D01,BART,BART_047,2016-09-20,2016-10-10,,2016-11-17,NEON.LTR.BART047864.20161010.NDL|NEON.LTR.BART047046.20161010.NDL,NEON.LTR.BART047.20161010.NDL,NEON.LTR.BART047.20161010.NDL.CN,,"",,NEON.LTR.BART047.20161010.NDL.AR,,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
364373e5-c744-4d97-b065-1cd925cc5220,BART_047.basePlot.ltr,D01,BART,BART_047,2016-09-20,2016-10-10,,2016-11-17,NEON.LTR.BART047046.20161010.LVS|NEON.LTR.BART047864.20161010.LVS,NEON.LTR.BART047.20161010.LVS,NEON.LTR.BART047.20161010.LVS.CN,,"",,NEON.LTR.BART047.20161010.LVS.AR,,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
fb9b027d-eb83-4906-b873-3ab587c8742a,BART_051.basePlot.ltr,D01,BART,BART_051,2016-09-20,2016-10-10,,2016-11-17,NEON.LTR.BART051574.20161010.LVS,NEON.LTR.BART051.20161010.LVS,NEON.LTR.BART051.20161010.LVS.CN,,"",,NEON.LTR.BART051.20161010.LVS.AR,,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
dc1d932a-4cfa-41e8-95de-b0bf58b573b4,BART_040.basePlot.ltr,D01,BART,BART_040,2016-09-20,2016-10-10,,2016-11-17,NEON.LTR.BART040158.20161010.LVS|NEON.LTR.BART040884.20161010.LVS,NEON.LTR.BART040.20161010.LVS,NEON.LTR.BART040.20161010.LVS.CN,,"",,NEON.LTR.BART040.20161010.LVS.AR,,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
9d1c91d2-00b4-46bf-b92f-15d129917171,BART_051.basePlot.ltr,D01,BART,BART_051,2016-09-20,2016-10-10,,2016-11-17,NEON.LTR.BART051574.20161010.NDL,NEON.LTR.BART051.20161010.NDL,NEON.LTR.BART051.20161010.NDL.CN,,"",,NEON.LTR.BART051.20161010.NDL.AR,,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
22b458fc-4e14-4327-a7f2-b54c22f134b4,BART_075.basePlot.ltr,D01,BART,BART_075,2016-09-20,2016-10-11,,2016-11-17,NEON.LTR.BART075389.20161011.NDL|NEON.LTR.BART075819.20161011.NDL,NEON.LTR.BART075.20161011.NDL,NEON.LTR.BART075.20161011.NDL.CN,,NEON.LTR.BART075.20161011.NDL.LIG,,"",,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
429a3f78-abae-4b69-8643-a4738ff12859,BART_046.basePlot.ltr,D01,BART,BART_046,2016-09-20,2016-10-11,,2016-11-17,NEON.LTR.BART046852.20161011.LVS|NEON.LTR.BART046687.20161011.LVS,NEON.LTR.BART046.20161011.LVS,NEON.LTR.BART046.20161011.LVS.CN,,"",,NEON.LTR.BART046.20161011.LVS.AR,,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
563f51bf-5d4e-4f1b-85dd-0e17b395e2bf,BART_050.basePlot.ltr,D01,BART,BART_050,2016-09-20,2016-10-11,,2016-11-17,NEON.LTR.BART050808.20161011.LVS|NEON.LTR.BART050046.20161011.LVS,NEON.LTR.BART050.20161011.LVS,NEON.LTR.BART050.20161011.LVS.CN,,"",,NEON.LTR.BART050.20161011.LVS.AR,,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
c6cffbb1-a8a9-460f-8da5-e0147298d204,BART_074.basePlot.ltr,D01,BART,BART_074,2016-09-20,2016-10-11,,2016-11-17,NEON.LTR.BART074555.20161011.LVS|NEON.LTR.BART074942.20161011.LVS,NEON.LTR.BART074.20161011.LVS,NEON.LTR.BART074.20161011.LVS.CN,,"",,NEON.LTR.BART074.20161011.LVS.AR,,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
63755957-f4ae-4e18-b46c-6fa2ddcb9630,BART_036.basePlot.ltr,D01,BART,BART_036,2016-09-20,2016-10-11,,2016-11-17,NEON.LTR.BART036151.20161011.NDL|NEON.LTR.BART036925.20161011.NDL,NEON.LTR.BART036.20161011.NDL,NEON.LTR.BART036.20161011.NDL.CN,,"",,"",,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
d4162aaf-045c-439f-b735-e7906de39f8c,BART_036.basePlot.ltr,D01,BART,BART_036,2016-09-20,2016-10-11,,2016-11-17,NEON.LTR.BART036151.20161011.LVS|NEON.LTR.BART036925.20161011.LVS,NEON.LTR.BART036.20161011.LVS,NEON.LTR.BART036.20161011.LVS.CN,,"",,NEON.LTR.BART036.20161011.LVS.AR,,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
58fe6449-1cc3-42b9-bedf-5a4bded7a2d7,BART_074.basePlot.ltr,D01,BART,BART_074,2016-09-20,2016-10-11,,2016-11-17,NEON.LTR.BART074555.20161011.NDL|NEON.LTR.BART074942.20161011.NDL,NEON.LTR.BART074.20161011.NDL,NEON.LTR.BART074.20161011.NDL.CN,,"",,NEON.LTR.BART074.20161011.NDL.AR,,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
05f6e3ac-f103-4f83-a1ac-d91d0b58f216,BART_044.basePlot.ltr,D01,BART,BART_044,2016-09-20,2016-10-11,,2016-11-17,NEON.LTR.BART044531.20161011.NDL|NEON.LTR.BART044410.20161011.NDL,NEON.LTR.BART044.20161011.NDL,NEON.LTR.BART044.20161011.NDL.CN,,"",,NEON.LTR.BART044.20161011.NDL.AR,,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
990c2ccf-a874-4b6e-b25f-3853e38b0e3e,BART_072.basePlot.ltr,D01,BART,BART_072,2016-09-20,2016-10-11,,2016-11-17,NEON.LTR.BART072162.20161011.NDL|NEON.LTR.BART072567.20161011.NDL,NEON.LTR.BART072.20161011.NDL,NEON.LTR.BART072.20161011.NDL.CN,,NEON.LTR.BART072.20161011.NDL.LIG,,"",,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
22dbfff1-e029-4e88-9649-a1d05a7bd6e8,BART_042.basePlot.ltr,D01,BART,BART_042,2016-09-20,2016-10-11,,2016-11-17,NEON.LTR.BART042935.20161011.NDL|NEON.LTR.BART042587.20161011.NDL,NEON.LTR.BART042.20161011.NDL,NEON.LTR.BART042.20161011.NDL.CN,,NEON.LTR.BART042.20161011.NDL.LIG,,"",,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
e5f92b0d-39d8-42a2-bd05-b69b77daf730,BART_037.basePlot.ltr,D01,BART,BART_037,2016-09-20,2016-10-11,,2016-11-17,NEON.LTR.BART037158.20161011.NDL|NEON.LTR.BART037884.20161011.NDL,NEON.LTR.BART037.20161011.NDL,NEON.LTR.BART037.20161011.NDL.CN,,"",,"",,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
50d22823-a123-46a2-925f-5efb6bcab383,BART_037.basePlot.ltr,D01,BART,BART_037,2016-09-20,2016-10-11,,2016-11-17,NEON.LTR.BART037158.20161011.LVS|NEON.LTR.BART037884.20161011.LVS,NEON.LTR.BART037.20161011.LVS,NEON.LTR.BART037.20161011.LVS.CN,,"",,NEON.LTR.BART037.20161011.LVS.AR,,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
766af381-d09f-40f3-a512-6b2cbe9af434,BART_042.basePlot.ltr,D01,BART,BART_042,2016-09-20,2016-10-11,,2016-11-17,NEON.LTR.BART042587.20161011.LVS|NEON.LTR.BART042935.20161011.LVS,NEON.LTR.BART042.20161011.LVS,NEON.LTR.BART042.20161011.LVS.CN,,"",,NEON.LTR.BART042.20161011.LVS.AR,,,,,mday@field-ops.org,20211221T214309Z,RELEASE-2022
