uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,eventID,trappingDays,fieldSampleID,samplingProtocolVersion,trapCondition,toxicodendronPossible,remarks,measuredBy,recordedBy,publicationDate,release
38a9802c-c66f-40ea-92b0-c01d5776b741,BART_070.basePlot.ltr,D01,BART,BART_070,BART_070_790,2015-11-24,2016-04-06,LTR.2016.BART.01,134,"",NEON.DOC.001710vE,TT - Litter not collected - trap tilted,,,Ramundson@field-ops.org,llukas@neoninc.org,20211221T224629Z,RELEASE-2022
762a4aac-e178-4dc5-b5f2-9ad82074771a,BART_071.basePlot.ltr,D01,BART,BART_071,BART_071_952,2015-11-24,2016-04-06,LTR.2016.BART.01,134,NEON.LTR.BART071952.20160406,NEON.DOC.001710vE,"OK - Litter collected - Trap in good shape, no issues",,,Ramundson@field-ops.org,llukas@neoninc.org,20211221T224629Z,RELEASE-2022
73cf4298-3ae5-4727-aa4d-8a03d9b1b483,BART_044.basePlot.ltr,D01,BART,BART_044,BART_044_531,2015-11-24,2016-04-06,LTR.2016.BART.01,134,NEON.LTR.BART044531.20160406,NEON.DOC.001710vE,"OK - Litter collected - Trap in good shape, no issues",,,Ramundson@field-ops.org,llukas@neoninc.org,20211221T224629Z,RELEASE-2022
386588f4-8590-4954-a97d-55d0bd488b65,BART_039.basePlot.ltr,D01,BART,BART_039,BART_039_587,2015-11-24,2016-04-06,LTR.2016.BART.01,134,NEON.LTR.BART039587.20160406,NEON.DOC.001710vE,"OK - Litter collected - Trap in good shape, no issues",,,Ramundson@field-ops.org,llukas@neoninc.org,20211221T224629Z,RELEASE-2022
ad2e64e0-048e-4d39-b2f1-1e1e4c565a2e,BART_037.basePlot.ltr,D01,BART,BART_037,BART_037_158,2015-11-24,2016-04-06,LTR.2016.BART.01,134,NEON.LTR.BART037158.20160406,NEON.DOC.001710vE,"OK - Litter collected - Trap in good shape, no issues",,,Ramundson@field-ops.org,llukas@neoninc.org,20211221T224629Z,RELEASE-2022
573fb357-114b-43fd-ad5e-f47be65057c0,BART_041.basePlot.ltr,D01,BART,BART_041,BART_041_578,2015-11-24,2016-04-06,LTR.2016.BART.01,134,NEON.LTR.BART041578.20160406,NEON.DOC.001710vE,"OK - Litter collected - Trap in good shape, no issues",,,Ramundson@field-ops.org,llukas@neoninc.org,20211221T224629Z,RELEASE-2022
2158134a-ec11-4a97-ba3b-8f8569aa5e1f,BART_034.basePlot.ltr,D01,BART,BART_034,BART_034_531,2015-11-24,2016-04-06,LTR.2016.BART.01,134,NEON.LTR.BART034531.20160406,NEON.DOC.001710vE,"OK - Litter collected - Trap in good shape, no issues",,,Ramundson@field-ops.org,llukas@neoninc.org,20211221T224629Z,RELEASE-2022
3b51e99a-08c1-4ddc-8d65-88cf48add466,BART_046.basePlot.ltr,D01,BART,BART_046,BART_046_852,2015-11-24,2016-04-06,LTR.2016.BART.01,134,NEON.LTR.BART046852.20160406,NEON.DOC.001710vE,"OK - Litter collected - Trap in good shape, no issues",,,Ramundson@field-ops.org,llukas@neoninc.org,20211221T224629Z,RELEASE-2022
ceaa05fc-c505-4fe0-afca-d2bf92e1e08d,BART_050.basePlot.ltr,D01,BART,BART_050,BART_050_808,2015-11-24,2016-04-06,LTR.2016.BART.01,134,NEON.LTR.BART050808.20160406,NEON.DOC.001710vE,"OK - Litter collected - Trap in good shape, no issues",,,Ramundson@field-ops.org,llukas@neoninc.org,20211221T224629Z,RELEASE-2022
0f45a284-1c3d-4fec-b057-64d7a10fa09d,BART_072.basePlot.ltr,D01,BART,BART_072,BART_072_567,2015-11-24,2016-04-06,LTR.2016.BART.01,134,NEON.LTR.BART072567.20160406,NEON.DOC.001710vE,"OK - Litter collected - Trap in good shape, no issues",,,Ramundson@field-ops.org,llukas@neoninc.org,20211221T224629Z,RELEASE-2022
f23553e5-6b67-4f59-9ef6-0566f9943e6c,BART_034.basePlot.ltr,D01,BART,BART_034,BART_034_451,2015-11-24,2016-04-06,LTR.2016.BART.01,134,NEON.LTR.BART034451.20160406,NEON.DOC.001710vE,"OK - Litter collected - Trap in good shape, no issues",,,Ramundson@field-ops.org,llukas@neoninc.org,20211221T224629Z,RELEASE-2022
85829048-1530-4a99-abbf-9fe65300f14f,BART_046.basePlot.ltr,D01,BART,BART_046,BART_046_687,2015-11-24,2016-04-06,LTR.2016.BART.01,134,NEON.LTR.BART046687.20160406,NEON.DOC.001710vE,"OK - Litter collected - Trap in good shape, no issues",,,Ramundson@field-ops.org,llukas@neoninc.org,20211221T224629Z,RELEASE-2022
57f6e480-233c-456a-bced-ca19b89084b7,BART_074.basePlot.ltr,D01,BART,BART_074,BART_074_555,2015-11-24,2016-04-06,LTR.2016.BART.01,134,NEON.LTR.BART074555.20160406,NEON.DOC.001710vE,"OK - Litter collected - Trap in good shape, no issues",,,Ramundson@field-ops.org,llukas@neoninc.org,20211221T224629Z,RELEASE-2022
17f7b783-5b16-4f2b-9512-b6de666f010c,BART_073.basePlot.ltr,D01,BART,BART_073,BART_073_539,2015-11-24,2016-04-06,LTR.2016.BART.01,134,NEON.LTR.BART073539.20160406,NEON.DOC.001710vE,"OK - Litter collected - Trap in good shape, no issues",,,Ramundson@field-ops.org,llukas@neoninc.org,20211221T224629Z,RELEASE-2022
ab1b5128-3234-4879-9329-22a257229b7e,BART_073.basePlot.ltr,D01,BART,BART_073,BART_073_409,2015-11-24,2016-04-06,LTR.2016.BART.01,134,NEON.LTR.BART073409.20160406,NEON.DOC.001710vE,"OK - Litter collected - Trap in good shape, no issues",,,Ramundson@field-ops.org,llukas@neoninc.org,20211221T224629Z,RELEASE-2022
600f8239-2caf-41b9-86c3-3f44a6a7cdb0,BART_075.basePlot.ltr,D01,BART,BART_075,BART_075_389,2015-11-24,2016-04-06,LTR.2016.BART.01,134,NEON.LTR.BART075389.20160406,NEON.DOC.001710vE,"OK - Litter collected - Trap in good shape, no issues",,,Ramundson@field-ops.org,llukas@neoninc.org,20211221T224629Z,RELEASE-2022
e37eec35-c1ac-4657-b069-612ccecd90b5,BART_047.basePlot.ltr,D01,BART,BART_047,BART_047_046,2015-11-24,2016-04-06,LTR.2016.BART.01,134,NEON.LTR.BART047046.20160406,NEON.DOC.001710vE,"OK - Litter collected - Trap in good shape, no issues",,,Ramundson@field-ops.org,llukas@neoninc.org,20211221T224629Z,RELEASE-2022
124bf186-7a11-489b-8caf-a72ba524a6e4,BART_033.basePlot.ltr,D01,BART,BART_033,BART_033_923,2015-11-24,2016-04-06,LTR.2016.BART.01,134,NEON.LTR.BART033923.20160406,NEON.DOC.001710vE,"OK - Litter collected - Trap in good shape, no issues",,,Ramundson@field-ops.org,llukas@neoninc.org,20211221T224629Z,RELEASE-2022
b786eb03-77ce-4f33-80f6-eaa68fe26731,BART_074.basePlot.ltr,D01,BART,BART_074,BART_074_942,2015-11-24,2016-04-06,LTR.2016.BART.01,134,NEON.LTR.BART074942.20160406,NEON.DOC.001710vE,"OK - Litter collected - Trap in good shape, no issues",,,Ramundson@field-ops.org,llukas@neoninc.org,20211221T224629Z,RELEASE-2022
831fbb87-5a67-4ad3-a6c3-3326a2d33209,BART_044.basePlot.ltr,D01,BART,BART_044,BART_044_410,2015-11-24,2016-04-06,LTR.2016.BART.01,134,NEON.LTR.BART044410.20160406,NEON.DOC.001710vE,"OK - Litter collected - Trap in good shape, no issues",,,Ramundson@field-ops.org,llukas@neoninc.org,20211221T224629Z,RELEASE-2022
5c6628dc-97ea-4d9a-9bf6-fbe7a537e91e,BART_072.basePlot.ltr,D01,BART,BART_072,BART_072_162,2015-11-24,2016-04-06,LTR.2016.BART.01,134,NEON.LTR.BART072162.20160406,NEON.DOC.001710vE,"OK - Litter collected - Trap in good shape, no issues",,,Ramundson@field-ops.org,llukas@neoninc.org,20211221T224629Z,RELEASE-2022
ca983e81-c54a-4838-8084-20ac61373417,BART_042.basePlot.ltr,D01,BART,BART_042,BART_042_935,2015-11-24,2016-04-06,LTR.2016.BART.01,134,NEON.LTR.BART042935.20160406,NEON.DOC.001710vE,"OK - Litter collected - Trap in good shape, no issues",,,Ramundson@field-ops.org,llukas@neoninc.org,20211221T224629Z,RELEASE-2022
6db6f54e-56c5-4985-bdbd-fda3f212f2d2,BART_071.basePlot.ltr,D01,BART,BART_071,BART_071_382,2015-11-24,2016-04-06,LTR.2016.BART.01,134,NEON.LTR.BART071382.20160406,NEON.DOC.001710vE,"OK - Litter collected - Trap in good shape, no issues",,,Ramundson@field-ops.org,llukas@neoninc.org,20211221T224629Z,RELEASE-2022
