uid,namedLocation,domainID,siteID,plotID,subplotID,trapID,decimalLatitude,decimalLongitude,elevation,nlcdClass,plotType,geodeticDatum,coordinateUncertainty,elevationUncertainty,date,samplingProtocolVersion,targetTaxaPresent,trapType,trapPlacement,trapSize,remarks,recordedBy,publicationDate,release
ae900499-b2b5-42fc-907c-66ec40fc10bf,BART_040.basePlot.ltr,D01,BART,BART_040,41,BART_040_826,44.06576,-71.29199,260.2,deciduousForest,tower,WGS84,20.1,0.2,2015-05-18,NEON.DOC.001710vB,Y,Ground,Random,1.5,"",gbreault@field-ops.org,20220207T173804Z,PROVISIONAL
40760fee-3522-44f7-ac8c-88723db3feb0,BART_047.basePlot.ltr,D01,BART,BART_047,41,BART_047_847,44.064968,-71.290855,262.9,deciduousForest,tower,WGS84,20.1,0.2,2015-05-18,NEON.DOC.001710vB,Y,Ground,Random,1.5,"",gbreault@field-ops.org,20220207T173804Z,PROVISIONAL
7bfdd9c8-401d-40ed-95a6-cba0b3146ad7,BART_040.basePlot.ltr,D01,BART,BART_040,41,BART_040_884,44.06576,-71.29199,260.2,deciduousForest,tower,WGS84,20.1,0.2,2015-05-18,NEON.DOC.001710vB,Y,Elevated,Random,0.5,"",gbreault@field-ops.org,20220207T173804Z,PROVISIONAL
35b4f9a0-c0b0-43cd-b684-5dfedaa39a11,BART_047.basePlot.ltr,D01,BART,BART_047,21,BART_047_168,44.064968,-71.290855,262.9,deciduousForest,tower,WGS84,20.1,0.2,2015-05-18,NEON.DOC.001710vB,Y,Ground,Random,1.5,"",pnoonan@field-ops.org,20220207T173804Z,PROVISIONAL
81ab9a3b-e8c6-4db6-bb44-a7917ff14737,BART_040.basePlot.ltr,D01,BART,BART_040,21,BART_040_158,44.06576,-71.29199,260.2,deciduousForest,tower,WGS84,20.1,0.2,2015-05-18,NEON.DOC.001710vB,Y,Elevated,Random,0.5,"",pnoonan@field-ops.org,20220207T173804Z,PROVISIONAL
aa91b60a-2864-4330-b329-5ed893b2a91c,BART_047.basePlot.ltr,D01,BART,BART_047,41,BART_047_864,44.064968,-71.290855,262.9,deciduousForest,tower,WGS84,20.1,0.2,2015-05-18,NEON.DOC.001710vB,Y,Elevated,Random,0.5,"",gbreault@field-ops.org,20220207T173804Z,PROVISIONAL
aca6d370-c021-4ecd-9336-2eba70b9e515,BART_073.basePlot.ltr,D01,BART,BART_073,39,BART_073_689,44.064774,-71.288616,274.9,mixedForest,tower,WGS84,20.1,0.2,2015-05-18,NEON.DOC.001710vB,Y,Ground,Random,1.5,"",gbreault@field-ops.org,20220207T173804Z,PROVISIONAL
4dc1796e-5935-43bd-9b5a-755a77bd3fa9,BART_073.basePlot.ltr,D01,BART,BART_073,39,BART_073_539,44.064774,-71.288616,274.9,mixedForest,tower,WGS84,20.1,0.2,2015-05-18,NEON.DOC.001710vB,Y,Elevated,Random,0.5,"",gbreault@field-ops.org,20220207T173804Z,PROVISIONAL
21a6b9bd-d7dc-42d8-be8e-142ba91a42cd,BART_040.basePlot.ltr,D01,BART,BART_040,21,BART_040_051,44.06576,-71.29199,260.2,deciduousForest,tower,WGS84,20.1,0.2,2015-05-18,NEON.DOC.001710vB,Y,Ground,Random,1.5,"",pnoonan@field-ops.org,20220207T173804Z,PROVISIONAL
8dd32307-7de2-4f55-ab32-0c5cd702dc6c,BART_047.basePlot.ltr,D01,BART,BART_047,21,BART_047_046,44.064968,-71.290855,262.9,deciduousForest,tower,WGS84,20.1,0.2,2015-05-18,NEON.DOC.001710vB,Y,Elevated,Random,0.5,"",pnoonan@field-ops.org,20220207T173804Z,PROVISIONAL
08c8ebcc-0937-47d3-9f12-b25f2a057c8a,BART_039.basePlot.ltr,D01,BART,BART_039,39,BART_039_696,44.063682,-71.288951,270.8,deciduousForest,tower,WGS84,20.3,0.5,2015-05-19,NEON.DOC.001710vB,Y,Ground,Random,1.5,"",jamante@neoninc.org,20220207T173804Z,PROVISIONAL
e46d20b4-a9c7-4361-a749-a1982bc54202,BART_041.basePlot.ltr,D01,BART,BART_041,23,BART_041_379,44.065342,-71.28561,260.9,deciduousForest,tower,WGS84,20.2,0.4,2015-05-19,NEON.DOC.001710vB,Y,Ground,Random,1.5,"",jamante@neoninc.org,20220207T173804Z,PROVISIONAL
efbbf78d-98a9-42ce-ab5a-c9c53852ac5b,BART_033.basePlot.ltr,D01,BART,BART_033,41,BART_033_923,44.063198,-71.283663,275.7,deciduousForest,tower,WGS84,20.2,0.2,2015-05-19,NEON.DOC.001710vB,Y,Elevated,Random,0.5,"",jamante@neoninc.org,20220207T173804Z,PROVISIONAL
54ba72cf-2b9b-4e83-a2dd-02a2aa849873,BART_041.basePlot.ltr,D01,BART,BART_041,39,BART_041_694,44.065342,-71.28561,260.9,deciduousForest,tower,WGS84,20.2,0.4,2015-05-19,NEON.DOC.001710vB,Y,Ground,Random,1.5,"",jamante@neoninc.org,20220207T173804Z,PROVISIONAL
