uid,namedLocation,domainID,siteID,plotID,nrcsDescriptionID,collectDate,horizonID,horizonName,analysisStartDate,biogeoIDnrcs,biogeoSampleType,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,airDryOvenDryProcessedDate,airDryOvenDryMethodPub,airDryOvenDryMethod,airDryOvenDryRatio,gypsumProcessedDate,gypsumMethodPub,gypsumMethod,gypsumConc,caco3ProcessedDate,caco3MethodPub,caco3Method,caco3Conc,cecProcessedDate,cecMethodPub,cecMethod,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,KClExtractProcessedDate,KClExtractMethodPub,KClExtractMethod,alKcl,feKcl,mnKcl,routinepHProcessedDate,routinepHMethodPub,routinepHMethod,phCacl2,phH2o,ecProcessedDate,ecMethodPub,ecMethod,ec12pre,satPasteProcessedDate,satPasteMethodPub,satPasteMethod,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,TotalNCSProcessedDate,TotalNCSMethodPub,TotalNCSMethod,carbonTot,nitrogenTot,ctonRatio,estimatedOC,sulfurTot,acidOxalateProcessedDate,acidOxalateMethodPub,acidOxalateMethod,alOxalate,feOxalate,mnOxalate,pOxalate,siOxalate,optDensityOxalate,citrateDithioProcessedDate,citrateDithioMethodPub,citrateDithioMethod,alCitDithionate,feCitDithionate,mnCitDithionate,siliconCitrateDithionate,extractAcidityProcessedDate,extractAcidityMethodPub,extractAcidityMethod,acidity,h2oReten15BarProcessedDate,h2oReten15BarMethodPub,h2oReten15BarMethod,waterRetention15Bar,MehlichIIIPProcessedDate,MehlichIIIPMethodPub,MehlichIIIPMethod,MehlichIIITotP,Bray1PProcessedDate,Bray1PMethodPub,Bray1PMethod,Bray1PExtractable,OlsenPProcessedDate,OlsenPMethodPub,OlsenPMethod,OlsenPExtractable,archiveID,archiveMass,processingRemarks,laboratoryName,dataQF,publicationDate,release
a4af0fca-8f52-43cd-9990-1c5d14cc0bc9,BART_018.basePlot.all,D01,BART,BART_018,S2016NH003001,2016-05-11,16N04934,E/B,2016-12-01,S2016NH003001-2,bulk,13,23,18,2016-12-14,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Water Retention, Air Dry-Oven Dry (3D1)",1.01,"","","",,,,,,2017-04-03,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Cation Exchange Capacity and Cations (4B1a1a),0,0,0,0,4.9,,0,0,,2017-03-05,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Potassium Chloride Extractable (4B3a1a),1,,1.3,2017-01-24,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine 1:1 Water and 1:2 0.01M CaCl2 pH (4C1a2a),4.6,5.1,2016-12-31,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Salt Prediction 1:2 (soil/water) (4F1a1a1),0.04,"","","",,,,,,,,,,,,,,,,,,,2016-12-22,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Total N, C, S (4H2a)",21.2,0.9,23,21,0.2,2017-03-06,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Acid Oxalate Extractable (4G2),0.41,0.79,58.6,75.3,0.06,0.15,2017-08-17,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Citrate Dithionate Extractable (4G1),0.3,0.8,0,0,2017-01-03,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Extractable Acidity, BaCl2-Triethanolamine, Centrifuge (4B2b1a1)",11.1,2017-01-10,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Water Retention Fifteen Bar (3C2a1a),5.8,2017-03-27,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Mehlich III Phosphorus (4D6a1),0.8,,,,,,,,,,,"",USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
8ae7aa00-e172-4906-a95b-1a1af5421414,BART_018.basePlot.all,D01,BART,BART_018,S2016NH003001,2016-05-11,16N04933,Oa,2016-10-19,S2016NH003001-1,bulk,0,13,6.5,2016-12-14,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Water Retention, Air Dry-Oven Dry (3D1)",1.093,2017-01-24,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Gypsum (4E2a1a1a1),0,,,,,2017-04-03,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Cation Exchange Capacity and Cations (4B1a1a),6.3,1.8,1.3,0,118.7,59,9.4,8,22.7,2017-03-05,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Potassium Chloride Extractable (4B3a1a),13.3,,10.5,2017-01-24,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine 1:1 Water and 1:2 0.01M CaCl2 pH (4C1a2a),3.5,4.4,2016-12-31,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Salt Prediction 1:2 (soil/water) (4F1a1a1),1.82,2017-07-05,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Saturated Paste and Soluble Salts (4F2),,,1.9,1.7,0,0.84,0,436.4,0,1.1,0.1,0,0,0,,4.1,,1.8,2017-01-24,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Total N, C, S (4H2a)",508.7,18,28,509,2.1,2017-03-06,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Acid Oxalate Extractable (4G2),0.54,0.04,93.1,372.2,0,0.33,2017-08-17,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Citrate Dithionate Extractable (4G1),0.5,0.1,0,0.1,2017-01-24,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Extractable Acidity, BaCl2-Triethanolamine, Centrifuge (4B2b1a1)",190.9,2017-01-10,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Water Retention Fifteen Bar (3C2a1a),111.4,2017-03-27,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Mehlich III Phosphorus (4D6a1),65.1,,,,,,,,,,,"",USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
1621098b-86dd-4969-9fe7-6305012c2715,BART_018.basePlot.all,D01,BART,BART_018,S2016NH003001,2016-05-11,16N04935,Bs1,2016-12-01,S2016NH003001-3,bulk,23,33,28,2016-12-14,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Water Retention, Air Dry-Oven Dry (3D1)",1.016,"","","",,,,,,2017-04-03,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Cation Exchange Capacity and Cations (4B1a1a),0,0,0,0,7.8,,0,0,,2017-03-05,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Potassium Chloride Extractable (4B3a1a),1,,6.3,2017-01-24,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine 1:1 Water and 1:2 0.01M CaCl2 pH (4C1a2a),4.8,5.4,2016-12-31,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Salt Prediction 1:2 (soil/water) (4F1a1a1),0.04,"","","",,,,,,,,,,,,,,,,,,,2016-12-22,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Total N, C, S (4H2a)",26.4,1.2,22,26,0.2,2017-03-06,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Acid Oxalate Extractable (4G2),0.74,0.81,213.5,168.3,0.13,0.25,2017-08-17,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Citrate Dithionate Extractable (4G1),0.7,1,0,0.1,2017-01-03,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Extractable Acidity, BaCl2-Triethanolamine, Centrifuge (4B2b1a1)",20.3,2017-01-10,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Water Retention Fifteen Bar (3C2a1a),7.2,2017-03-27,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Mehlich III Phosphorus (4D6a1),0.7,,,,,,,,,,,"",USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
6eb9a295-4512-4bb0-8b57-0e6ad15ba864,BART_018.basePlot.all,D01,BART,BART_018,S2016NH003001,2016-05-11,16N04937,Cd,2016-12-01,S2016NH003001-5,bulk,49,100,74.5,2016-12-14,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Water Retention, Air Dry-Oven Dry (3D1)",1.002,"","","",,,,,,2017-04-03,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Cation Exchange Capacity and Cations (4B1a1a),0,0,0,0,0.7,,,,,2017-03-05,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Potassium Chloride Extractable (4B3a1a),0.1,,0.1,2017-01-24,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine 1:1 Water and 1:2 0.01M CaCl2 pH (4C1a2a),5.3,5.9,2016-12-31,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Salt Prediction 1:2 (soil/water) (4F1a1a1),0.01,"","","",,,,,,,,,,,,,,,,,,,2016-12-22,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Total N, C, S (4H2a)",0.6,0.1,6,1,0,2017-03-06,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Acid Oxalate Extractable (4G2),0.05,0.1,75.9,104.9,0.01,0,2017-08-17,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Citrate Dithionate Extractable (4G1),0,0.3,0,0,2017-01-03,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Extractable Acidity, BaCl2-Triethanolamine, Centrifuge (4B2b1a1)",2.5,2017-01-10,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Water Retention Fifteen Bar (3C2a1a),0.8,2017-03-27,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Mehlich III Phosphorus (4D6a1),9.4,,,,,,,,,,,"",USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
ef7fec88-2e3f-4387-87cf-f0279da9e9da,BART_018.basePlot.all,D01,BART,BART_018,S2016NH003001,2016-05-11,16N04936,Bs2,2016-12-01,S2016NH003001-4,bulk,33,49,41,2016-12-14,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Water Retention, Air Dry-Oven Dry (3D1)",1.014,"","","",,,,,,2017-04-03,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Cation Exchange Capacity and Cations (4B1a1a),0,0,0,0,7.7,,,,,2017-03-05,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Potassium Chloride Extractable (4B3a1a),1,,3,2017-01-24,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine 1:1 Water and 1:2 0.01M CaCl2 pH (4C1a2a),4.7,5.3,2016-12-31,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Salt Prediction 1:2 (soil/water) (4F1a1a1),0.03,"","","",,,,,,,,,,,,,,,,,,,2016-12-22,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Total N, C, S (4H2a)",20.4,1,20,20,0.2,2017-03-06,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Acid Oxalate Extractable (4G2),0.7,0.65,186,168.2,0.13,0.22,2017-08-17,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Citrate Dithionate Extractable (4G1),0.6,0.8,0,0.1,2017-01-03,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Extractable Acidity, BaCl2-Triethanolamine, Centrifuge (4B2b1a1)",18.1,2017-01-10,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Water Retention Fifteen Bar (3C2a1a),6.1,2017-03-27,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Mehlich III Phosphorus (4D6a1),0.7,,,,,,,,,,,"",USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
9b28c75d-b522-402c-8cea-6e4ddc0be683,BART_081.basePlot.all,D01,BART,BART_081,S2016NH003002,2016-05-17,16N04941,Bs,2016-10-19,S2016NH003002-4,bulk,18,27,22.5,2016-12-14,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Water Retention, Air Dry-Oven Dry (3D1)",1.02,"","","",,,,,,2017-04-03,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Cation Exchange Capacity and Cations (4B1a1a),0,0,0,0,12,,,,,2017-03-05,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Potassium Chloride Extractable (4B3a1a),1.8,,0.1,2017-01-24,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine 1:1 Water and 1:2 0.01M CaCl2 pH (4C1a2a),4.4,4.5,2016-12-31,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Salt Prediction 1:2 (soil/water) (4F1a1a1),0.07,"","","",,,,,,,,,,,,,,,,,,,2016-12-22,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Total N, C, S (4H2a)",26.5,0.8,32,27,0.1,2017-03-07,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Acid Oxalate Extractable (4G2),0.89,0.24,2.1,83.1,0.28,0.36,2017-08-17,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Citrate Dithionate Extractable (4G1),0.6,0.7,0,0.1,2017-01-03,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Extractable Acidity, BaCl2-Triethanolamine, Centrifuge (4B2b1a1)",24.1,2017-01-10,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Water Retention Fifteen Bar (3C2a1a),7.7,2017-03-09,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Mehlich III Phosphorus (4D6a1),4.5,,,,,,,,,,,"",USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
bb504083-3584-46bf-8cc8-0e44f2b17b23,BART_081.basePlot.all,D01,BART,BART_081,S2016NH003002,2016-05-17,16N04940,Bhs,2016-12-01,S2016NH003002-3,bulk,13,18,15.5,2016-12-14,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Water Retention, Air Dry-Oven Dry (3D1)",1.024,"","","",,,,,,2017-04-03,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Cation Exchange Capacity and Cations (4B1a1a),0,0,0,0,19,,0,0,,2017-03-05,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Potassium Chloride Extractable (4B3a1a),5.1,,0,2017-01-24,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine 1:1 Water and 1:2 0.01M CaCl2 pH (4C1a2a),4.1,4.3,2016-12-31,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Salt Prediction 1:2 (soil/water) (4F1a1a1),0.12,"","","",,,,,,,,,,,,,,,,,,,2016-12-22,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Total N, C, S (4H2a)",45.9,1.4,32,46,0.2,2017-03-07,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Acid Oxalate Extractable (4G2),0.74,0.44,2.1,77.9,0.14,0.84,2017-08-17,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Citrate Dithionate Extractable (4G1),0.7,1.1,0,0.1,2017-01-22,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Extractable Acidity, BaCl2-Triethanolamine, Centrifuge (4B2b1a1)",58,2017-01-10,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Water Retention Fifteen Bar (3C2a1a),9.4,2017-03-09,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Mehlich III Phosphorus (4D6a1),1,,,,,,,,,,,"",USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
20e4284f-381d-4dbf-8c6c-272e11fb07c7,BART_081.basePlot.all,D01,BART,BART_081,S2016NH003002,2016-05-17,16N04943,BC2,2016-12-01,S2016NH003002-6,bulk,54,100,77,2016-12-14,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Water Retention, Air Dry-Oven Dry (3D1)",1.007,"","","",,,,,,2017-04-03,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Cation Exchange Capacity and Cations (4B1a1a),0,0,0,0,2.5,,,,,2017-03-05,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Potassium Chloride Extractable (4B3a1a),0.5,,0,2017-01-24,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine 1:1 Water and 1:2 0.01M CaCl2 pH (4C1a2a),4.9,5,2016-12-31,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Salt Prediction 1:2 (soil/water) (4F1a1a1),0.03,"","","",,,,,,,,,,,,,,,,,,,2016-12-22,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Total N, C, S (4H2a)",4.2,0.3,14,4,0,2017-03-07,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Acid Oxalate Extractable (4G2),0.38,0.1,13.2,84.3,0.14,0.05,2017-08-17,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Citrate Dithionate Extractable (4G1),0.2,0.3,0,0,2017-01-03,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Extractable Acidity, BaCl2-Triethanolamine, Centrifuge (4B2b1a1)",6.6,2017-01-10,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Water Retention Fifteen Bar (3C2a1a),3.1,2017-03-09,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Mehlich III Phosphorus (4D6a1),5.2,,,,,,,,,,,"",USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
48def63c-a438-4822-b6a4-a270a2d966c9,BART_081.basePlot.all,D01,BART,BART_081,S2016NH003002,2016-05-17,16N04942,BC1,2016-12-01,S2016NH003002-5,bulk,27,54,40.5,2016-12-14,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Water Retention, Air Dry-Oven Dry (3D1)",1.008,"","","",,,,,,2017-04-03,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Cation Exchange Capacity and Cations (4B1a1a),0,0,0,0,3.7,,,,,2017-03-05,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Potassium Chloride Extractable (4B3a1a),0.7,,0,2017-01-24,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine 1:1 Water and 1:2 0.01M CaCl2 pH (4C1a2a),4.7,4.8,2016-12-31,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Salt Prediction 1:2 (soil/water) (4F1a1a1),0.03,"","","",,,,,,,,,,,,,,,,,,,2016-12-22,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Total N, C, S (4H2a)",8,0.3,27,8,0.1,2017-03-07,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Acid Oxalate Extractable (4G2),0.43,0.09,6.3,76,0.14,0.11,2017-08-17,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Citrate Dithionate Extractable (4G1),0.3,0.4,0,0.1,2017-01-03,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Extractable Acidity, BaCl2-Triethanolamine, Centrifuge (4B2b1a1)",9.1,2017-01-10,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Water Retention Fifteen Bar (3C2a1a),3.5,2017-03-09,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Mehlich III Phosphorus (4D6a1),1.2,,,,,,,,,,,"",USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
edc668c3-d264-4332-b915-8ba420adb466,BART_081.basePlot.all,D01,BART,BART_081,S2016NH003002,2016-05-17,16N04939,E,2016-10-19,S2016NH003002-2,bulk,9,13,11,2016-12-14,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Water Retention, Air Dry-Oven Dry (3D1)",1.004,"","","",,,,,,2017-04-03,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Cation Exchange Capacity and Cations (4B1a1a),0,0,0,0,5.6,,0,0,,2017-03-05,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Potassium Chloride Extractable (4B3a1a),1.6,,0,2017-01-24,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine 1:1 Water and 1:2 0.01M CaCl2 pH (4C1a2a),3.4,4,2016-12-31,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Salt Prediction 1:2 (soil/water) (4F1a1a1),0.11,"","","",,,,,,,,,,,,,,,,,,,2016-12-22,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Total N, C, S (4H2a)",15.4,0.6,26,15,0.1,2017-03-07,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Acid Oxalate Extractable (4G2),0.05,0,2.1,63.9,0,0.04,2017-08-17,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Citrate Dithionate Extractable (4G1),0,0.1,0,0,2017-01-03,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Extractable Acidity, BaCl2-Triethanolamine, Centrifuge (4B2b1a1)",6.3,2017-01-10,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Water Retention Fifteen Bar (3C2a1a),4.7,2017-03-09,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Mehlich III Phosphorus (4D6a1),3,,,,,,,,,,,"",USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
