uid,namedLocation,domainID,siteID,plotID,nrcsDescriptionID,collectDate,horizonID,horizonName,bulkDensProcessedDate,bulkDensMethodPub,bulkDensMethod,bulkDensIDnrcs,bulkDensSampleType,bulkDensCenterDepth,bulkDensTopDepth,bulkDensBottomDepth,bulkDensThirdBar,bulkDensOvenDry,bulkDensFieldMoist,waterRetentionThirdBar,fieldWaterContent,laboratoryName,remarks,dataQF,publicationDate,release
30495561-a04c-41ad-b2e3-958479e6028f,BART_018.basePlot.all,D01,BART,BART_018,S2016NH003001,2016-05-11,16N04934,E/B,2017-06-21,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Clods (3B1)",S2016NH003001-2,clod,18,13,23,0.99,1.03,,27.4,,USDA NRCS Kellogg Soil Survey Laboratory,"",,20201217T163058Z,RELEASE-2021
4ac30cdf-f15d-4203-b48f-d11fa2331c62,BART_018.basePlot.all,D01,BART,BART_018,S2016NH003001,2016-05-11,16N04935,Bs1,2017-06-21,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Clods (3B1)",S2016NH003001-3,clod,28,23,33,0.93,0.95,,30.8,,USDA NRCS Kellogg Soil Survey Laboratory,"",,20201217T163058Z,RELEASE-2021
8f365815-b4ff-41ba-9755-e61c7053e560,BART_018.basePlot.all,D01,BART,BART_018,S2016NH003001,2016-05-11,16N04937,Cd,2018-05-31,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Clods (3B1)",S2016NH003001-5,clod,74.5,49,100,,,,,,USDA NRCS Kellogg Soil Survey Laboratory,Sample could not be analyzed.,,20201217T163058Z,RELEASE-2021
78826991-191b-484e-9098-616c9d8152bc,BART_018.basePlot.all,D01,BART,BART_018,S2016NH003001,2016-05-11,16N04933,Oa,2016-11-01,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Compliant Cavity (3B3)",S2016NH003001-1,compliant cavity,6.5,0,13,,,0.11,,334.5,USDA NRCS Kellogg Soil Survey Laboratory,"",,20201217T163058Z,RELEASE-2021
24209bd4-188c-4766-9cd9-f521ec89128e,BART_081.basePlot.all,D01,BART,BART_081,S2016NH003002,2016-05-17,16N04938,Oa,2016-11-01,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Compliant Cavity (3B3)",S2016NH003002-1,compliant cavity,4.5,0,9,,,0.15,,241.2,USDA NRCS Kellogg Soil Survey Laboratory,"",,20201217T163058Z,RELEASE-2021
2d5700f8-8521-492e-a01a-7d0b0565e46c,BART_081.basePlot.all,D01,BART,BART_081,S2016NH003002,2016-05-17,16N04942,BC1,2018-05-31,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Clods (3B1)",S2016NH003002-5,clod,40.5,27,54,,,,,,USDA NRCS Kellogg Soil Survey Laboratory,Sample could not be analyzed.,,20201217T163058Z,RELEASE-2021
2b78a863-c9b7-4983-a153-85a852a56556,BART_081.basePlot.all,D01,BART,BART_081,S2016NH003002,2016-05-17,16N04943,BC2,2017-06-21,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Clods (3B1)",S2016NH003002-6,clod,77,54,100,1.46,1.48,,14,,USDA NRCS Kellogg Soil Survey Laboratory,"",,20201217T163058Z,RELEASE-2021
feffbe8b-e5ed-4d49-8872-da09546b5190,BART_081.basePlot.all,D01,BART,BART_081,S2016NH003002,2016-05-17,16N04939,E,2016-11-01,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Compliant Cavity (3B3)",S2016NH003002-2,compliant cavity,11,9,13,,,0.68,,28.2,USDA NRCS Kellogg Soil Survey Laboratory,"",,20201217T163058Z,RELEASE-2021
0b32ff16-049c-421a-a273-efc98ae86e21,BART_081.basePlot.all,D01,BART,BART_081,S2016NH003002,2016-05-17,16N04941,Bs,2016-11-01,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Compliant Cavity (3B3)",S2016NH003002-4,compliant cavity,22.5,18,27,,,0.84,,23.2,USDA NRCS Kellogg Soil Survey Laboratory,"",,20201217T163058Z,RELEASE-2021
21bdce22-e4ba-49ea-b278-b53011066ccc,BART_012.basePlot.all,D01,BART,BART_012,S2016NH003003,2016-05-19,16N04947,Bw2,2018-05-31,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Clods (3B1)",S2016NH003003-4,clod,40.5,29,52,,,,,,USDA NRCS Kellogg Soil Survey Laboratory,Sample could not be analyzed.,,20201217T163058Z,RELEASE-2021
5101d540-ad13-4daa-8985-76cd524de837,BART_012.basePlot.all,D01,BART,BART_012,S2016NH003003,2016-05-19,16N04946,Bw1,2017-06-21,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Clods (3B1)",S2016NH003003-3,clod,18,7,29,1.57,1.58,,15.7,,USDA NRCS Kellogg Soil Survey Laboratory,"",,20201217T163058Z,RELEASE-2021
cebe6829-42fd-4797-909b-a4f858b899ed,BART_062.basePlot.all,D01,BART,BART_062,S2016NH003004,2016-05-23,16N04951,Bs1,2016-11-01,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Compliant Cavity (3B3)",S2016NH003004-3,compliant cavity,49,36,62,,,0.79,,44.4,USDA NRCS Kellogg Soil Survey Laboratory,"",,20201217T163058Z,RELEASE-2021
997fc760-0f9f-4e3b-a71d-431a0771bbf7,BART_062.basePlot.all,D01,BART,BART_062,S2016NH003004,2016-05-23,16N04949,Oa,2016-11-01,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Compliant Cavity (3B3)",S2016NH003004-1,compliant cavity,6.5,0,13,,,0.29,,122.4,USDA NRCS Kellogg Soil Survey Laboratory,"",,20201217T163058Z,RELEASE-2021
94381590-a5c2-4292-acab-64384302a26b,BART_027.basePlot.all,D01,BART,BART_027,S2016NH003005,2016-05-31,16N04953,Oa1,2016-11-01,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Compliant Cavity (3B3)",S2016NH003005-1,compliant cavity,12,0,24,,,0.1,,177,USDA NRCS Kellogg Soil Survey Laboratory,"",,20201217T163058Z,RELEASE-2021
