uid,namedLocation,domainID,siteID,plotID,nrcsDescriptionID,collectDate,horizonID,horizonName,biogeoIDnrcs,biogeoSampleType,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,particleSizeDistProcessedDate,particleSizeDistMethodPub,particleSizeDistMethod,coarseFrag2To5,coarseFrag5To20,sandTotal,siltTotal,clayTotal,carbonateClay,clayFineContent,siltFineContent,siltCoarseContent,sandVeryFineContent,sandFineContent,sandMediumContent,sandCoarseContent,sandVeryCoarseContent,laboratoryName,dataQF,publicationDate,release
6631d9e2-9d4b-4522-aa1d-bddf3b9dd76b,BART_018.basePlot.all,D01,BART,BART_018,S2016NH003001,2016-05-11,16N04936,Bs2,S2016NH003001-4,bulk,33,49,41,2017-01-10,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine Particle Size Distribution (3A1a1a),71.9,134.1,55.3,42.3,2.4,,,17.6,24.7,22.7,15,8.6,3.6,5.4,USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
d8d96ffd-c8c3-40b5-950d-2754f4ca28a3,BART_018.basePlot.all,D01,BART,BART_018,S2016NH003001,2016-05-11,16N04937,Cd,S2016NH003001-5,bulk,49,100,74.5,2017-01-10,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine Particle Size Distribution (3A1a1a),78.3,110.1,69.5,30,0.5,,,11.9,18.1,20.4,19.2,11.4,10.3,8.2,USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
96e1407b-3819-497f-afcb-51f0f4e3c0c1,BART_018.basePlot.all,D01,BART,BART_018,S2016NH003001,2016-05-11,16N04933,Oa,S2016NH003001-1,bulk,0,13,6.5,"","","",0,0,,,,,,,,,,,,,USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
e2d8228a-051b-410e-a4f3-f14de611f722,BART_018.basePlot.all,D01,BART,BART_018,S2016NH003001,2016-05-11,16N04934,E/B,S2016NH003001-2,bulk,13,23,18,2017-01-10,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine Particle Size Distribution (3A1a1a),70.9,110.3,64,32.9,3.1,,,14.1,18.8,22.1,17.6,9.1,8.4,6.8,USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
af922fb5-614b-4b2b-9842-acea34957202,BART_018.basePlot.all,D01,BART,BART_018,S2016NH003001,2016-05-11,16N04935,Bs1,S2016NH003001-3,bulk,23,33,28,2017-01-10,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine Particle Size Distribution (3A1a1a),81.1,117.9,59.6,37.2,3.2,,,15.5,21.7,21.3,18.3,7.3,7.2,5.5,USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
7fa5a352-dd2b-4d1e-afab-0758d7b7a87d,BART_081.basePlot.all,D01,BART,BART_081,S2016NH003002,2016-05-17,16N04941,Bs,S2016NH003002-4,bulk,18,27,22.5,2017-01-10,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine Particle Size Distribution (3A1a1a),134.8,135.7,67.5,29.6,2.9,,,13.1,16.5,16.1,15.9,13,13,9.5,USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
f02ceffb-953f-4fe1-b634-062b6eed4faf,BART_081.basePlot.all,D01,BART,BART_081,S2016NH003002,2016-05-17,16N04943,BC2,S2016NH003002-6,bulk,54,100,77,2017-01-10,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine Particle Size Distribution (3A1a1a),129.4,94.1,63.5,35,1.5,,,14.8,20.2,17,15.8,14.6,10,6.1,USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
badbdb59-809c-4ea8-8b1b-724481203cfe,BART_081.basePlot.all,D01,BART,BART_081,S2016NH003002,2016-05-17,16N04940,Bhs,S2016NH003002-3,bulk,13,18,15.5,2017-01-10,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine Particle Size Distribution (3A1a1a),128.8,189.6,71.2,24.4,4.4,,,11.9,12.5,12.9,14.1,12.9,17.4,13.9,USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
8acc5f4e-6711-4875-9eb3-1abfe6e5b48c,BART_081.basePlot.all,D01,BART,BART_081,S2016NH003002,2016-05-17,16N04942,BC1,S2016NH003002-5,bulk,27,54,40.5,2017-01-10,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine Particle Size Distribution (3A1a1a),123.7,91.4,65.8,32.3,1.9,,,13.8,18.5,12.6,18.3,12.8,13,9.1,USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
d6184e57-ffe3-4a52-9cc7-395a6e07a545,BART_081.basePlot.all,D01,BART,BART_081,S2016NH003002,2016-05-17,16N04939,E,S2016NH003002-2,bulk,9,13,11,2017-01-10,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine Particle Size Distribution (3A1a1a),144.2,201.1,66.9,30.5,2.6,,,14.9,15.6,17,15.7,14.7,8.9,10.6,USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
41608b63-2b4e-4ef4-ac40-7fc573d43153,BART_081.basePlot.all,D01,BART,BART_081,S2016NH003002,2016-05-17,16N04938,Oa,S2016NH003002-1,bulk,0,9,4.5,"","","",0,0,,,,,,,,,,,,,USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
f504c475-5bdd-41f1-ae21-ed8839a7351d,BART_012.basePlot.all,D01,BART,BART_012,S2016NH003003,2016-05-19,16N04946,Bw1,S2016NH003003-3,bulk,7,29,18,2017-01-10,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine Particle Size Distribution (3A1a1a),88.3,73,67.7,29.1,3.2,,,16.9,12.2,10.4,12.7,12.6,16.2,15.8,USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
66662d5f-a629-4254-826e-5ff01ede2f34,BART_012.basePlot.all,D01,BART,BART_012,S2016NH003003,2016-05-19,16N04948,C,S2016NH003003-5,bulk,52,100,76,2017-01-10,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine Particle Size Distribution (3A1a1a),180.3,280.2,81,15.8,3.2,,,9,6.8,8.4,14.4,20.5,26.5,11.2,USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
28d85f08-85f6-4a47-9642-1d9e32dc5d5a,BART_012.basePlot.all,D01,BART,BART_012,S2016NH003003,2016-05-19,16N04944,Oa,S2016NH003003-1,bulk,0,3,1.5,"","","",37.4,63.2,,,,,,,,,,,,,USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
f17cdf1a-5314-4ad7-96fe-74c992286700,BART_012.basePlot.all,D01,BART,BART_012,S2016NH003003,2016-05-19,16N04947,Bw2,S2016NH003003-4,bulk,29,52,40.5,2017-01-10,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine Particle Size Distribution (3A1a1a),90.7,53,68.6,28.3,3.1,,,16.3,12,10.6,13.6,14.7,14.2,15.5,USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
830acc8f-5fec-413b-9e58-824b56152865,BART_012.basePlot.all,D01,BART,BART_012,S2016NH003003,2016-05-19,16N04945,A,S2016NH003003-2,bulk,3,7,5,2017-01-10,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine Particle Size Distribution (3A1a1a),99.3,86.6,66.5,29.3,4.2,,,15.6,13.7,13,14.8,13.4,15.3,10,USDA NRCS Kellogg Soil Survey Laboratory,,20201217T163058Z,RELEASE-2021
