uid,namedLocation,domainID,siteID,plotID,pitID,collectDate,testProtocolVersion,nrcsDescriptionID,horizonID,horizonName,horizonTopDepth,horizonBottomDepth,remarks,dataQF,publicationDate,release
e8f07f8c-b0a9-4bcd-be79-f44ff29ba427,BART_018.basePlot.all,D01,BART,BART_018,1091219,2016-05-11,Field Book for Describing and Sampling Soils ver3,S2016NH003001,16N04935,Bs1,23,33,"",,20201217T163058Z,RELEASE-2021
14d583dd-09c4-4fab-b59d-ee622deed382,BART_018.basePlot.all,D01,BART,BART_018,1091219,2016-05-11,Field Book for Describing and Sampling Soils ver3,S2016NH003001,16N04936,Bs2,33,49,includes some buried O horizon,,20201217T163058Z,RELEASE-2021
2566a524-f6de-4463-9a39-c2a621d20b6b,BART_018.basePlot.all,D01,BART,BART_018,1091219,2016-05-11,Field Book for Describing and Sampling Soils ver3,S2016NH003001,16N04934,E/B,13,23,"",,20201217T163058Z,RELEASE-2021
7a01795c-df7b-454d-b3ea-f6e4f4f1a64c,BART_018.basePlot.all,D01,BART,BART_018,1091219,2016-05-11,Field Book for Describing and Sampling Soils ver3,S2016NH003001,16N04933,Oa,0,13,"",,20201217T163058Z,RELEASE-2021
4fc6c7a6-1fd6-4a11-b448-1b1deab30885,BART_018.basePlot.all,D01,BART,BART_018,1091219,2016-05-11,Field Book for Describing and Sampling Soils ver3,S2016NH003001,16N04937,Cd,49,100,"",,20201217T163058Z,RELEASE-2021
6f54c639-315d-4920-908f-2219c3d186bd,BART_081.basePlot.all,D01,BART,BART_081,1091221,2016-05-17,Field Book for Describing and Sampling Soils ver3,S2016NH003002,16N04940,Bhs,13,18,5% cemented,,20201217T163058Z,RELEASE-2021
ddc3b26d-6f29-4e6f-bf20-4116f8472f8e,BART_081.basePlot.all,D01,BART,BART_081,1091221,2016-05-17,Field Book for Describing and Sampling Soils ver3,S2016NH003002,16N04942,BC1,27,54,"",,20201217T163058Z,RELEASE-2021
06365591-8217-4db1-b3f6-038920cf993d,BART_081.basePlot.all,D01,BART,BART_081,1091221,2016-05-17,Field Book for Describing and Sampling Soils ver3,S2016NH003002,16N04939,E,9,13,"",,20201217T163058Z,RELEASE-2021
50861adf-6925-4663-bab4-6a806f6e2b7b,BART_081.basePlot.all,D01,BART,BART_081,1091221,2016-05-17,Field Book for Describing and Sampling Soils ver3,S2016NH003002,16N04941,Bs,18,27,"",,20201217T163058Z,RELEASE-2021
5fa8929f-3a5d-4a6b-9bdb-967c6d503f5a,BART_081.basePlot.all,D01,BART,BART_081,1091221,2016-05-17,Field Book for Describing and Sampling Soils ver3,S2016NH003002,16N04943,BC2,54,100,at 100 cm there is a large root mass,,20201217T163058Z,RELEASE-2021
5c0ba145-d0ef-411d-85e4-53853ca9872b,BART_081.basePlot.all,D01,BART,BART_081,1091221,2016-05-17,Field Book for Describing and Sampling Soils ver3,S2016NH003002,16N04938,Oa,0,9,"",,20201217T163058Z,RELEASE-2021
42b62e6a-3532-4bb1-a989-bc8f8bfc0ba5,BART_012.basePlot.all,D01,BART,BART_012,1091222,2016-05-19,Field Book for Describing and Sampling Soils ver3,S2016NH003003,16N04946,Bw1,7,29,"",,20201217T163058Z,RELEASE-2021
c4529494-8838-4460-8ce7-32691cb35787,BART_012.basePlot.all,D01,BART,BART_012,1091222,2016-05-19,Field Book for Describing and Sampling Soils ver3,S2016NH003003,16N04947,Bw2,29,52,"",,20201217T163058Z,RELEASE-2021
a0d608be-388f-4a68-ae76-b6533e1bc798,BART_012.basePlot.all,D01,BART,BART_012,1091222,2016-05-19,Field Book for Describing and Sampling Soils ver3,S2016NH003003,16N04945,A,3,7,"",,20201217T163058Z,RELEASE-2021
0ecf0a91-6c76-4754-bf4a-ac57508baf2d,BART_012.basePlot.all,D01,BART,BART_012,1091222,2016-05-19,Field Book for Describing and Sampling Soils ver3,S2016NH003003,16N04944,Oa,0,3,"",,20201217T163058Z,RELEASE-2021
a42bbfa4-fb42-47b3-b8cb-0b0632a956ad,BART_012.basePlot.all,D01,BART,BART_012,1091222,2016-05-19,Field Book for Describing and Sampling Soils ver3,S2016NH003003,16N04948,C,52,100,"",,20201217T163058Z,RELEASE-2021
58a586fc-db51-4b7f-bf2b-f6ae59717b61,BART_062.basePlot.all,D01,BART,BART_062,1091223,2016-05-23,Field Book for Describing and Sampling Soils ver3,S2016NH003004,16N04952,Bs2,62,100,"",,20201217T163058Z,RELEASE-2021
e0bf2699-2f65-4c69-bf9a-4f64bf35a65f,BART_062.basePlot.all,D01,BART,BART_062,1091223,2016-05-23,Field Book for Describing and Sampling Soils ver3,S2016NH003004,16N04951,Bs1,36,62,"",,20201217T163058Z,RELEASE-2021
ef19c48a-348f-420b-b79d-3789c7c0d595,BART_062.basePlot.all,D01,BART,BART_062,1091223,2016-05-23,Field Book for Describing and Sampling Soils ver3,S2016NH003004,16N04950,E,13,36,"",,20201217T163058Z,RELEASE-2021
cf983a6b-1c35-4506-9592-9cb751cc8ebd,BART_062.basePlot.all,D01,BART,BART_062,1091223,2016-05-23,Field Book for Describing and Sampling Soils ver3,S2016NH003004,16N04949,Oa,0,13,"",,20201217T163058Z,RELEASE-2021
619fe12a-111d-4e05-906e-c2b11550fafc,BART_027.basePlot.all,D01,BART,BART_027,1091224,2016-05-31,Field Book for Describing and Sampling Soils ver3,S2016NH003005,16N04958,C,73,100,consistence is firm in place but friable in hand,,20201217T163058Z,RELEASE-2021
c7a3a22f-3b20-49c8-81fe-ce45bc80dafd,BART_027.basePlot.all,D01,BART,BART_027,1091224,2016-05-31,Field Book for Describing and Sampling Soils ver3,S2016NH003005,16N04955,E,30,35,"",,20201217T163058Z,RELEASE-2021
5593b667-e6cb-4556-bb00-7ccf703c7284,BART_027.basePlot.all,D01,BART,BART_027,1091224,2016-05-31,Field Book for Describing and Sampling Soils ver3,S2016NH003005,16N04957,BC,47,73,"",,20201217T163058Z,RELEASE-2021
1d7c6a63-cf24-4e30-8e4f-f0925416453f,BART_027.basePlot.all,D01,BART,BART_027,1091224,2016-05-31,Field Book for Describing and Sampling Soils ver3,S2016NH003005,16N04954,Oa2,24,30,"",,20201217T163058Z,RELEASE-2021
22d6fba7-c670-4d84-98f9-e6cf59800246,BART_027.basePlot.all,D01,BART,BART_027,1091224,2016-05-31,Field Book for Describing and Sampling Soils ver3,S2016NH003005,16N04953,Oa1,0,24,decomposed log makes up 10% of horizon,,20201217T163058Z,RELEASE-2021
6dfb8a5d-9364-400c-a2f7-2b990e2d6cb0,BART_027.basePlot.all,D01,BART,BART_027,1091224,2016-05-31,Field Book for Describing and Sampling Soils ver3,S2016NH003005,16N04956,Bhs,35,47,30% cemented,,20201217T163058Z,RELEASE-2021
