uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,collectDate,cnSampleID,cnSampleCode,sampleType,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release
5e6a95d3-2613-4daa-8fff-62c031aa594b,2016-10-24,MEGAPT100963,D01,BART,,,2013-08-19T16:00Z,BART.3.80.LIVE.<2MM,,vegetation,-0.5,-28.8,1.2,39.5,32.2,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211220T233412Z,RELEASE-2022
d7c142b6-1eb3-4640-9538-fde46e6a4f1a,2016-10-24,MEGAPT100963,D01,BART,,,2013-08-19T16:00Z,BART.3.60.DEAD.<2MM,,vegetation,-0.5,-28.5,0.7,45.5,69.5,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211220T233412Z,RELEASE-2022
047f0bc1-291d-4fed-a827-1f47aabf83ff,2016-10-24,MEGAPT100963,D01,BART,,,2013-08-19T16:00Z,BART.3.80.DEAD.<2MM,,vegetation,0.7,-29.6,0.9,42.7,47.3,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211220T233412Z,RELEASE-2022
a20ff529-99c9-4891-95c1-9018509e1f27,2016-10-19,MEGAPT100963,D01,BART,,,2013-08-19T16:00Z,BART.1.90.DEAD.<2MM,,vegetation,2.7,-27,0.6,42.8,66.1,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211220T233412Z,RELEASE-2022
5d926494-f555-4235-bd08-619e233292ad,2016-10-24,MEGAPT100963,D01,BART,,,2013-08-19T16:00Z,BART.3.140.DEAD.<2MM,,vegetation,1,-29,0.75,48.1,61.1,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211220T233412Z,RELEASE-2022
f04a839b-c15d-495a-b988-1eb55d5b8d03,2016-10-24,MEGAPT100963,D01,BART,,,2013-08-19T16:00Z,BART.2.30.DEAD.>2MM,,vegetation,-1.1,-27.9,0.8,47.3,62,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211220T233412Z,RELEASE-2022
74d3113f-ec08-4c92-a878-201db65084b3,2016-10-24,MEGAPT100963,D01,BART,,,2013-08-19T16:00Z,BART.2.10.DEAD.>2MM,,vegetation,0.7,-27.5,0.5,49.2,100,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211220T233412Z,RELEASE-2022
d56e1e2c-8cff-4aea-a15e-e2bcd1ab2518,2016-10-18,MEGAPT100963,D01,BART,,,2013-08-19T16:00Z,BART.1.40.DEAD.<2MM,,vegetation,1.5,-28.5,0.6,42,74.7,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211220T233412Z,RELEASE-2022
de3d61d6-7f53-4c36-bd83-714d00ee98f7,2016-12-16,MEGAPT100963,D01,BART,,,2013-08-19T16:00Z,BART.3.70.DEAD.<2MM,,vegetation,0.2,-27.9,0.7,40.4,60.8,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211220T233412Z,RELEASE-2022
507235ac-47f1-42ff-88be-c343b67821d8,2016-10-24,MEGAPT100963,D01,BART,,,2013-08-19T16:00Z,BART.3.20.DEAD.>2MM,,vegetation,0.9,-26.7,0.6,45.1,76.2,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211220T233412Z,RELEASE-2022
b44c5a5d-87c3-46ea-bfb4-068bbd157a1b,2016-10-24,MEGAPT100963,D01,BART,,,2013-08-19T16:00Z,BART.3.30.DEAD.<2MM,,vegetation,1.2,-28.4,0.6,45,80.6,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211220T233412Z,RELEASE-2022
f0580ade-0404-4e3c-b72d-a99092df9ad6,2016-10-24,MEGAPT100963,D01,BART,,,2013-08-19T16:00Z,BART.3.0.LIVE.<2MM,,vegetation,-1.2,-28,0.75,42.65,56.7,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211220T233412Z,RELEASE-2022
5803ae4e-3014-4e06-aaea-8a167363f3e2,2016-10-24,MEGAPT100963,D01,BART,,,2013-08-19T16:00Z,BART.2.0.DEAD.>2MM,,vegetation,-0.4,-25.9,0.4,44,122.3,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211220T233412Z,RELEASE-2022
0f87b36c-87dc-495f-8be2-ab0b7895b2f9,2016-12-16,MEGAPT100963,D01,BART,,,2013-08-19T16:00Z,BART.2.60.LIVE.<2MM,,vegetation,1.4,-27.9,0.7,45.1,68.8,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211220T233412Z,RELEASE-2022
2832ee30-884c-4b61-9c0b-2cfdb6101508,2016-10-24,MEGAPT100963,D01,BART,,,2013-08-19T16:00Z,BART.2.100.DEAD.<2MM,,vegetation,2.7,-27.2,1.1,48.5,43.4,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211220T233412Z,RELEASE-2022
b8b6e969-3c1d-41d3-9c8f-7828871a63da,2016-10-31,MEGAPT100963,D01,BART,,,2013-08-19T16:00Z,BART.3.140.LIVE.<2MM,,vegetation,0.6,-28.6,1.1,48.8,43.3,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211220T233412Z,RELEASE-2022
891a9995-2f88-496c-a880-2529535a8a9b,2016-10-24,MEGAPT100963,D01,BART,,,2013-08-19T16:00Z,BART.2.10.LIVE.<2MM,,vegetation,0.7,-28.2,0.5,49.1,91,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211220T233412Z,RELEASE-2022
c554e12a-5899-4044-abd1-2f4948e2662e,2016-10-24,MEGAPT100963,D01,BART,,,2013-08-19T16:00Z,BART.3.60.LIVE.<2MM,,vegetation,2.2,-27.5,1.2,45,38.2,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211220T233412Z,RELEASE-2022
