uid,pitNamedLocation,endDate,pitProfileID,depthIncrementID,topDepth,bottomDepth,depthIncrementVolume,sampleMethod,remarks,publicationDate,release
3c50f4b5-f964-4790-b120-a0c89194c481,MEGAPT100963,2013-08-19,BART.2,BART.2.30,30,40,0.001,sk,translocated to the right to avoid very large rock,20211220T233412Z,RELEASE-2022
443d1a89-8418-498f-816e-034b599bf465,MEGAPT100963,2013-08-19,BART.3,BART.3.50,50,60,0.001,sk,"",20211220T233412Z,RELEASE-2022
f3714ef2-e657-40e7-ae12-53574499398f,MEGAPT100963,2013-08-19,BART.2,BART.2.80,80,90,0.000941,sk,"",20211220T233412Z,RELEASE-2022
c204cce9-f98c-4910-a594-5abe032f1669,MEGAPT100963,2013-08-19,BART.1,BART.1.90,90,100,0.001,sk,"",20211220T233412Z,RELEASE-2022
f8c2bb32-bc03-4dc1-91f8-f888930aa42a,MEGAPT100963,2013-08-19,BART.2,BART.2.20,20,30,0.00045,sk,"",20211220T233412Z,RELEASE-2022
2d33f14a-d977-419d-8e4b-01c0f4f034af,MEGAPT100963,2013-08-19,BART.2,BART.2.120,120,140,0.0022,sk,"",20211220T233412Z,RELEASE-2022
ea9d5f8b-6fee-4aa0-a297-f8a65e739828,MEGAPT100963,2013-08-19,BART.3,BART.3.40,40,50,0.0011,sk,"",20211220T233412Z,RELEASE-2022
ca2286aa-02bb-47e3-8471-6b6de55fb1f6,MEGAPT100963,2013-08-19,BART.3,BART.3.10,10,20,0.00187,sk,"",20211220T233412Z,RELEASE-2022
10a68080-91e2-41d1-8b9f-155b2a8462f0,MEGAPT100963,2013-08-19,BART.3,BART.3.30,30,40,0.0011,sk,"",20211220T233412Z,RELEASE-2022
45fc4c59-a8e0-4331-9fd0-39472c25d28e,MEGAPT100963,2013-08-19,BART.1,BART.1.140,140,160,0.002,sk,"",20211220T233412Z,RELEASE-2022
3515e395-40be-4491-adb2-7b746d913072,MEGAPT100963,2013-08-19,BART.3,BART.3.70,70,80,0.00105,sk,rock in middle of sample,20211220T233412Z,RELEASE-2022
c761b293-1eb4-4c92-ab43-05319139627b,MEGAPT100963,2013-08-19,BART.1,BART.1.80,80,90,0.0011,sk,"",20211220T233412Z,RELEASE-2022
10d6e8ce-2cac-42e4-8d71-5b1300966f44,MEGAPT100963,2013-08-19,BART.3,BART.3.100,100,120,0.0018,sk,"",20211220T233412Z,RELEASE-2022
e41ddf80-50bc-4ca9-a8e1-583402db6d9b,MEGAPT100963,2013-08-19,BART.1,BART.1.0,0,10,0.001,sk,"",20211220T233412Z,RELEASE-2022
3d5ea043-67d7-4f8d-bdf0-956aa3aa814e,MEGAPT100963,2013-08-19,BART.1,BART.1.70,70,80,0.001,sk,"",20211220T233412Z,RELEASE-2022
c98ddf57-4d2e-4d97-80d8-d36e252a5079,MEGAPT100963,2013-08-19,BART.2,BART.2.90,90,100,0.00108,sk,small amount from face adjacent to sample fell in to sample collection,20211220T233412Z,RELEASE-2022
f2ac6c12-4863-4fe6-8e5c-27974eda972f,MEGAPT100963,2013-08-19,BART.1,BART.1.100,100,120,0.0022,sk,"",20211220T233412Z,RELEASE-2022
72134570-cc32-4aef-b425-5533e84e2b21,MEGAPT100963,2013-08-19,BART.2,BART.2.40,40,50,0.0012,sk,"",20211220T233412Z,RELEASE-2022
ace1afed-2b08-4263-8962-a48b4ed372e3,MEGAPT100963,2013-08-19,BART.2,BART.2.140,140,160,0.002,sk,"",20211220T233412Z,RELEASE-2022
8456951c-52a9-4c08-8338-b761306ab198,MEGAPT100963,2013-08-19,BART.3,BART.3.90,90,100,0.0011,sk,"",20211220T233412Z,RELEASE-2022
f6bfd7df-f5bf-4862-9ab1-5e9262656adc,MEGAPT100963,2013-08-19,BART.2,BART.2.0,0,10,0.001,sk,"",20211220T233412Z,RELEASE-2022
8cd134f7-16fd-4a10-8730-c68e4316e897,MEGAPT100963,2013-08-19,BART.3,BART.3.0,0,10,0.00099,sk,"",20211220T233412Z,RELEASE-2022
26f4f21b-3914-4b03-9146-362903a80a37,MEGAPT100963,2013-08-19,BART.1,BART.1.30,30,40,9e-04,sk,"",20211220T233412Z,RELEASE-2022
df420d2e-b55a-4de7-85fb-6beac9bc7be3,MEGAPT100963,2013-08-19,BART.1,BART.1.40,40,50,0.001,sk,"",20211220T233412Z,RELEASE-2022
e7cd3c0d-b5cd-4b55-9ee9-95a5e8ad1aba,MEGAPT100963,2013-08-19,BART.1,BART.1.120,120,140,0.0022,sk,"",20211220T233412Z,RELEASE-2022
03aba771-f49a-4123-8eb3-75c555b2b523,MEGAPT100963,2013-08-19,BART.2,BART.2.60,60,70,0.0014,sk,"",20211220T233412Z,RELEASE-2022
9698b66f-4e86-49d1-b3f7-82002c21dc1d,MEGAPT100963,2013-08-19,BART.3,BART.3.140,140,160,0.002,sk,"",20211220T233412Z,RELEASE-2022
18671179-0cc0-459e-a481-93e73e2c1d88,MEGAPT100963,2013-08-19,BART.3,BART.3.120,120,140,0.002,sk,"",20211220T233412Z,RELEASE-2022
44f19849-bcfd-4989-9469-659a1154eaa6,MEGAPT100963,2013-08-19,BART.1,BART.1.60,60,70,0.00132,sk,"",20211220T233412Z,RELEASE-2022
6b6d460b-20c1-4223-ba23-7186aadc4070,MEGAPT100963,2013-08-19,BART.3,BART.3.60,60,70,0.001,sk,"",20211220T233412Z,RELEASE-2022
ba8458b0-b3b8-4b44-b7a9-73b9b5d8ac75,MEGAPT100963,2013-08-19,BART.1,BART.1.10,10,20,0.001,sk,"",20211220T233412Z,RELEASE-2022
92f93c6d-3ce4-4b48-ad59-424ea3a49ce6,MEGAPT100963,2013-08-19,BART.2,BART.2.50,50,60,0.00154,sk,"",20211220T233412Z,RELEASE-2022
8523dccf-db33-4b70-a725-2ef75905d7b4,MEGAPT100963,2013-08-19,BART.2,BART.2.70,70,80,0.001,sk,"",20211220T233412Z,RELEASE-2022
114bc0eb-46f6-4c7d-b7ae-b5e2b4179ac0,MEGAPT100963,2013-08-19,BART.1,BART.1.50,50,60,0.001,sk,"",20211220T233412Z,RELEASE-2022
2126188c-b1d3-4f71-8201-4b33a5181bdf,MEGAPT100963,2013-08-19,BART.1,BART.1.20,20,30,0.001,sk,"",20211220T233412Z,RELEASE-2022
9e6dccb0-cfbf-4512-82c9-1ac494b04774,MEGAPT100963,2013-08-19,BART.3,BART.3.80,80,90,0.00108,sk,"",20211220T233412Z,RELEASE-2022
35dace02-d930-4d7f-97fa-d0538047eb28,MEGAPT100963,2013-08-19,BART.3,BART.3.20,20,30,0.001,sk,"",20211220T233412Z,RELEASE-2022
86a5e9fd-1d8c-48cd-827e-f503e2ac7a8f,MEGAPT100963,2013-08-19,BART.2,BART.2.100,100,120,0.002,sk,"",20211220T233412Z,RELEASE-2022
38724679-7cbc-4e6d-af10-1d553964b0f4,MEGAPT100963,2013-08-19,BART.2,BART.2.10,10,20,0.001,sk,very large rock that spread far and prevented horizontal shift of sample,20211220T233412Z,RELEASE-2022
b23ce837-116b-48c3-9812-3f9ddc0eef06,MEGAPT100973,2012-07-17,HARV.1,HARV.1.70,70,80,0.000345,bdc,,20211221T000133Z,RELEASE-2022
0a98e0c5-bd1f-4e60-981b-61c0dcb2231e,MEGAPT100973,2012-07-17,HARV.1,HARV.1.120,120,130,0.000426,bdc,,20211221T000133Z,RELEASE-2022
6374522d-701f-4c0e-9df3-9fb11f088992,MEGAPT100973,2012-07-17,HARV.2,HARV.2.20,20,30,0.000547,bdc,,20211221T000133Z,RELEASE-2022
a1ba5115-36a9-4396-850f-0732bb309d47,MEGAPT100973,2012-07-17,HARV.3,HARV.3.20,20,30,0.000365,bdc,,20211221T000133Z,RELEASE-2022
9b58697e-967e-4639-ae28-2ff0869ca850,MEGAPT100973,2012-07-17,HARV.2,HARV.2.60,60,70,0.000507,bdc,,20211221T000133Z,RELEASE-2022
4f6df5d3-a311-4587-87ec-d32b76b8b87b,MEGAPT100973,2012-07-17,HARV.1,HARV.1.40,40,50,0.000284,bdc,,20211221T000133Z,RELEASE-2022
76becde4-5cf9-4163-a33d-9d64cdc4922d,MEGAPT100973,2012-07-17,HARV.2,HARV.2.0,0,10,0.000588,bdc,,20211221T000133Z,RELEASE-2022
1c2cdef8-22a4-46d7-97e2-e51678655b42,MEGAPT100973,2012-07-17,HARV.3,HARV.3.0,0,10,0.000527,bdc,,20211221T000133Z,RELEASE-2022
7e72dd42-85ec-4592-9d0f-b18395e850c3,MEGAPT100973,2012-07-17,HARV.2,HARV.2.30,30,40,0.000568,bdc,,20211221T000133Z,RELEASE-2022
612d3637-847a-44b8-af6a-b556e383acba,MEGAPT100973,2012-07-17,HARV.1,HARV.1.80,80,90,0.000588,bdc,,20211221T000133Z,RELEASE-2022
a52064d3-0df1-41f0-9bac-b24f955f250a,MEGAPT100973,2012-07-17,HARV.3,HARV.3.30,30,40,0.000608,bdc,,20211221T000133Z,RELEASE-2022
4efabf50-f0da-4fe0-bfde-87a6f4b0e82f,MEGAPT100973,2012-07-17,HARV.1,HARV.1.30,30,40,0.000486,bdc,,20211221T000133Z,RELEASE-2022
