uid,pitNamedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,endDate,pitID,pitProfileID,rootStatus,sizeCategory,maxProfileDepth,totalRootBiomass,depth100RootBiomass,samplingProtocolVersion,rootsCollectedByA,rootsCollectedByB,publicationDate,release
062ac4b9-d607-4f78-8c00-466d36f66148,MEGAPT100963,D01,BART,44.06516,-71.28834,,4.5,284,,2013-08-19,1_BARTLETT_PIT1,BART.1,dead,>2mm,80,67.58,67.58,NEON.DOC.001307vA,Jennifer Everhart,Kali Blevins,20211220T233412Z,RELEASE-2022
96b6a726-735f-41f4-ab62-9d02ba434c1f,MEGAPT100963,D01,BART,44.06516,-71.28834,,4.5,284,,2013-08-19,1_BARTLETT_PIT1,BART.1,dead,<=2mm,160,147.78,144.56,NEON.DOC.001307vA,Jennifer Everhart,Kali Blevins,20211220T233412Z,RELEASE-2022
ca5580f6-3028-4aba-ac1f-b63dfd7b7d8f,MEGAPT100963,D01,BART,44.06516,-71.28834,,4.5,284,,2013-08-19,1_BARTLETT_PIT1,BART.3,live,<=2mm,160,951.61,930.84,NEON.DOC.001307vA,Jennifer Everhart,Kali Blevins,20211220T233412Z,RELEASE-2022
e75a0b3c-6ed4-4c6b-aa9e-e3c9c91c26a3,MEGAPT100963,D01,BART,44.06516,-71.28834,,4.5,284,,2013-08-19,1_BARTLETT_PIT1,BART.2,dead,>2mm,40,123.63,123.63,NEON.DOC.001307vA,Jennifer Everhart,Kali Blevins,20211220T233412Z,RELEASE-2022
7bb81d53-df6a-4089-92e8-db6261d83c25,MEGAPT100963,D01,BART,44.06516,-71.28834,,4.5,284,,2013-08-19,1_BARTLETT_PIT1,BART.2,dead,<=2mm,140,237.08,236.07,NEON.DOC.001307vA,Jennifer Everhart,Kali Blevins,20211220T233412Z,RELEASE-2022
c54c1349-3432-4521-8de2-31abd5b322a6,MEGAPT100963,D01,BART,44.06516,-71.28834,,4.5,284,,2013-08-19,1_BARTLETT_PIT1,BART.3,live,>2mm,30,642.14,642.14,NEON.DOC.001307vA,Jennifer Everhart,Kali Blevins,20211220T233412Z,RELEASE-2022
54c57796-6eef-48b2-8b58-07038880534b,MEGAPT100963,D01,BART,44.06516,-71.28834,,4.5,284,,2013-08-19,1_BARTLETT_PIT1,BART.1,live,<=2mm,160,1725.39,1723.5,NEON.DOC.001307vA,Jennifer Everhart,Kali Blevins,20211220T233412Z,RELEASE-2022
497abf86-5cb5-40a8-9ae6-5f5fb15f919f,MEGAPT100963,D01,BART,44.06516,-71.28834,,4.5,284,,2013-08-19,1_BARTLETT_PIT1,BART.2,live,>2mm,30,1610.34,1610.34,NEON.DOC.001307vA,Jennifer Everhart,Kali Blevins,20211220T233412Z,RELEASE-2022
7fb95843-348a-4dbc-81ea-1676e9bd45fe,MEGAPT100963,D01,BART,44.06516,-71.28834,,4.5,284,,2013-08-19,1_BARTLETT_PIT1,BART.3,dead,<=2mm,160,228.59,221.74,NEON.DOC.001307vA,Jennifer Everhart,Kali Blevins,20211220T233412Z,RELEASE-2022
6f695984-fc48-4fec-934d-f426a8d9abaa,MEGAPT100963,D01,BART,44.06516,-71.28834,,4.5,284,,2013-08-19,1_BARTLETT_PIT1,BART.2,live,<=2mm,160,1071.92,1070.97,NEON.DOC.001307vA,Jennifer Everhart,Kali Blevins,20211220T233412Z,RELEASE-2022
613af715-b597-4890-a621-926ce945dd6b,MEGAPT100963,D01,BART,44.06516,-71.28834,,4.5,284,,2013-08-19,1_BARTLETT_PIT1,BART.1,live,>2mm,70,860.58,860.58,NEON.DOC.001307vA,Jennifer Everhart,Kali Blevins,20211220T233412Z,RELEASE-2022
a2f03277-4557-4c59-8041-e2d6b24c3826,MEGAPT100963,D01,BART,44.06516,-71.28834,,4.5,284,,2013-08-19,1_BARTLETT_PIT1,BART.3,dead,>2mm,30,115.64,115.64,NEON.DOC.001307vA,Jennifer Everhart,Kali Blevins,20211220T233412Z,RELEASE-2022
763d6732-4536-47e0-a1c8-28db0e21b1ff,MEGAPT100973,D01,HARV,42.53562,-72.17562,,4,373,,2012-07-17,1_HARVARD_PIT1,HARV.3,live,>2mm,30,100.31,100.31,NEON.DOC.001307vA,Courtney Meier,,20211221T000133Z,RELEASE-2022
81423d22-906e-4daa-8265-607a6186affd,MEGAPT100973,D01,HARV,42.53562,-72.17562,,4,373,,2012-07-17,1_HARVARD_PIT1,HARV.3,live,<=2mm,50,1241.2,1241.2,NEON.DOC.001307vA,Courtney Meier,,20211221T000133Z,RELEASE-2022
935dbf19-842e-49e1-87a7-d408adb8b455,MEGAPT100973,D01,HARV,42.53562,-72.17562,,4,373,,2012-07-17,1_HARVARD_PIT1,HARV.1,live,>2mm,40,154.08,154.08,NEON.DOC.001307vA,Courtney Meier,,20211221T000133Z,RELEASE-2022
1dae1bf2-adf3-42b4-916f-2947edf58485,MEGAPT100973,D01,HARV,42.53562,-72.17562,,4,373,,2012-07-17,1_HARVARD_PIT1,HARV.2,live,>2mm,70,421.02,421.02,NEON.DOC.001307vA,Courtney Meier,,20211221T000133Z,RELEASE-2022
3addfb42-59ff-4463-b91f-47696790812d,MEGAPT100973,D01,HARV,42.53562,-72.17562,,4,373,,2012-07-17,1_HARVARD_PIT1,HARV.1,live,<=2mm,130,1743.95,1669.53,NEON.DOC.001307vA,Courtney Meier,,20211221T000133Z,RELEASE-2022
5f0333dd-6400-45e6-8049-90c81d4aa8df,MEGAPT100973,D01,HARV,42.53562,-72.17562,,4,373,,2012-07-17,1_HARVARD_PIT1,HARV.2,live,<=2mm,80,1907.51,1907.51,NEON.DOC.001307vA,Courtney Meier,,20211221T000133Z,RELEASE-2022
d686f6bb-9a65-42f5-8401-47c50498b725,MEGAPT100992,D02,SERC,38.89124,-76.55884,,4.7,27.4,,2014-05-05,2_SERC_PIT1,SERC.1,dead,<=4mm,160,60.72,57.88,NEON.DOC.001307vA,Holly Abercrombie,,20220110T210857Z,RELEASE-2022
c2477d63-022c-43f6-95d8-5690a9a53c2b,MEGAPT100992,D02,SERC,38.89124,-76.55884,,4.7,27.4,,2014-05-05,2_SERC_PIT1,SERC.1,live,>4mm,70,894.09,894.09,NEON.DOC.001307vA,Holly Abercrombie,,20220110T210857Z,RELEASE-2022
a6481486-b074-4131-87fd-797e1afb1853,MEGAPT100992,D02,SERC,38.89124,-76.55884,,4.7,27.4,,2014-05-05,2_SERC_PIT1,SERC.1,live,<=4mm,180,414.28,394.78,NEON.DOC.001307vA,Holly Abercrombie,,20220110T210857Z,RELEASE-2022
88cf307f-72f8-489c-8536-598d94e4f67b,MEGAPT100992,D02,SERC,38.89124,-76.55884,,4.7,27.4,,2014-05-05,2_SERC_PIT1,SERC.3,dead,>4mm,30,43.13,43.13,NEON.DOC.001307vA,Holly Abercrombie,,20220110T210857Z,RELEASE-2022
4c6f8488-1dca-430d-a4ed-43165c097018,MEGAPT100992,D02,SERC,38.89124,-76.55884,,4.7,27.4,,2014-05-05,2_SERC_PIT1,SERC.2,live,>4mm,40,606.31,606.31,NEON.DOC.001307vA,Holly Abercrombie,,20220110T210857Z,RELEASE-2022
b07a2454-d8c9-414f-be48-77f2889c21d0,MEGAPT100992,D02,SERC,38.89124,-76.55884,,4.7,27.4,,2014-05-05,2_SERC_PIT1,SERC.3,live,<=4mm,180,599.6,549.05,NEON.DOC.001307vA,Holly Abercrombie,,20220110T210857Z,RELEASE-2022
ee49f078-9219-4c57-b764-fe6434563ad4,MEGAPT100992,D02,SERC,38.89124,-76.55884,,4.7,27.4,,2014-05-05,2_SERC_PIT1,SERC.1,dead,>4mm,20,45.99,45.99,NEON.DOC.001307vA,Holly Abercrombie,,20220110T210857Z,RELEASE-2022
65518979-44e5-44ab-b725-2ef1edec7008,MEGAPT100992,D02,SERC,38.89124,-76.55884,,4.7,27.4,,2014-05-05,2_SERC_PIT1,SERC.2,dead,>4mm,80,86.86,86.86,NEON.DOC.001307vA,Holly Abercrombie,,20220110T210857Z,RELEASE-2022
84e679e2-d440-4b09-9fa3-914cf8ce1d43,MEGAPT100992,D02,SERC,38.89124,-76.55884,,4.7,27.4,,2014-05-05,2_SERC_PIT1,SERC.3,dead,<=4mm,180,157.4,152.05,NEON.DOC.001307vA,Holly Abercrombie,,20220110T210857Z,RELEASE-2022
3993f2a1-e574-41be-912a-c356a88fac67,MEGAPT100992,D02,SERC,38.89124,-76.55884,,4.7,27.4,,2014-05-05,2_SERC_PIT1,SERC.2,dead,<=4mm,160,79.6,75.66,NEON.DOC.001307vA,Holly Abercrombie,,20220110T210857Z,RELEASE-2022
e1fa00cb-cfb1-4212-b6de-b37f3528dabf,MEGAPT100992,D02,SERC,38.89124,-76.55884,,4.7,27.4,,2014-05-05,2_SERC_PIT1,SERC.2,live,<=4mm,180,563.02,505.33,NEON.DOC.001307vA,Holly Abercrombie,,20220110T210857Z,RELEASE-2022
a8cc1ac7-3a77-4aed-8dbf-428b04b874ad,MEGAPT100992,D02,SERC,38.89124,-76.55884,,4.7,27.4,,2014-05-05,2_SERC_PIT1,SERC.3,live,>4mm,40,399.48,399.48,NEON.DOC.001307vA,Holly Abercrombie,,20220110T210857Z,RELEASE-2022
2af3610f-1613-4f6f-a72d-caf762c72b56,MEGAPT100999,D05,TREE,45.49266,-89.58748,,2.8,481,,2015-06-15,D05_TREE_PIT1,TREE.1,dead,<=4mm,180,88.91,86.83,NEON.DOC.001307vB,Oliver Smith,Alison Hogenboom,20211221T205341Z,RELEASE-2022
7a5abe08-098c-415a-bf58-9aeefe59ba8a,MEGAPT100999,D05,TREE,45.49266,-89.58748,,2.8,481,,2015-06-15,D05_TREE_PIT1,TREE.3,dead,<=4mm,180,482.62,429.67,NEON.DOC.001307vB,Oliver Smith,Alison Hogenboom,20211221T205341Z,RELEASE-2022
08ab04f5-1b72-4dc9-96a8-e4031e117c53,MEGAPT100999,D05,TREE,45.49266,-89.58748,,2.8,481,,2015-06-15,D05_TREE_PIT1,TREE.3,live,<=4mm,200,3918.87,3850.96,NEON.DOC.001307vB,Oliver Smith,Alison Hogenboom,20211221T205341Z,RELEASE-2022
28b0841a-f987-4d25-a801-5b6435e3a228,MEGAPT100999,D05,TREE,45.49266,-89.58748,,2.8,481,,2015-06-15,D05_TREE_PIT1,TREE.2,live,<=4mm,200,3873.96,3813.18,NEON.DOC.001307vB,Oliver Smith,Alison Hogenboom,20211221T205341Z,RELEASE-2022
8d19c285-2586-4924-97b0-57ab5cef6aef,MEGAPT100999,D05,TREE,45.49266,-89.58748,,2.8,481,,2015-06-15,D05_TREE_PIT1,TREE.3,live,>4mm,180,482.62,429.67,NEON.DOC.001307vB,Oliver Smith,Alison Hogenboom,20211221T205341Z,RELEASE-2022
b51f9d65-fb88-46f1-8f6b-94df831a81a8,MEGAPT100999,D05,TREE,45.49266,-89.58748,,2.8,481,,2015-06-15,D05_TREE_PIT1,TREE.2,live,>4mm,180,180.87,165.81,NEON.DOC.001307vB,Oliver Smith,Alison Hogenboom,20211221T205341Z,RELEASE-2022
a03ac8a4-5f2a-4ba1-a2f0-3b571755ee55,MEGAPT100999,D05,TREE,45.49266,-89.58748,,2.8,481,,2015-06-15,D05_TREE_PIT1,TREE.2,dead,<=4mm,180,180.87,165.81,NEON.DOC.001307vB,Oliver Smith,Alison Hogenboom,20211221T205341Z,RELEASE-2022
