uid,pitNamedLocation,endDate,depthIncrementID,sampleID,archiveID,rootStatus,sizeCategory,rootDryMass,incrementRootBiomass,incrementRootDensity,publicationDate,release
3ff76d43-f743-4a24-98d7-8be10c950fcb,MEGAPT100963,2013-08-19,BART.2.60,BART.2.60.LIVE.<2MM,BART.2.60.LIVE.<2MM,live,<=2mm,0.1311,9.36,93.64,20211220T233412Z,RELEASE-2022
6f1931ef-d2e6-4544-868e-2e8f6c0d535f,MEGAPT100963,2013-08-19,BART.3.10,BART.3.10.DEAD.<2MM,BART.3.10.DEAD.<2MM,dead,<=2mm,0.8598,45.93,459.3,20211220T233412Z,RELEASE-2022
3630f6ee-f95a-45a3-9229-59313028d8a8,MEGAPT100963,2013-08-19,BART.3.10,BART.3.10.LIVE.>2MM,BART.3.10.LIVE.>2MM,live,>2mm,8.3646,446.83,4468.27,20211220T233412Z,RELEASE-2022
5027dee5-6a78-43e1-a5b0-560075f78e03,MEGAPT100963,2013-08-19,BART.3.20,BART.3.20.LIVE.<2MM,BART.3.20.LIVE.<2MM,live,<=2mm,1.4385,143.85,1438.5,20211220T233412Z,RELEASE-2022
dd73ea7d-5cbc-4ace-ac91-b937a9f5479c,MEGAPT100963,2013-08-19,BART.3.80,BART.3.80.LIVE.<2MM,"",live,<=2mm,0.009,0.83,8.33,20211220T233412Z,RELEASE-2022
405fd049-ba31-4984-af4f-7bc792811d6e,MEGAPT100963,2013-08-19,BART.3.90,BART.3.90.DEAD.<2MM,BART.3.90.DEAD.<2MM,dead,<=2mm,0.1876,17.05,170.55,20211220T233412Z,RELEASE-2022
6759904a-59f7-42aa-b25c-56be6252d810,MEGAPT100963,2013-08-19,BART.2.90,BART.2.90.LIVE.<2MM,BART.2.90.LIVE.<2MM,live,<=2mm,0.1773,16.42,164.17,20211220T233412Z,RELEASE-2022
a596c4b4-fd76-4966-8757-3f0860f047f7,MEGAPT100963,2013-08-19,BART.3.40,BART.3.40.DEAD.<2MM,BART.3.40.DEAD.<2MM,dead,<=2mm,0.0344,3.13,31.27,20211220T233412Z,RELEASE-2022
38f49e62-88d5-4fab-993b-aa59a55c8776,MEGAPT100963,2013-08-19,BART.2.80,BART.2.80.LIVE.<2MM,"",live,<=2mm,0.0075,0.8,7.97,20211220T233412Z,RELEASE-2022
4fcef86e-9d46-4e4f-961f-7ae114a75b4b,MEGAPT100963,2013-08-19,BART.3.30,BART.3.30.LIVE.<2MM,BART.3.30.LIVE.<2MM,live,<=2mm,0.4724,42.95,429.46,20211220T233412Z,RELEASE-2022
e93e8b19-af17-4388-b21f-a8604c91a4de,MEGAPT100963,2013-08-19,BART.2.20,BART.2.20.LIVE.<2MM,BART.2.20.LIVE.<2MM,live,<=2mm,1.2115,269.22,2692.22,20211220T233412Z,RELEASE-2022
7903d555-e870-44ec-aaf9-0a16de598894,MEGAPT100963,2013-08-19,BART.3.0,BART.3.0.DEAD.>2MM,BART.3.0.DEAD.>2MM,dead,>2mm,0.3299,33.32,333.23,20211220T233412Z,RELEASE-2022
0b079a27-6c6b-486c-bc8d-208c11bc592f,MEGAPT100963,2013-08-19,BART.3.10,BART.3.10.LIVE.<2MM,BART.3.10.LIVE.<2MM,live,<=2mm,4.2613,227.63,2276.34,20211220T233412Z,RELEASE-2022
6476c013-3373-4da0-881a-a82840e1bb55,MEGAPT100963,2013-08-19,BART.3.10,BART.3.10.DEAD.>2MM,BART.3.10.DEAD.>2MM,dead,>2mm,0.8381,44.77,447.7,20211220T233412Z,RELEASE-2022
e7fd92be-2dc2-48b8-a964-7498869d65ef,MEGAPT100963,2013-08-19,BART.3.40,BART.3.40.LIVE.<2MM,BART.3.40.LIVE.<2MM,live,<=2mm,0.1256,11.42,114.18,20211220T233412Z,RELEASE-2022
2898f264-3f77-4934-8c84-3ab3a8f64e58,MEGAPT100963,2013-08-19,BART.3.20,BART.3.20.DEAD.<2MM,BART.3.20.DEAD.<2MM,dead,<=2mm,0.4613,46.13,461.3,20211220T233412Z,RELEASE-2022
b0348c7c-17e3-4333-a91b-e0878793c2e7,MEGAPT100963,2013-08-19,BART.3.60,BART.3.60.DEAD.<2MM,BART.3.60.DEAD.<2MM,dead,<=2mm,0.061,6.1,61,20211220T233412Z,RELEASE-2022
ffeaa9ba-b6e0-4483-8195-c988e1312d4e,MEGAPT100963,2013-08-19,BART.3.20,BART.3.20.DEAD.>2MM,BART.3.20.DEAD.>2MM,dead,>2mm,0.3755,37.55,375.5,20211220T233412Z,RELEASE-2022
90558b2e-8860-4c29-8fee-535b690cc318,MEGAPT100963,2013-08-19,BART.2.120,BART.2.120.LIVE.<2MM,"",live,<=2mm,7e-04,0.06,0.32,20211220T233412Z,RELEASE-2022
7b864aa1-897a-40a5-b433-9ffbaa98ff6e,MEGAPT100963,2013-08-19,BART.2.100,BART.2.100.LIVE.<2MM,"",live,<=2mm,0.0085,0.85,4.25,20211220T233412Z,RELEASE-2022
7fbea309-2371-4ecb-ba51-4ce71175b2ee,MEGAPT100963,2013-08-19,BART.3.100,BART.3.100.DEAD.<2MM,BART.3.100.DEAD.<2MM,dead,<=2mm,0.0392,4.36,21.78,20211220T233412Z,RELEASE-2022
