uid,domainID,siteID,plotID,namedLocation,laboratoryName,collectDate,analysisDate,sampleMaterial,geneticSampleID,geneticSampleCode,dnaSampleID,dnaSampleCode,internalLabID,downloadFileUrl,downloadFileName,codeVersion,targetGene,targetTaxonGroup,processedBy,reviewedBy,remarks,sampleFilteredReadNumber,sequenceCountQF,dataQF,publicationDate,release,sequencerRunID
d327bf71-8d33-4cb4-b267-ae29e670f982,D01,BART,BART_004,BART_004.basePlot.bgc,NEON HQ,2014-06-19T19:45Z,2020-10-19,soil,BART_004-M-11-0-20140619-GEN,,BART_004-M-11-0-20140619-GEN-DNA2,,BMI_Plate8WellB9,https://s3.data.neonscience.org/neon-os-data/data-frame/BART_004-M-11-0-20140619-GEN-DNA2_ITS_20201204T192404.390Z.csv,BART_004-M-11-0-20140619-GEN-DNA2_ITS.csv,NEON_mcc_sequenceVariant_analysis_v1,ITS,fungi,vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=,,,8955,OK,,20201217T040935Z,PROVISIONAL,
dd07a708-4c7b-4ade-af74-32ccf8921e50,D01,BART,BART_028,BART_028.basePlot.bgc,NEON HQ,2014-07-22T18:46Z,2020-10-19,soil,BART_028-O-0-30-20140722-GEN,,BART_028-O-0-30-20140722-GEN-DNA2,,BMI_Plate21WellA3,https://s3.data.neonscience.org/neon-os-data/data-frame/BART_028-O-0-30-20140722-GEN-DNA2_ITS_20201204T192744.052Z.csv,BART_028-O-0-30-20140722-GEN-DNA2_ITS.csv,NEON_mcc_sequenceVariant_analysis_v1,ITS,fungi,vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=,,,320,Below threshold,,20201217T040925Z,PROVISIONAL,
1d3b8725-653a-4a3b-a77b-e6d3583546dc,D01,BART,BART_028,BART_028.basePlot.bgc,NEON HQ,2014-07-22T18:46Z,2020-10-19,soil,BART_028-M-0-30-20140722-GEN,,BART_028-M-0-30-20140722-GEN-DNA2,,BMI_Plate21WellA5,https://s3.data.neonscience.org/neon-os-data/data-frame/BART_028-M-0-30-20140722-GEN-DNA2_ITS_20201204T192744.050Z.csv,BART_028-M-0-30-20140722-GEN-DNA2_ITS.csv,NEON_mcc_sequenceVariant_analysis_v1,ITS,fungi,vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=,,,568,Below threshold,,20201217T040925Z,PROVISIONAL,
d5fdcd9b-0f3e-4ec3-b50c-71aeadb397df,D01,BART,BART_040,BART_040.basePlot.bgc,NEON HQ,2016-04-18T16:56Z,2020-10-19,soil,BART_040-O-14.5-7-20160418-GEN,,BART_040-O-14.5-7-20160418-GEN-DNA1,,BMI_Plate1WellH10,https://s3.data.neonscience.org/neon-os-data/data-frame/BART_040-O-14.5-7-20160418-GEN-DNA1_ITS_20201204T191832.929Z.csv,BART_040-O-14.5-7-20160418-GEN-DNA1_ITS.csv,NEON_mcc_sequenceVariant_analysis_v1,ITS,fungi,vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=,,,582,Below threshold,,20210113T181344Z,RELEASE-2021,
e071fdbb-7fe3-4570-b7da-39130c283cd2,D01,BART,BART_040,BART_040.basePlot.bgc,NEON HQ,2016-04-18T17:29Z,2020-10-19,soil,BART_040-O-0.5-20-20160418-GEN,,BART_040-O-0.5-20-20160418-GEN-DNA1,,BMI_Plate1WellH6,https://s3.data.neonscience.org/neon-os-data/data-frame/BART_040-O-0.5-20-20160418-GEN-DNA1_ITS_20201204T191832.919Z.csv,BART_040-O-0.5-20-20160418-GEN-DNA1_ITS.csv,NEON_mcc_sequenceVariant_analysis_v1,ITS,fungi,vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=,,,3088,Below threshold,,20210113T181344Z,RELEASE-2021,
90ca15d1-ce7f-4d3c-91aa-42b0d7bd00a0,D01,BART,BART_040,BART_040.basePlot.bgc,NEON HQ,2016-04-18T17:49Z,2020-10-19,soil,BART_040-O-32-23-20160418-GEN,,BART_040-O-32-23-20160418-GEN-DNA1,,BMI_Plate1WellG9,https://s3.data.neonscience.org/neon-os-data/data-frame/BART_040-O-32-23-20160418-GEN-DNA1_ITS_20201204T191832.937Z.csv,BART_040-O-32-23-20160418-GEN-DNA1_ITS.csv,NEON_mcc_sequenceVariant_analysis_v1,ITS,fungi,vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=,,,4116,OK,,20210113T181344Z,RELEASE-2021,
2937953d-016c-475e-9d0c-699b606adab1,D01,BART,BART_071,BART_071.basePlot.bgc,NEON HQ,2016-04-18T18:24Z,2020-10-19,soil,BART_071-O-8-13-20160418-GEN,,BART_071-O-8-13-20160418-GEN-DNA1,,BMI_Plate1WellB6,https://s3.data.neonscience.org/neon-os-data/data-frame/BART_071-O-8-13-20160418-GEN-DNA1_ITS_20201204T191832.973Z.csv,BART_071-O-8-13-20160418-GEN-DNA1_ITS.csv,NEON_mcc_sequenceVariant_analysis_v1,ITS,fungi,vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=,,,14482,OK,,20210113T181344Z,RELEASE-2021,
5d3db544-bbfa-4f42-b915-edff8f07f112,D01,BART,BART_071,BART_071.basePlot.bgc,NEON HQ,2016-04-18T18:44Z,2020-10-19,soil,BART_071-O-28-3-20160418-GEN,,BART_071-O-28-3-20160418-GEN-DNA1,,BMI_Plate1WellH5,https://s3.data.neonscience.org/neon-os-data/data-frame/BART_071-O-28-3-20160418-GEN-DNA1_ITS_20201204T191832.970Z.csv,BART_071-O-28-3-20160418-GEN-DNA1_ITS.csv,NEON_mcc_sequenceVariant_analysis_v1,ITS,fungi,vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=,,,5529,OK,,20210113T181344Z,RELEASE-2021,
1889e50c-d2fa-4df0-8b2b-7c08a3a12ee7,D01,BART,BART_071,BART_071.basePlot.bgc,NEON HQ,2016-04-18T19:19Z,2020-10-19,soil,BART_071-O-8.5-30.5-20160418-GEN,,BART_071-O-8.5-30.5-20160418-GEN-DNA1,,BMI_Plate1WellD7,https://s3.data.neonscience.org/neon-os-data/data-frame/BART_071-O-8.5-30.5-20160418-GEN-DNA1_ITS_20201204T191832.976Z.csv,BART_071-O-8.5-30.5-20160418-GEN-DNA1_ITS.csv,NEON_mcc_sequenceVariant_analysis_v1,ITS,fungi,vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=,,,21300,OK,,20210113T181344Z,RELEASE-2021,
f1963d45-7608-45fd-8915-50654d9502be,D01,BART,BART_001,BART_001.basePlot.bgc,NEON HQ,2016-04-19T14:30Z,2020-10-19,soil,BART_001-O-8-25.5-20160419-GEN,,BART_001-O-8-25.5-20160419-GEN-DNA1,,BMI_Plate1WellF8,https://s3.data.neonscience.org/neon-os-data/data-frame/BART_001-O-8-25.5-20160419-GEN-DNA1_ITS_20201204T191832.773Z.csv,BART_001-O-8-25.5-20160419-GEN-DNA1_ITS.csv,NEON_mcc_sequenceVariant_analysis_v1,ITS,fungi,vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=,,,20159,OK,,20210113T181344Z,RELEASE-2021,
9fffbc38-26b8-4053-9b4c-d8a577283af8,D01,BART,BART_001,BART_001.basePlot.bgc,NEON HQ,2016-04-19T14:57Z,2020-10-19,soil,BART_001-O-20-36.5-20160419-GEN,,BART_001-O-20-36.5-20160419-GEN-DNA1,,BMI_Plate1WellE10,https://s3.data.neonscience.org/neon-os-data/data-frame/BART_001-O-20-36.5-20160419-GEN-DNA1_ITS_20201204T191832.765Z.csv,BART_001-O-20-36.5-20160419-GEN-DNA1_ITS.csv,NEON_mcc_sequenceVariant_analysis_v1,ITS,fungi,vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=,,,4565,OK,,20210113T181344Z,RELEASE-2021,
