uid,namedLocation,domainID,siteID,plotID,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release
a2ca5ac4-2bd7-4292-b05b-bfc33dffddfa,HARV_002.basePlot.bgc,D01,HARV,HARV_002,2018-04-17T14:09Z,HARV_002-M-9.5-1.5-20180417,A00000001239,HARV_002-M-9.5-1.5-20180417-KCL,B00000006284,ok,2019-02-01,0.12,1,OK,"",2019-02-04,0.076,1,blanks exceed sample value,"",EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,,20201218T092955Z,RELEASE-2021
70d4a59b-272e-4986-a228-facf3ea784e1,HARV_002.basePlot.bgc,D01,HARV,HARV_002,2018-04-17T14:55Z,HARV_002-M-34.5-24-20180417,A00000001238,HARV_002-M-34.5-24-20180417-KCL,B00000006271,ok,2019-02-01,0.133,1,OK,"",2019-02-04,0.08,1,blanks exceed sample value,"",EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,,20201218T092955Z,RELEASE-2021
42878f82-00f8-40ab-8f78-09f66f46c907,HARV_002.basePlot.bgc,D01,HARV,HARV_002,2018-04-17T14:55Z,HARV_002-O-34.5-24-20180417,A00000001236,HARV_002-O-34.5-24-20180417-KCL,B00000006269,ok,2019-02-01,0.8,1,OK,"",2019-02-04,0.067,1,blanks exceed sample value,"",EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,,20201218T092955Z,RELEASE-2021
b936b458-fab3-4fd4-b62b-73b7e2ef4fee,HARV_002.basePlot.bgc,D01,HARV,HARV_002,2018-04-17T15:07Z,HARV_002-O-28.5-1.5-20180417,A00000001234,HARV_002-O-28.5-1.5-20180417-KCL,B00000006278,ok,2019-02-01,1.488,1,OK,"",2019-02-04,0.076,1,blanks exceed sample value,"",EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,,20201218T092955Z,RELEASE-2021
cf1db55e-e4a5-4bee-8f5d-a1e0f231e63a,HARV_002.basePlot.bgc,D01,HARV,HARV_002,2018-04-17T15:07Z,HARV_002-M-28.5-1.5-20180417,A00000001237,HARV_002-M-28.5-1.5-20180417-KCL,B00000006287,ok,2019-02-01,0.167,1,OK,"",2019-02-04,0.076,1,blanks exceed sample value,"",EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,,20201218T092955Z,RELEASE-2021
a2802a91-b2df-4d0e-b934-d697c0d99484,HARV_005.basePlot.bgc,D01,HARV,HARV_005,2018-04-17T16:36Z,HARV_005-O-12.5-38-20180417,A00000001247,HARV_005-O-12.5-38-20180417-KCL,B00000006321,ok,2019-02-01,0.252,1,OK,"",2019-02-04,0.054,1,blanks exceed sample value,"",EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,,20201218T092955Z,RELEASE-2021
d2dcf743-c078-4d87-b60d-bec0c0194b97,HARV_005.basePlot.bgc,D01,HARV,HARV_005,2018-04-17T17:09Z,HARV_005-M-12.5-38-20180417,A00000001242,HARV_005-M-12.5-38-20180417-KCL,B00000006272,ok,2019-02-01,0.119,1,OK,"",2019-02-04,0.069,1,blanks exceed sample value,"",EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,,20201218T092955Z,RELEASE-2021
196b505d-f68f-4722-a0a5-c45b5b26e591,HARV_021.basePlot.bgc,D01,HARV,HARV_021,2018-04-17T17:16Z,HARV_021-O-1-22.5-20180417,A00000001283,HARV_021-O-1-22.5-20180417-KCL,B00000006291,ok,2019-01-30,0.269,1,OK,"",2019-02-04,0.062,1,blanks exceed sample value,"",EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,,20201218T092955Z,RELEASE-2021
cce52a6b-5612-4608-a41b-46930809d57f,HARV_005.basePlot.bgc,D01,HARV,HARV_005,2018-04-17T17:24Z,HARV_005-O-36-21-20180417,A00000001245,HARV_005-O-36-21-20180417-KCL,B00000006308,ok,2019-01-30,3.146,1,OK,"",2019-02-04,0.074,1,blanks exceed sample value,"",EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,,20201218T092955Z,RELEASE-2021
a288cbd6-8348-438c-b641-2294714a4361,HARV_021.basePlot.bgc,D01,HARV,HARV_021,2018-04-17T17:26Z,HARV_021-M-1-22.5-20180417,A00000001262,HARV_021-M-1-22.5-20180417-KCL,B00000006275,ok,2019-01-30,0.146,1,OK,"",2019-02-04,0.093,1,OK,"",EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,,20201218T092955Z,RELEASE-2021
