uid,siteID,extractionStartDate,extractionEndDate,kclReferenceID,kclBlank1ID,kclBlank1Code,kclBlank2ID,kclBlank2Code,kclBlank3ID,kclBlank3Code,remarks,dataQF,publicationDate,release
81f8dc16-2a3a-4193-99b1-a43ab75f6fae,HARV,2018-04-18,2018-04-18,HARV-20180418-BREF1,HARV-20180418-BREF1-A,B00000006251,HARV-20180418-BREF1-B,B00000006261,HARV-20180418-BREF1-C,B00000006262,,,20201218T092955Z,RELEASE-2021
9abd28c9-5914-4c55-a337-ebf993502203,HARV,2018-04-19,2018-04-19,HARV-20180419-BREF1,HARV-20180419-BREF1-A,B00000006250,HARV-20180419-BREF1-B,B00000006258,HARV-20180419-BREF1-C,B00000006266,,,20201218T092955Z,RELEASE-2021
ec517f81-db17-4485-9882-14a27efe8a40,HARV,2018-04-20,2018-04-20,HARV-20180420-BREF1,HARV-20180420-BREF1-A,B00000006248,HARV-20180420-BREF1-B,B00000006257,HARV-20180420-BREF1-C,B00000006267,,,20201218T092955Z,RELEASE-2021
1eb7e816-8631-4230-b814-4c8bfc783fcf,HARV,2018-05-08,2018-05-08,HARV-20180508-BREF1,HARV-20180508-BREF1-A,B00000006238,HARV-20180508-BREF1-B,B00000006239,HARV-20180508-BREF1-C,B00000006240,,,20201218T103402Z,RELEASE-2021
4b0aae72-3774-4fea-85dc-a5ca40c74127,HARV,2018-05-10,2018-05-10,HARV-20180510-BREF1,HARV-20180510-BREF1-A,B00000006247,HARV-20180510-BREF1-B,B00000006256,HARV-20180510-BREF1-C,B00000006264,,,20201218T103402Z,RELEASE-2021
fabdbec4-3be4-4bec-9f2c-2f5b6beee5fa,HARV,2018-07-10,2018-07-10,HARV-20180710-BREF1,HARV-20180710-BREF1-A,B00000006246,HARV-20180710-BREF1-B,B00000006255,HARV-20180710-BREF1-C,B00000006265,,,20201218T085323Z,RELEASE-2021
ac5aa64e-1b7f-4f6a-8bc4-04816399a9c3,HARV,2018-07-11,2018-07-11,HARV-20180711-BREF1,HARV-20180711-BREF1-A,B00000006245,HARV-20180711-BREF1-B,B00000006253,HARV-20180711-BREF1-C,B00000006263,,,20201218T085323Z,RELEASE-2021
b6ff8247-37aa-4cf6-962f-6c808a750752,HARV,2018-07-12,2018-07-12,HARV-20180712-BREF1,HARV-20180712-BREF1-A,B00000006249,HARV-20180712-BREF1-B,B00000006254,HARV-20180712-BREF1-C,B00000006260,,,20201218T085323Z,RELEASE-2021
bae1031b-2aff-425d-8044-bbae23f53b64,HARV,2018-07-13,2018-07-13,HARV-20180713-BREF1,HARV-20180713-BREF1-A,B00000006244,HARV-20180713-BREF1-B,B00000006252,HARV-20180713-BREF1-C,B00000006259,,,20201218T085323Z,RELEASE-2021
af888bb5-613d-4531-ae3c-aea700ba16f2,HARV,2018-07-31,2018-07-31,HARV-20180731-BREF1,HARV-20180731-BREF1-A,B00000006242,HARV-20180731-BREF1-B,B00000006243,HARV-20180731-BREF1-C,B00000006241,,,20201218T085323Z,RELEASE-2021
98d4c3f3-5ba8-4b36-8b28-4ab3bb70e5ae,HARV,2018-08-01,2018-08-01,HARV-20180801-BREF1,HARV-20180801-BREF1-A,D00000008338,HARV-20180801-BREF1-B,D00000008333,HARV-20180801-BREF1-C,D00000008335,,,20201218T085129Z,RELEASE-2021
b6274e94-08b0-4536-a64b-756e451de242,HARV,2018-08-02,2018-08-02,HARV-20180802-BREF1,HARV-20180802-BREF1-A,D00000008337,HARV-20180802-BREF1-B,D00000008334,HARV-20180802-BREF1-C,D00000008336,,,20201218T085129Z,RELEASE-2021
d314dba8-91ee-4e71-aaf1-de12d6f7a4b2,HARV,2018-10-09,2018-10-09,HARV-20181009-BREF1,HARV-20181009-BREF1-A,B00000030913,HARV-20181009-BREF1-B,B00000030918,HARV-20181009-BREF1-C,B00000030917,"",,20201218T085818Z,RELEASE-2021
02f473bc-b434-428f-95ac-080755fc5919,HARV,2018-10-10,2018-10-10,HARV-20181010-BREF1,HARV-20181010-BREF1-A,B00000030916,HARV-20181010-BREF1-B,B00000030915,HARV-20181010-BREF1-C,B00000030914,Blank1 lost 10ml during shaking,,20201218T085818Z,RELEASE-2021
b89f6d3d-cfaa-446a-bb71-33bdf9e20c3f,HARV,2018-10-11,2018-10-11,HARV-20181011-BREF1,HARV-20181011-BREF1-A,B00000030911,HARV-20181011-BREF1-B,B00000030910,HARV-20181011-BREF1-C,B00000030912,"",,20201218T085818Z,RELEASE-2021
655366fe-9099-4dc8-8967-2dec69641249,HARV,2018-10-30,2018-10-30,HARV-20181030-BREF1,HARV-20181030-BREF1-A,B00000030922,HARV-20181030-BREF1-B,B00000030924,HARV-20181030-BREF1-C,B00000030907,"",,20201218T085818Z,RELEASE-2021
6d36f716-cd51-4f71-8e15-fda3f7e92f5b,HARV,2018-10-31,2018-10-31,HARV-20181031-BREF1,HARV-20181031-BREF1-A,B00000030921,HARV-20181031-BREF1-B,B00000030920,HARV-20181031-BREF1-C,B00000030923,"",,20201218T085818Z,RELEASE-2021
9a6a0b49-24d5-479f-ab4c-16d3d9f47d7a,SERC,2021-03-30,2021-03-30,SERC-20210330-BREF1,SERC-20210330-BREF1-A,B00000052555,SERC-20210330-BREF1-B,B00000052541,SERC-20210330-BREF1-C,B00000052540,,,20211004T170624Z,PROVISIONAL
c99e1c6c-af85-4397-a96f-b50e6c9e9614,SERC,2021-03-31,2021-03-31,SERC-20210331-BREF1,SERC-20210331-BREF1-A,B00000052559,SERC-20210331-BREF1-B,B00000052561,SERC-20210331-BREF1-C,B00000052563,,,20211004T170624Z,PROVISIONAL
4baef13e-395e-4620-bfbe-b0961b827ee1,SERC,2021-04-21,2021-04-21,SERC-20210421-BREF1,SERC-20210421-BREF1-A,B00000052635,SERC-20210421-BREF1-B,B00000052636,SERC-20210421-BREF1-C,B00000052637,,,20211102T182803Z,PROVISIONAL
9ea2cc08-84a2-492b-9023-e74b20384057,SERC,2021-07-07,2021-07-07,SERC-20210707-BREF1,SERC-20210707-BREF1-A,B00000052801,SERC-20210707-BREF1-B,B00000052811,SERC-20210707-BREF1-C,B00000052847,,,20211102T182412Z,PROVISIONAL
54199ef5-403b-4d2d-89d5-8bdf99d2b8a8,SERC,2021-07-08,2021-07-08,SERC-20210708-BREF1,SERC-20210708-BREF1-A,B00000052791,SERC-20210708-BREF1-B,B00000052781,SERC-20210708-BREF1-C,B00000052828,,,20211102T182412Z,PROVISIONAL
3c93c432-23dd-4b5a-b057-587195c68e33,SERC,2021-07-27,2021-07-27,SERC-20210727-BREF1,SERC-20210727-BREF1-A,B00000052794,SERC-20210727-BREF1-B,B00000052803,SERC-20210727-BREF1-C,B00000052804,,,20211102T182412Z,PROVISIONAL
75fe1556-ff1f-4090-b2f8-ae04d60bbbe4,SERC,2021-07-28,2021-07-28,SERC-20210728-BREF1,SERC-20210728-BREF1-A,B00000070931,SERC-20210728-BREF1-B,B00000052813,SERC-20210728-BREF1-C,B00000070929,,,20211102T182412Z,PROVISIONAL
0210b476-b36f-4c37-8006-4daf634bf9c6,TREE,2020-07-07,2020-07-07,TREE-20200707-BREF1,TREE-20200707-BREF1-A,B00000062376,TREE-20200707-BREF1-B,B00000062378,TREE-20200707-BREF1-C,B00000062377,,,20210504T180657Z,PROVISIONAL
d09fd2d8-83d9-4dc2-a4f2-f7bb5e6ce651,TREE,2020-07-09,2020-07-09,TREE-20200709-BREF1,TREE-20200709-BREF1-A,B00000062415,TREE-20200709-BREF1-B,B00000062414,TREE-20200709-BREF1-C,B00000062413,,,20210504T180657Z,PROVISIONAL
1d70274b-d1c1-45cc-89b9-4c082940e244,TREE,2020-07-28,2020-07-28,TREE-20200728-BREF1,TREE-20200728-BREF1-A,B00000062467,TREE-20200728-BREF1-B,B00000062468,TREE-20200728-BREF1-C,B00000062469,,,20210504T180657Z,PROVISIONAL
