uid,domainID,siteID,plotID,namedLocation,collectDate,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,sampleID,sampleCode,cnSampleID,cnSampleCode,bgcArchiveID,bgcArchiveCode,bgcArchiveMass,toxicodendronPossible,sampleCondition,bgcRemarks,processedBy,bgcDataQF,publicationDate,release
391a745c-c9f9-42e8-8acc-3579617e399f,D01,BART,BART_004,BART_004.basePlot.bgc,2014-08-19T12:47Z,NEON.DOC.014048vC,M,,,BART_004-M-3-28-20140819,,BART_004-M-3-28-20140819-CN,,BART_004-M-3-28-20140819-BA,,,,OK,,,"",20201217T042530Z,RELEASE-2021
8f5c4e9c-56e3-4c7c-9011-b8db2aa8698c,D01,BART,BART_004,BART_004.basePlot.bgc,2014-08-19T12:47Z,NEON.DOC.014048vC,O,,,BART_004-O-3-28-20140819,,BART_004-O-3-28-20140819-CN,,BART_004-O-3-28-20140819-BA,,,,OK,,,"",20201217T042530Z,RELEASE-2021
fda8089b-e2f3-4dbf-b3e4-35c23e0cc4a7,D01,BART,BART_004,BART_004.basePlot.bgc,2014-08-19T13:36Z,NEON.DOC.014048vC,O,,,BART_004-O-9-34-20140819,,BART_004-O-9-34-20140819-CN,,BART_004-O-9-34-20140819-BA,,,,OK,,,"",20201217T042530Z,RELEASE-2021
e4d9cedd-7d39-412d-8035-08dac55013fa,D01,BART,BART_004,BART_004.basePlot.bgc,2014-08-19T13:36Z,NEON.DOC.014048vC,M,,,BART_004-M-9-34-20140819,,BART_004-M-9-34-20140819-CN,,BART_004-M-9-34-20140819-BA,,,,OK,,,"",20201217T042530Z,RELEASE-2021
057020d8-1668-4b76-a0b5-40899b1b753f,D01,BART,BART_023,BART_023.basePlot.bgc,2014-08-19T13:51Z,NEON.DOC.014048vC,M,,,BART_023-M-23-8-20140819,,BART_023-M-23-8-20140819-CN,,BART_023-M-23-8-20140819-BA,,,,OK,,,"",20201217T042530Z,RELEASE-2021
0bff8505-7867-4a82-acfc-00df10002fb8,D01,BART,BART_023,BART_023.basePlot.bgc,2014-08-19T13:51Z,NEON.DOC.014048vC,O,,,BART_023-O-23-8-20140819,,BART_023-O-23-8-20140819-CN,,BART_023-O-23-8-20140819-BA,,,,OK,,,"",20201217T042530Z,RELEASE-2021
8adfb6da-9c52-4133-bd0e-49d4fb1ce668,D01,BART,BART_004,BART_004.basePlot.bgc,2014-08-19T14:15Z,NEON.DOC.014048vC,M,,,BART_004-M-19-1-20140819,,BART_004-M-19-1-20140819-CN,,BART_004-M-19-1-20140819-BA,,,,OK,,,"",20201217T042530Z,RELEASE-2021
de53edc8-4f7b-4815-9104-577e4dc79545,D01,BART,BART_004,BART_004.basePlot.bgc,2014-08-19T14:15Z,NEON.DOC.014048vC,O,,,BART_004-O-19-1-20140819,,BART_004-O-19-1-20140819-CN,,BART_004-O-19-1-20140819-BA,,,,OK,,,"",20201217T042530Z,RELEASE-2021
0103208d-f56e-41f7-90b0-15ffb9c60795,D01,BART,BART_023,BART_023.basePlot.bgc,2014-08-19T14:57Z,NEON.DOC.014048vC,O,,,BART_023-O-31-3-20140819,,BART_023-O-31-3-20140819-CN,,BART_023-O-31-3-20140819-BA,,,,OK,,,"",20201217T042530Z,RELEASE-2021
212fa891-52d9-47ed-9aa3-1159cf941360,D01,BART,BART_023,BART_023.basePlot.bgc,2014-08-19T14:57Z,NEON.DOC.014048vC,M,,,BART_023-M-31-3-20140819,,BART_023-M-31-3-20140819-CN,,BART_023-M-31-3-20140819-BA,,,,OK,,,"",20201217T042530Z,RELEASE-2021
0fe1cc9a-7013-431c-be3a-8882220a4dc2,D01,BART,BART_023,BART_023.basePlot.bgc,2014-08-19T16:11Z,NEON.DOC.014048vC,M,,,BART_023-M-19-30-20140819,,BART_023-M-19-30-20140819-CN,,BART_023-M-19-30-20140819-BA,,,,OK,,,"",20201217T042530Z,RELEASE-2021
ec9f4707-c95b-44a2-920f-d1177d592138,D01,BART,BART_023,BART_023.basePlot.bgc,2014-08-19T16:11Z,NEON.DOC.014048vC,O,,,BART_023-O-19-30-20140819,,BART_023-O-19-30-20140819-CN,,BART_023-O-19-30-20140819-BA,,,,OK,,,"",20201217T042530Z,RELEASE-2021
55b75a09-88c0-4089-bdca-ea0a8afb4930,D01,BART,BART_005,BART_005.basePlot.bgc,2014-08-19T16:30Z,NEON.DOC.014048vC,O,,,BART_005-O-33-2-20140819,,BART_005-O-33-2-20140819-CN,,BART_005-O-33-2-20140819-BA,,,,OK,,,"",20201217T042530Z,RELEASE-2021
7e895ba2-50b4-4568-b91d-72f42d137b3a,D01,BART,BART_005,BART_005.basePlot.bgc,2014-08-19T16:30Z,NEON.DOC.014048vC,M,,,BART_005-M-33-2-20140819,,BART_005-M-33-2-20140819-CN,,BART_005-M-33-2-20140819-BA,,,,OK,,,"",20201217T042530Z,RELEASE-2021
a5cc5d6d-6519-465e-9985-b081b9e74972,D01,BART,BART_005,BART_005.basePlot.bgc,2014-08-19T17:07Z,NEON.DOC.014048vC,O,,,BART_005-O-4-9-20140819,,BART_005-O-4-9-20140819-CN,,BART_005-O-4-9-20140819-BA,,,,OK,,,"",20201217T042530Z,RELEASE-2021
ed5b6fe9-4a00-4468-ba4d-71ac8739b8f9,D01,BART,BART_005,BART_005.basePlot.bgc,2014-08-19T17:07Z,NEON.DOC.014048vC,M,,,BART_005-M-4-9-20140819,,BART_005-M-4-9-20140819-CN,,BART_005-M-4-9-20140819-BA,,,,OK,,,"",20201217T042530Z,RELEASE-2021
eb4e1a84-6ef2-4c97-873b-88d5f0e4b4aa,D01,BART,BART_005,BART_005.basePlot.bgc,2014-08-19T17:34Z,NEON.DOC.014048vC,M,,,BART_005-M-24-40-20140819,,BART_005-M-24-40-20140819-CN,,BART_005-M-24-40-20140819-BA,,,,OK,,,"",20201217T042530Z,RELEASE-2021
baf63f92-adfe-4add-bf73-b246e988aa78,D01,BART,BART_005,BART_005.basePlot.bgc,2014-08-19T17:34Z,NEON.DOC.014048vC,O,,,BART_005-O-24-40-20140819,,BART_005-O-24-40-20140819-CN,,BART_005-O-24-40-20140819-BA,,,,OK,,,"",20201217T042530Z,RELEASE-2021
6182b462-af6a-4d07-aa43-273135087345,D01,BART,BART_001,BART_001.basePlot.bgc,2014-08-19T18:11Z,NEON.DOC.014048vC,O,,,BART_001-O-15-1-20140819,,BART_001-O-15-1-20140819-CN,,BART_001-O-15-1-20140819-BA,,,,OK,,,"",20201217T042530Z,RELEASE-2021
445ca701-063b-4568-839c-9e5ab5c4d918,D01,BART,BART_001,BART_001.basePlot.bgc,2014-08-19T18:11Z,NEON.DOC.014048vC,M,,,BART_001-M-15-1-20140819,,BART_001-M-15-1-20140819-CN,,BART_001-M-15-1-20140819-BA,,,,OK,,,"",20201217T042530Z,RELEASE-2021
73f660e2-d81d-4b9e-82e3-300e804bd075,D01,BART,BART_001,BART_001.basePlot.bgc,2014-08-19T18:40Z,NEON.DOC.014048vC,M,,,BART_001-M-39-16-20140819,,BART_001-M-39-16-20140819-CN,,BART_001-M-39-16-20140819-BA,,,,OK,,,"",20201217T042530Z,RELEASE-2021
849f6846-b8ee-4687-ae45-1f8dfe4dbe91,D01,BART,BART_001,BART_001.basePlot.bgc,2014-08-19T18:40Z,NEON.DOC.014048vC,O,,,BART_001-O-39-16-20140819,,BART_001-O-39-16-20140819-CN,,BART_001-O-39-16-20140819-BA,,,,OK,,,"",20201217T042530Z,RELEASE-2021
a42a9506-55db-4612-bfea-587a14be3e5b,D01,BART,BART_001,BART_001.basePlot.bgc,2014-08-19T19:01Z,NEON.DOC.014048vC,M,,,BART_001-M-14-7-20140819,,BART_001-M-14-7-20140819-CN,,BART_001-M-14-7-20140819-BA,,,,OK,,,legacyData,20201217T042530Z,RELEASE-2021
0e526a3b-353d-419d-ad07-31410c4585ce,D01,BART,BART_001,BART_001.basePlot.bgc,2014-08-19T19:01Z,NEON.DOC.014048vC,O,,,BART_001-O-14-7-20140819,,BART_001-O-14-7-20140819-CN,,BART_001-O-14-7-20140819-BA,,,,OK,,,"",20201217T042530Z,RELEASE-2021
fe6b44eb-6e76-4823-a839-14909b0db13b,D01,BART,BART_006,BART_006.basePlot.bgc,2014-08-20T12:57Z,NEON.DOC.014048vC,M,,,BART_006-M-28-3-20140820,,BART_006-M-28-3-20140820-CN,,BART_006-M-28-3-20140820-BA,,,,OK,,,"",20201217T042530Z,RELEASE-2021
