uid,domainID,siteID,plotID,namedLocation,collectDate,eventID,samplingProtocolVersion,genomicsPooledIDList,genomicsSampleID,genomicsSampleCode,sampleCondition,processedBy,remarks,genomicsDataQF,publicationDate,release
8a07b655-fc04-48ce-af45-027d6400e863,D01,BART,BART_001,BART_001.basePlot.bgc,2016-07-25T16:38Z,,NEON.DOC.014048vF,BART_001-O-30-17-20160725|BART_001-O-11.5-9.5-20160725|BART_001-O-35-27-20160725,BART_001-O-20160725-COMP,,OK,ramundson@field-ops.org,,,20201217T170854Z,RELEASE-2021
b5d4fb46-0315-4073-aabe-f63f4fd20d0c,D01,BART,BART_004,BART_004.basePlot.bgc,2016-07-25T19:08Z,,NEON.DOC.014048vF,BART_004-O-18-4.5-20160725|BART_004-O-22.5-2.5-20160725|BART_004-O-2.5-34.5-20160725,BART_004-O-20160725-COMP,,OK,ramundson@field-ops.org,,,20201217T170854Z,RELEASE-2021
1d2ac466-dc74-48c5-88c5-ff272d2473f8,D01,BART,BART_042,BART_042.basePlot.bgc,2016-07-25T21:15Z,,NEON.DOC.014048vF,BART_042-O-4.5-4-20160725|BART_042-O-4-31.5-20160725|BART_042-O-33-2-20160725,BART_042-O-20160725-COMP,,OK,ramundson@field-ops.org,,,20201217T170854Z,RELEASE-2021
90895fff-c14b-471f-8bdb-a995b4d7e6d5,D01,BART,BART_003,BART_003.basePlot.bgc,2016-07-26T14:43Z,,NEON.DOC.014048vF,BART_003-O-37.5-18.5-20160726|BART_003-O-18-36.5-20160726|BART_003-O-35-25-20160726,BART_003-O-20160726-COMP,,OK,ramundson@field-ops.org,,,20201217T170854Z,RELEASE-2021
5f1c3e0f-17d6-4baf-854a-62292d514f53,D01,BART,BART_024,BART_024.basePlot.bgc,2016-07-26T17:23Z,,NEON.DOC.014048vF,BART_024-O-23.5-36-20160726|BART_024-O-36-13-20160726|BART_024-O-13-8-20160726,BART_024-O-20160726-COMP,,OK,ramundson@field-ops.org,,,20201217T170854Z,RELEASE-2021
1e825025-2a93-4fc7-88e7-bfb7a463aee5,D01,BART,BART_023,BART_023.basePlot.bgc,2016-07-26T20:00Z,,NEON.DOC.014048vF,BART_023-O-11.5-37-20160726|BART_023-O-38.5-23-20160726|BART_023-O-32-7-20160726,BART_023-O-20160726-COMP,,OK,ramundson@field-ops.org,,,20201217T170854Z,RELEASE-2021
cd470e1b-b328-48db-a14a-4cf20e5c823a,D01,BART,BART_002,BART_002.basePlot.bgc,2016-07-27T13:17Z,,NEON.DOC.014048vF,BART_002-O-12-0.5-20160727|BART_002-O-11-32.5-20160727|BART_002-O-38-10.5-20160727,BART_002-O-20160727-COMP,,OK,ramundson@field-ops.org,,,20201217T170854Z,RELEASE-2021
45fab39d-4597-4a19-ae98-9615a1243811,D01,BART,BART_036,BART_036.basePlot.bgc,2016-07-27T15:15Z,,NEON.DOC.014048vF,BART_036-O-4-9-20160727|BART_036-O-38.5-13-20160727|BART_036-O-9.5-21.5-20160727,BART_036-O-20160727-COMP,,OK,ramundson@field-ops.org,,,20201217T170854Z,RELEASE-2021
033d1c32-7686-4a70-ae5d-8f26fb3bc8ae,D01,BART,BART_071,BART_071.basePlot.bgc,2016-07-27T16:50Z,,NEON.DOC.014048vF,BART_071-O-22.5-31-20160727|BART_071-O-26.5-5.5-20160727|BART_071-O-10-3-20160727,BART_071-O-20160727-COMP,,OK,ramundson@field-ops.org,,,20201217T170854Z,RELEASE-2021
9abeebc9-52f4-4ac0-bc33-2770951c1877,D01,BART,BART_040,BART_040.basePlot.bgc,2016-07-27T18:37Z,,NEON.DOC.014048vF,BART_040-O-20-34-20160727|BART_040-O-1-18-20160727|BART_040-O-23-8-20160727,BART_040-O-20160727-COMP,,OK,ramundson@field-ops.org,,,20201217T170854Z,RELEASE-2021
