uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticSampleCondition,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release
996b7bd5-fc1c-4f83-8d9c-cd2b21f911b6,D01,BART,BART_004,BART_004.basePlot.bgc,distributed,mixedForest,,12,7,WGS84,44.041571,-71.28692,20.2,526.4,0.29,NEON.DOC.014048vC,2014-05-20T13:26Z,winterSpringTransition,,,0,No,microbes,,no incubation,,BART_004-O-12-7-20140520,,,O,,7.4,,0,5,,,1,BART_004-O-12-7-20140520-GEN,,BART_004-O-12-7-20140520-GA1,,,,,,,,,,OK,,,,"","",,20201217T042502Z,RELEASE-2021
cbabdc1b-5291-4128-be2b-f1c17e77a320,D01,BART,BART_004,BART_004.basePlot.bgc,distributed,mixedForest,,12,7,WGS84,44.041571,-71.28692,20.2,526.4,0.29,NEON.DOC.014048vC,2014-05-20T13:26Z,winterSpringTransition,,,0,No,microbes,,no incubation,,BART_004-M-12-7-20140520,,,M,,7.4,,5,31,,,1,BART_004-M-12-7-20140520-GEN,,BART_004-M-12-7-20140520-GA1,,,,,,,,,,OK,,,,M core near subsurface boulder,D01CAB21,,20201217T042502Z,RELEASE-2021
f9c3c28b-83d8-4870-a951-f23800c90148,D01,BART,BART_004,BART_004.basePlot.bgc,distributed,mixedForest,,5,26,WGS84,44.041571,-71.28692,20.2,526.4,0.29,NEON.DOC.014048vC,2014-05-20T14:07Z,winterSpringTransition,,,0,No,microbes,,no incubation,,BART_004-O-5-26-20140520,,,O,,6.4,,0,20,,,1,BART_004-O-5-26-20140520-GEN,,BART_004-O-5-26-20140520-GA1,,,,,,,,,,OK,,,,"","",,20201217T042502Z,RELEASE-2021
40f95037-b28f-4ce6-9f28-6a724d4244e6,D01,BART,BART_004,BART_004.basePlot.bgc,distributed,mixedForest,,5,26,WGS84,44.041571,-71.28692,20.2,526.4,0.29,NEON.DOC.014048vC,2014-05-20T14:07Z,winterSpringTransition,,,0,No,microbes,,no incubation,,BART_004-M-5-26-20140520,,,M,,6.4,,20,30,,,1,BART_004-M-5-26-20140520-GEN,,BART_004-M-5-26-20140520-GA1,,,,,,,,,,OK,,,,core taken within 1m of base of conifer; downslope from trunk,D01SHJ02,,20201217T042502Z,RELEASE-2021
491742c1-c948-4d0c-a627-059d20979e7a,D01,BART,BART_004,BART_004.basePlot.bgc,distributed,mixedForest,,35,24,WGS84,44.041571,-71.28692,20.2,526.4,0.29,NEON.DOC.014048vC,2014-05-20T14:40Z,winterSpringTransition,,,0,No,microbes,,no incubation,,BART_004-O-35-24-20140520,,,O,,5.9,,0,17,,,1,BART_004-O-35-24-20140520-GEN,,BART_004-O-35-24-20140520-GA1,,,,,,,,,,OK,,,,"","",,20201217T042502Z,RELEASE-2021
8f54819a-7280-42b4-bfc4-d51a585bf008,D01,BART,BART_004,BART_004.basePlot.bgc,distributed,mixedForest,,35,24,WGS84,44.041571,-71.28692,20.2,526.4,0.29,NEON.DOC.014048vC,2014-05-20T14:40Z,winterSpringTransition,,,0,No,microbes,,no incubation,,BART_004-M-35-24-20140520,,,M,,5.9,,17,32,,,1,BART_004-M-35-24-20140520-GEN,,BART_004-M-35-24-20140520-GA1,,,,,,,,,,OK,,,,core collected <1m downslope of 3 conifers,D01CAB21,,20201217T042502Z,RELEASE-2021
1123ffcd-5927-49ba-a33e-8ed5f9c21653,D01,BART,BART_006,BART_006.basePlot.bgc,distributed,deciduousForest,,17,9,WGS84,44.0605,-71.3109,20.1,432.7,0.21,NEON.DOC.014048vC,2014-05-20T17:50Z,winterSpringTransition,,,0,No,microbes,,no incubation,,BART_006-M-17-9-20140520,,,M,,8.4,,3,28,,,1,BART_006-M-17-9-20140520-GEN,,BART_006-M-17-9-20140520-GA1,,,,,,,,,,OK,,,,core location downslope of beech dominant area; large boulders prevelent in area; near notch utilized for flashy stream currently not flowing,D01SHJ02,,20201217T042502Z,RELEASE-2021
045795d0-41b9-4da1-bd30-fe5ee0906a02,D01,BART,BART_006,BART_006.basePlot.bgc,distributed,deciduousForest,,17,9,WGS84,44.0605,-71.3109,20.1,432.7,0.21,NEON.DOC.014048vC,2014-05-20T17:50Z,winterSpringTransition,,,0,No,microbes,,no incubation,,BART_006-O-17-9-20140520,,,O,,8.4,,0,3,,,1,BART_006-O-17-9-20140520-GEN,,BART_006-O-17-9-20140520-GA1,,,,,,,,,,OK,,,,"","",,20201217T042502Z,RELEASE-2021
d35f911f-b723-4320-b805-12890836d585,D01,BART,BART_006,BART_006.basePlot.bgc,distributed,deciduousForest,,29,37,WGS84,44.0605,-71.3109,20.1,432.7,0.21,NEON.DOC.014048vC,2014-05-20T18:20Z,winterSpringTransition,,,0,No,microbes,,no incubation,,BART_006-O-29-37-20140520,,,O,,8.1,,0,7,,,1,BART_006-O-29-37-20140520-GEN,,BART_006-O-29-37-20140520-GA1,,,,,,,,,,OK,,,,"","",,20201217T042502Z,RELEASE-2021
a3cee16f-69eb-4ad2-966b-241f40f5027a,D01,BART,BART_006,BART_006.basePlot.bgc,distributed,deciduousForest,,29,37,WGS84,44.0605,-71.3109,20.1,432.7,0.21,NEON.DOC.014048vC,2014-05-20T18:20Z,winterSpringTransition,,,0,No,microbes,,no incubation,,BART_006-M-29-37-20140520,,,M,,8.1,,7,34,,,1,BART_006-M-29-37-20140520-GEN,,BART_006-M-29-37-20140520-GA1,,,,,,,,,,OK,,,,core taken 50cm NE of given xy to avoid boulder; core location downslope <1m of large boulder in beech dominant stand,D01CAB21,,20201217T042502Z,RELEASE-2021
