uid,domainID,siteID,plotID,namedLocation,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,smRemarks,smMeasuredBy,smDataQF,publicationDate,release
e1a6003c-cfa7-45bb-bbd1-8739b3d29e62,D01,BART,BART_004,BART_004.basePlot.bgc,2014-05-20T13:26Z,BART_004-O-12-7-20140520,,BART_004-O-12-7-20140520-SM,NEON.DOC.014048vC,O,"","",2.1,7,3.33,2.984,0.251,"",,legacyData,20201217T042502Z,RELEASE-2021
ab1f2562-1e4c-4506-9f19-fb28f9f16097,D01,BART,BART_004,BART_004.basePlot.bgc,2014-05-20T13:26Z,BART_004-M-12-7-20140520,,BART_004-M-12-7-20140520-SM,NEON.DOC.014048vC,M,"","",2.13,12.62,9.73,0.38,0.724,Dup pH in h2o: 4.57; Dup pH_CaCl2: 3.49; QC: No error EME,,legacyData,20201217T042502Z,RELEASE-2021
d93ff9d8-ab7a-44bd-9ad8-679c19d30710,D01,BART,BART_004,BART_004.basePlot.bgc,2014-05-20T14:07Z,BART_004-M-5-26-20140520,,BART_004-M-5-26-20140520-SM,NEON.DOC.014048vC,M,"","",2.11,12.03,9.99,0.259,0.794,"",,legacyData,20201217T042502Z,RELEASE-2021
e244fa70-55b7-4dd5-94bb-f0acc85f9e01,D01,BART,BART_004,BART_004.basePlot.bgc,2014-05-20T14:07Z,BART_004-O-5-26-20140520,,BART_004-O-5-26-20140520-SM,NEON.DOC.014048vC,O,"","",2.11,7.59,5.05,0.864,0.536,Dup pH in h2o: 4.49; Dup pH_CaCl2: 3.36,,legacyData,20201217T042502Z,RELEASE-2021
bee37f2f-b75a-410d-be67-ea4d1272a572,D01,BART,BART_004,BART_004.basePlot.bgc,2014-05-20T14:40Z,BART_004-M-35-24-20140520,,BART_004-M-35-24-20140520-SM,NEON.DOC.014048vC,M,"","",2.13,12.66,10.01,0.336,0.748,"",,legacyData,20201217T042502Z,RELEASE-2021
78b72d4e-1831-47b5-bd00-e3a486a7dce0,D01,BART,BART_004,BART_004.basePlot.bgc,2014-05-20T14:40Z,BART_004-O-35-24-20140520,,BART_004-O-35-24-20140520-SM,NEON.DOC.014048vC,O,"","",2.15,12.6,5.77,1.887,0.346,Dup pH in h20: 4.10; Dup pH_CaCl2: 3.12,,legacyData,20201217T042502Z,RELEASE-2021
60439db0-1cc9-4b2d-be5f-084ee7058e62,D01,BART,BART_006,BART_006.basePlot.bgc,2014-05-20T17:50Z,BART_006-O-17-9-20140520,,BART_006-O-17-9-20140520-SM,NEON.DOC.014048vC,O,"","",2.15,7.18,4.58,1.07,0.483,"",,legacyData,20201217T042502Z,RELEASE-2021
f2f45cd6-97ca-4f6f-8964-ee8860bd2137,D01,BART,BART_006,BART_006.basePlot.bgc,2014-05-20T17:50Z,BART_006-M-17-9-20140520,,BART_006-M-17-9-20140520-SM,NEON.DOC.014048vC,M,"","",2.16,12.8,12.25,0.055,0.948,"",,legacyData,20201217T042502Z,RELEASE-2021
8b4f26ee-735d-4e37-bcc8-9f0a365ef9f1,D01,BART,BART_006,BART_006.basePlot.bgc,2014-05-20T18:20Z,BART_006-O-29-37-20140520,,BART_006-O-29-37-20140520-SM,NEON.DOC.014048vC,O,"","",2.17,7.13,3.61,2.444,0.29,"",,legacyData,20201217T042502Z,RELEASE-2021
73866a4a-843a-46c0-b6cb-f2c3ab949621,D01,BART,BART_006,BART_006.basePlot.bgc,2014-05-20T18:20Z,BART_006-M-29-37-20140520,,BART_006-M-29-37-20140520-SM,NEON.DOC.014048vC,M,"","",2.17,12.88,10.37,0.306,0.766,"",,legacyData,20201217T042502Z,RELEASE-2021
8cc5137f-318e-48c9-8a7e-13a9213a00d8,D01,BART,BART_006,BART_006.basePlot.bgc,2014-05-20T18:40Z,BART_006-O-9-11-20140520,,BART_006-O-9-11-20140520-SM,NEON.DOC.014048vC,O,"","",2.18,7.21,3.23,3.79,0.209,"",,legacyData,20201217T042502Z,RELEASE-2021
5d7ebc38-c941-4194-9c83-8d6bd6d8ea2f,D01,BART,BART_006,BART_006.basePlot.bgc,2014-05-20T18:40Z,BART_006-M-9-11-20140520,,BART_006-M-9-11-20140520-SM,NEON.DOC.014048vC,M,"","",2.17,12.82,6.9,1.252,0.444,"",,legacyData,20201217T042502Z,RELEASE-2021
111b110b-5bb9-4cd3-88ab-e7ee2e136bce,D01,BART,BART_028,BART_028.basePlot.bgc,2014-05-20T19:50Z,BART_028-M-2-33-20140520,,BART_028-M-2-33-20140520-SM,NEON.DOC.014048vC,M,"","",2.14,12.13,9.9,0.287,0.777,Dup pH in h2o: 3.96; Dup pH_CaCl2:3.09; QC: No error EME,,legacyData,20201217T042502Z,RELEASE-2021
aef79d41-0067-4c54-bf54-91e20ce88c0c,D01,BART,BART_028,BART_028.basePlot.bgc,2014-05-20T19:50Z,BART_028-M-15-33-20140520,,BART_028-M-15-33-20140520-SM,NEON.DOC.014048vC,M,"","",2.11,12.5,10.58,0.227,0.815,"",,legacyData,20201217T042502Z,RELEASE-2021
d9243a58-31b1-45da-96c2-bad2214b63b2,D01,BART,BART_028,BART_028.basePlot.bgc,2014-05-20T19:50Z,BART_028-O-2-33-20140520,,BART_028-O-2-33-20140520-SM,NEON.DOC.014048vC,O,"","",2.14,7.19,3.39,3.04,0.248,"",,legacyData,20201217T042502Z,RELEASE-2021
b5330510-b274-43c8-8338-11fb55de5a69,D01,BART,BART_028,BART_028.basePlot.bgc,2014-05-20T19:50Z,BART_028-O-15-33-20140520,,BART_028-O-15-33-20140520-SM,NEON.DOC.014048vC,O,"","",2.16,7.64,4.28,1.585,0.387,Not enough soil remaining for pH water,,legacyData,20201217T042502Z,RELEASE-2021
7765c7d2-f5ee-461b-b415-d5816ef15b80,D01,BART,BART_028,BART_028.basePlot.bgc,2014-05-20T20:10Z,BART_028-O-21-39-20140520,,BART_028-O-21-39-20140520-SM,NEON.DOC.014048vC,O,"","",2.15,7.26,3.6,2.524,0.284,"",,legacyData,20201217T042502Z,RELEASE-2021
76929547-2c34-4943-a981-645aba2dbda6,D01,BART,BART_028,BART_028.basePlot.bgc,2014-05-20T20:10Z,BART_028-M-21-39-20140520,,BART_028-M-21-39-20140520-SM,NEON.DOC.014048vC,M,"","",2.13,12.28,10.17,0.262,0.792,"",,legacyData,20201217T042502Z,RELEASE-2021
