uid,domainID,siteID,plotID,namedLocation,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF,publicationDate,release
48a0abae-1528-47e6-b15a-6ff49d29b641,D01,BART,BART_004,BART_004.basePlot.bgc,2014-05-20T13:26Z,,BART_004-O-12-7-20140520,,BART_004-O-12-7-20140520-PH,NEON.DOC.014048vC,O,4.49,3.29,,,,,,,"",,legacyData,20201217T042502Z,RELEASE-2021
72272dac-5d90-4501-ba86-39cf24a47178,D01,BART,BART_004,BART_004.basePlot.bgc,2014-05-20T13:26Z,,BART_004-M-12-7-20140520,,BART_004-M-12-7-20140520-PH,NEON.DOC.014048vC,M,4.54,3.52,,,,,,,Dup pH in h2o: 4.57; Dup pH_CaCl2: 3.49; QC: No error EME,,legacyData,20201217T042502Z,RELEASE-2021
b89c2cee-5c33-472c-83a8-9d38929fa949,D01,BART,BART_004,BART_004.basePlot.bgc,2014-05-20T14:07Z,,BART_004-O-5-26-20140520,,BART_004-O-5-26-20140520-PH,NEON.DOC.014048vC,O,4.51,3.32,,,,,,,Dup pH in h2o: 4.49; Dup pH_CaCl2: 3.36,,legacyData,20201217T042502Z,RELEASE-2021
6c654d35-98e5-4e9a-9434-b950581836f2,D01,BART,BART_004,BART_004.basePlot.bgc,2014-05-20T14:07Z,,BART_004-M-5-26-20140520,,BART_004-M-5-26-20140520-PH,NEON.DOC.014048vC,M,4.19,3.11,,,,,,,"",,legacyData,20201217T042502Z,RELEASE-2021
49d0fcca-a186-48cf-99e1-f03c7281f1b1,D01,BART,BART_004,BART_004.basePlot.bgc,2014-05-20T14:40Z,,BART_004-M-35-24-20140520,,BART_004-M-35-24-20140520-PH,NEON.DOC.014048vC,M,4.01,2.97,,,,,,,"",,legacyData,20201217T042502Z,RELEASE-2021
150ef509-be0d-4bd7-ae11-fd26886f59cd,D01,BART,BART_004,BART_004.basePlot.bgc,2014-05-20T14:40Z,,BART_004-O-35-24-20140520,,BART_004-O-35-24-20140520-PH,NEON.DOC.014048vC,O,4.19,3.09,,,,,,,Dup pH in h20: 4.10; Dup pH_CaCl2: 3.12,,legacyData,20201217T042502Z,RELEASE-2021
f7bad1eb-3f85-4fa9-bcb4-7e7fd9c23704,D01,BART,BART_006,BART_006.basePlot.bgc,2014-05-20T17:50Z,,BART_006-M-17-9-20140520,,BART_006-M-17-9-20140520-PH,NEON.DOC.014048vC,M,4.51,3.86,,,,,,,"",,legacyData,20201217T042502Z,RELEASE-2021
bb6f3cc7-937c-4636-8dcd-d6a8da499e27,D01,BART,BART_006,BART_006.basePlot.bgc,2014-05-20T17:50Z,,BART_006-O-17-9-20140520,,BART_006-O-17-9-20140520-PH,NEON.DOC.014048vC,O,4.48,3.16,,,,,,,"",,legacyData,20201217T042502Z,RELEASE-2021
e9fd054c-34a2-4117-993d-908a31a95b92,D01,BART,BART_006,BART_006.basePlot.bgc,2014-05-20T18:20Z,,BART_006-M-29-37-20140520,,BART_006-M-29-37-20140520-PH,NEON.DOC.014048vC,M,4.65,3.65,,,,,,,"",,legacyData,20201217T042502Z,RELEASE-2021
25e54d37-ec24-496d-8b69-78568c1ea734,D01,BART,BART_006,BART_006.basePlot.bgc,2014-05-20T18:20Z,,BART_006-O-29-37-20140520,,BART_006-O-29-37-20140520-PH,NEON.DOC.014048vC,O,4.57,3.5,,,,,,,"",,legacyData,20201217T042502Z,RELEASE-2021
