uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,groupID,taxonID,scientificName,taxonRank,identificationReferences,identificationQualifier,volumePercent,livePercent,deadPercent,canopyArea,meanHeight,remarks,measuredBy,recordedBy,dataQF,publicationDate,release
1454f3af-3a90-4613-ac42-44516204333f,HARV_023.basePlot.vst,2015-09-24,vst_HARV_2015,D01,HARV,HARV_023,31,1,31 _0,PIST,Pinus strobus L.,species,,,4,100,0,9.2,1.66,"",dcrandall@neoninc.org,dcrandall@neoninc.org,legacyData,20220104T182709Z,RELEASE-2022
8e27c5de-a28b-40df-9664-9f5c68c61ade,HARV_023.basePlot.vst,2015-09-24,vst_HARV_2015,D01,HARV,HARV_023,31,1,31 _0,BETH,Berberis thunbergii DC.,species,,,93,95,5,9.2,1.66,"",dcrandall@neoninc.org,dcrandall@neoninc.org,legacyData,20220104T182709Z,RELEASE-2022
19a34197-3dbb-48c2-9167-1b5dd63d3132,HARV_023.basePlot.vst,2015-09-24,vst_HARV_2015,D01,HARV,HARV_023,31,1,31 _0,ILEX,Ilex sp.,genus,,,3,100,0,9.2,1.66,"",dcrandall@neoninc.org,dcrandall@neoninc.org,legacyData,20220104T182709Z,RELEASE-2022
3d150b39-7fc1-4c72-8f1e-34d5242b82a0,HARV_023.basePlot.vst,2015-09-24,vst_HARV_2015,D01,HARV,HARV_023,41,4,41 _0,BETH,Berberis thunbergii DC.,species,,,100,50,50,3.8,1.5,Entered 99.9 for %volumeOfGroup because a value of 100 was not acceptable.,dcrandall@neoninc.org,dcrandall@neoninc.org,legacyData,20220104T182709Z,RELEASE-2022
6d2952c7-dd87-480a-9c95-580c7bc1e0b5,HARV_023.basePlot.vst,2019-09-12,vst_HARV_2019,D01,HARV,HARV_023,31,1,31_01,BETH,Berberis thunbergii DC.,species,"Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,100,100,0,5,1.76,,0000-0002-1884-3191,0000-0003-1933-3182,,20220104T175306Z,RELEASE-2022
d5ab65dd-2483-4e4f-b8ae-461fb1aa129f,HARV_023.basePlot.vst,2019-09-18,vst_HARV_2019,D01,HARV,HARV_023,41,4,41_01,BETH,Berberis thunbergii DC.,species,"Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,100,100,0,5,1.34,,0000-0002-1884-3191,0000-0001-6846-5179,,20220104T175306Z,RELEASE-2022
b2901728-f137-4244-84ec-9579a279f9b3,SERC_003.basePlot.vst,2016-09-20,vst_SERC_2016,D02,SERC,SERC_003,32,,32_01,BETH,Berberis thunbergii DC.,species,,"",75,100,0,4,1.86,,goyola@field-ops.org,jledvina@field-ops.org,,20220104T173034Z,RELEASE-2022
27ebe011-e533-432e-ac44-1c6c0166768d,SERC_003.basePlot.vst,2016-09-20,vst_SERC_2016,D02,SERC,SERC_003,41,,41_01,BETH,Berberis thunbergii DC.,species,,"",100,100,0,2,1.16,,goyola@field-ops.org,jledvina@field-ops.org,,20220104T173034Z,RELEASE-2022
fcccd1a2-acaf-4d54-875d-b419da83c966,SERC_003.basePlot.vst,2016-09-20,vst_SERC_2016,D02,SERC,SERC_003,31,1,31_01,RUAL,Rubus allegheniensis Porter,species,,cf. species,100,40,60,7,2.24,,goyola@field-ops.org,jledvina@field-ops.org,,20220104T173034Z,RELEASE-2022
48a5ab1b-1ab5-43ea-a173-782c4074a899,SERC_003.basePlot.vst,2016-09-20,vst_SERC_2016,D02,SERC,SERC_003,32,,32_01,ROMU,Rosa multiflora Thunb.,species,,"",25,100,0,4,1.86,,goyola@field-ops.org,jledvina@field-ops.org,,20220104T173034Z,RELEASE-2022
77766cb3-52d3-417c-a23d-43ad00faee83,SERC_055.basePlot.vst,2016-10-19,vst_SERC_2016,D02,SERC,SERC_055,41,4,41_01,LIST2,Liquidambar styraciflua L.,species,,,20,100,0,2.3,1.34,,rcumberland@field-ops.org,jledvina@field-ops.org,,20220104T180614Z,RELEASE-2022
e5541843-9306-4b71-aeee-228efb0e0dcf,SERC_055.basePlot.vst,2016-10-19,vst_SERC_2016,D02,SERC,SERC_055,41,4,41_01,CACA18,Carpinus caroliniana Walter,species,,,15,100,0,2.3,1.34,,rcumberland@field-ops.org,jledvina@field-ops.org,,20220104T180614Z,RELEASE-2022
2efa1572-b064-4f44-be4e-be40379999ad,SERC_055.basePlot.vst,2016-10-19,vst_SERC_2016,D02,SERC,SERC_055,41,4,41_01,ROMU,Rosa multiflora Thunb.,species,,,30,65,35,2.3,1.34,,rcumberland@field-ops.org,jledvina@field-ops.org,,20220104T180614Z,RELEASE-2022
7062f2d1-03c3-481a-a989-1c628106acdc,SERC_055.basePlot.vst,2016-10-19,vst_SERC_2016,D02,SERC,SERC_055,41,4,41_01,LIBE3,Lindera benzoin (L.) Blume,species,,,35,100,0,2.3,1.34,,rcumberland@field-ops.org,jledvina@field-ops.org,,20220104T180614Z,RELEASE-2022
b82b0209-b582-4ff1-ac2f-8bebab0c5a72,SERC_055.basePlot.vst,2016-10-19,vst_SERC_2016,D02,SERC,SERC_055,41,1,41_02,ROMU,Rosa multiflora Thunb.,species,,,100,60,40,13.5,1.48,,rcumberland@field-ops.org,jledvina@field-ops.org,,20220104T180614Z,RELEASE-2022
