uid,namedLocation,domainID,siteID,plotID,collectDate,processedDate,sampleMaterial,geneticSampleID,laboratoryName,dnaSampleID,dnaSampleCode,internalLabID,testProtocolVersion,nucleicAcidConcentration,inhibitorRemovalRequired,targetGene,targetTaxonGroup,meanCopyNumber,copyNumberStandardDeviation,processedBy,reviewedBy,remarks,publicationDate,release
5b086f10-a9c9-4d83-840e-75b5c0e4a831,BART_004.basePlot.bgc,D01,BART,BART_004,2014-05-20T14:07Z,2017-11-30,soil,BART_004-M-5-26-20140520-GEN,Battelle Applied Genomics,BART_004-M-5-26-20140520-GEN-DNA2,,BMI_Plate8WellB2,BMI_qPCR_SOP_v2,6.7,N,16S,bacteria and archaea,0,0,RuY12me+ipXsVfwMkNlv9w==,rxnG2CiGqmsXuq9UmDA7Eg==,,20201217T034115Z,RELEASE-2021
04f84f65-3631-4f29-85e7-faf51f09f2d5,BART_004.basePlot.bgc,D01,BART,BART_004,2014-05-20T14:07Z,2017-12-04,soil,BART_004-O-5-26-20140520-GEN,Battelle Applied Genomics,BART_004-O-5-26-20140520-GEN-DNA2,,BMI_Plate8WellE10,BMI_qPCR_SOP_v2,30,N,ITS,fungi,0,0,EpO2CC/Vy5KjYJtL/EDmQw==,rxnG2CiGqmsXuq9UmDA7Eg==,,20201217T034115Z,RELEASE-2021
e78c7ef0-6ad1-457e-b578-41cd7f7f9410,BART_004.basePlot.bgc,D01,BART,BART_004,2014-05-20T14:07Z,2017-11-30,soil,BART_004-M-5-26-20140520-GEN,Battelle Applied Genomics,BART_004-M-5-26-20140520-GEN-DNA2,,BMI_Plate8WellB2,BMI_qPCR_SOP_v2,6.7,N,ITS,fungi,0,0,RuY12me+ipXm0I2ck7Euxg==,rxnG2CiGqmsXuq9UmDA7Eg==,,20201217T034115Z,RELEASE-2021
43c23c78-857e-4844-9969-747c39d90842,BART_004.basePlot.bgc,D01,BART,BART_004,2014-05-20T14:07Z,2017-12-04,soil,BART_004-O-5-26-20140520-GEN,Battelle Applied Genomics,BART_004-O-5-26-20140520-GEN-DNA2,,BMI_Plate8WellE10,BMI_qPCR_SOP_v2,30,N,16S,bacteria and archaea,0,0,EpO2CC/Vy5KjYJtL/EDmQw==,rxnG2CiGqmsXuq9UmDA7Eg==,,20201217T034115Z,RELEASE-2021
6c78ef17-4b58-4b81-8e70-612bb5430653,BART_004.basePlot.bgc,D01,BART,BART_004,2014-05-20T14:40Z,2017-12-04,soil,BART_004-M-35-24-20140520-GEN,Battelle Applied Genomics,BART_004-M-35-24-20140520-GEN-DNA2,,BMI_Plate8WellC11,BMI_qPCR_SOP_v2,4.4,N,16S,bacteria and archaea,0,0,EpO2CC/Vy5KjYJtL/EDmQw==,rxnG2CiGqmsXuq9UmDA7Eg==,,20201217T034115Z,RELEASE-2021
76c9e03d-a787-48c1-aef2-e78296e37010,BART_004.basePlot.bgc,D01,BART,BART_004,2014-06-19T19:45Z,2018-10-01,soil,BART_004-M-11-0-20140619-GEN,Battelle Applied Genomics,BART_004-M-11-0-20140619-GEN-DNA2,,BMI_Plate8WellB9,BMI_qPCR_SOP_v6,13,N,ITS,fungi,0,0,lB45gbSpt1q8OAN0xuPdmQ==,RuY12me+ipXm0I2ck7Euxg==,1:10 dilution; included in calculations,20201217T034124Z,RELEASE-2021
96cae871-5dbf-476d-99bc-466a9fdda6d8,BART_028.basePlot.bgc,D01,BART,BART_028,2014-07-22T18:46Z,2018-09-06,soil,BART_028-M-0-30-20140722-GEN,Battelle Applied Genomics,BART_028-M-0-30-20140722-GEN-DNA1,,BMI_Plate21WellA5,BMI_qPCR_SOP_v6,22,N,ITS,fungi,3.8,0.3,EpO2CC/Vy5I3b0iPNY4OiQ==,RuY12me+ipXm0I2ck7Euxg==,1:10 dilution; included in calculations,20201217T034138Z,RELEASE-2021
cbec70d9-fd4b-4bd3-988d-7a76fd1fc9c0,BART_028.basePlot.bgc,D01,BART,BART_028,2014-07-22T18:46Z,2018-09-06,soil,BART_028-O-0-30-20140722-GEN,Battelle Applied Genomics,BART_028-O-0-30-20140722-GEN-DNA1,,BMI_Plate21WellA3,BMI_qPCR_SOP_v6,13,N,16S,bacteria and archaea,35963.2,2183.3,EpO2CC/Vy5I3b0iPNY4OiQ==,RuY12me+ipXm0I2ck7Euxg==,1:100 dilution; included in calculations,20201217T034138Z,RELEASE-2021
64f8d3cf-b7cd-4108-8644-a0375f6a94c3,BART_028.basePlot.bgc,D01,BART,BART_028,2014-07-22T18:46Z,2018-09-06,soil,BART_028-O-0-30-20140722-GEN,Battelle Applied Genomics,BART_028-O-0-30-20140722-GEN-DNA1,,BMI_Plate21WellA3,BMI_qPCR_SOP_v6,13,N,ITS,fungi,7.2,1.1,EpO2CC/Vy5I3b0iPNY4OiQ==,RuY12me+ipXm0I2ck7Euxg==,1:10 dilution; included in calculations,20201217T034138Z,RELEASE-2021
5d3f48a5-83bb-4771-9e95-afb658b9d47e,BART_028.basePlot.bgc,D01,BART,BART_028,2014-07-22T18:46Z,2018-09-06,soil,BART_028-M-0-30-20140722-GEN,Battelle Applied Genomics,BART_028-M-0-30-20140722-GEN-DNA1,,BMI_Plate21WellA5,BMI_qPCR_SOP_v6,22,N,16S,bacteria and archaea,11512.8,961.7,EpO2CC/Vy5I3b0iPNY4OiQ==,RuY12me+ipXm0I2ck7Euxg==,1:100 dilution; included in calculations,20201217T034138Z,RELEASE-2021
