"","genus","majorGroup"
"1","Fagus","A"
"2","Acer","A"
"3","Picea","G"
"4","Betula","A"
"5","Tsuga","G"
"6","Fraxinus","A"
"7","Abies","G"
"8","Viburnum","A"
"9","Populus","A"
"10","Quercus","A"
"11","Prunus","A"
"12","Hamamelis","A"
"13","Ostrya","A"
"14","Tilia","A"
"15","Pinus","G"
"16","Pinus","A"
"17","Ulmus","A"
"18","Taxus","G"
"19","Taxus","A"
"20","Kalmia","A"
"21","Vaccinium","A"
"22","Castanea","A"
"23","Lindera","A"
"24","Crataegus","A"
"25","Corylus","A"
"26","Ilex","A"
"27","Berberis","A"
"28","Cornus","A"
"29","Amelanchier","A"
"30","Comptonia","A"
"31","Lonicera","A"
"32","Carpinus","A"
"33","Gaylussacia","A"
"34","Carya","A"
"35","Spiraea","A"
"36","Toxicodendron","A"
"37","Lyonia","A"
"38","Nyssa","A"
"39","Sorbus","A"
"40","Sambucus","A"
"41","Prenanthes","A"
"42","Rhododendron","A"
"43","Vitis","A"
"44","Liquidambar","A"
"45","Liriodendron","A"
"46","Platanus","A"
"47","Sassafras","A"
"48","Celastrus","A"
"49","Rosa","A"
"50","Robinia","A"
"51","Aralia","A"
"52","Asimina","A"
"53","Parthenocissus","A"
"54","Paulownia","A"
"55","Diospyros","A"
"56","Juniperus","G"
"57","Elaeagnus","A"
"58","Ailanthus","A"
"59","Campsis","A"
"60","Rubus","A"
"61","Symphoricarpos","A"
"62","Celtis","A"
"63","Euonymus","A"
"64","Hedera","A"
"65","Dirca","A"
"66","Alnus","A"
"67","Larix","G"
"68","Thuja","G"
"69","Ribes","A"
"70","Oxydendrum","A"
"71","Cercis","A"
"72","Frangula","A"
"73","Magnolia","A"
"74","Rhus","A"
"75","Ligustrum","A"
"76","Pyrus","A"
"77","Morus","A"
"78","Cocculus","A"
"79","Bignonia","A"
"80","Berchemia","A"
"81","Melia","A"
"82","Callicarpa","A"
"83","Hackelia","A"
"84","Ditrysinia","A"
"85","Brunnichia","A"
"86","Cephalanthus","A"
"87","Planera","A"
"88","Triadica","A"
"89","Taxodium","G"
"90","Ampelopsis","A"
"91","Monarda","A"
"92","Gleditsia","A"
"93","Malus","A"
"94","Symplocos","A"
"95","Sideroxylon","A"
"96","Salix","A"
"97","Smilax","A"
"98","Itea","A"
"99","Conopholis","A"
"100","Hibiscus","A"
"101","Halesia","A"
"102","Wisteria","A"
"103","Poncirus","A"
"104","Forestiera","A"
