"","siteID","plotID","taxonID","genus","species","sumBA","mycType","majorGroup","totalBAbyPlot","speciesDominance"
"1","BART","BART_032","ACRU","Acer","rubrum",1.34303635719678,"A","A",2.97402874082711,45.1588224000575
"2","BART","BART_032","ACSAS","Acer","saccharum",0.0413983371926795,"A","A",2.97402874082711,1.39199519575477
"3","BART","BART_032","BEPAC2","Betula","papyrifera",0.132025431267111,"E","A",2.97402874082711,4.43927893011529
"4","BART","BART_032","BEPAP","Betula","papyrifera",0.262590807348466,"E","A",2.97402874082711,8.82946434725566
"5","BART","BART_032","FAGR","Fagus","grandifolia",0.510076837218473,"E","A",2.97402874082711,17.1510392692646
"6","BART","BART_032","PICEA","Picea","sp.",0.057140857979818,"E","G",2.97402874082711,1.92132837169309
"7","BART","BART_032","PIST","Pinus","strobus",0.612366308621193,"E","G",2.97402874082711,20.5904637105453
"8","BART","BART_032","TSCA","Tsuga","canadensis",0.01539380400259,"E","G",2.97402874082711,0.517607775313859
"9","BART","BART_033","ACRU","Acer","rubrum",0.589116166790138,"A","A",2.18080801172222,27.0136648262266
"10","BART","BART_033","ACSAS","Acer","saccharum",0.470052161413575,"A","A",2.18080801172222,21.5540368013582
"11","BART","BART_033","BEAL2","Betula","alleghaniensis",0.173008292831353,"E","A",2.18080801172222,7.93321979291178
"12","BART","BART_033","FAGR","Fagus","grandifolia",0.785962079278768,"E","A",2.18080801172222,36.0399482693609
"13","BART","BART_033","FRAM2","Fraxinus","americana",0.134614103613669,"A","A",2.18080801172222,6.1726709958004
"14","BART","BART_033","TSCA","Tsuga","canadensis",0.0280552077947202,"E","G",2.18080801172222,1.28645931434214
"15","BART","BART_034","ACRU","Acer","rubrum",0.89223273397175,"A","A",3.38929702414922,26.3250086261093
"16","BART","BART_034","BEAL2","Betula","alleghaniensis",0.292929167604183,"E","A",3.38929702414922,8.64277062520696
"17","BART","BART_034","FAGR","Fagus","grandifolia",0.692630073929595,"E","A",3.38929702414922,20.4358033242442
"18","BART","BART_034","FRAM2","Fraxinus","americana",0.196152405910349,"A","A",3.38929702414922,5.78740678414242
"19","BART","BART_034","PICEA","Picea","sp.",0.122388595802224,"E","G",3.38929702414922,3.61103187269183
"20","BART","BART_034","TSCA","Tsuga","canadensis",1.19296404693112,"E","G",3.38929702414922,35.1979787676053
"21","BART","BART_036","ABIES","Abies","sp.",0.00041547562843725,"E","G",2.15129824652889,0.0193127860866162
"22","BART","BART_036","ACRU","Acer","rubrum",0.578510149991619,"A","A",2.15129824652889,26.8912109664498
"23","BART","BART_036","BEAL2","Betula","alleghaniensis",0.261789701221801,"E","A",2.15129824652889,12.1689171477826
"24","BART","BART_036","BEPAP","Betula","papyrifera",0.0824479576008105,"E","A",2.15129824652889,3.8324745410749
"25","BART","BART_036","FAGR","Fagus","grandifolia",0.933820352121808,"E","A",2.15129824652889,43.407293880731
"26","BART","BART_036","PICEA","Picea","sp.",0.035382187261055,"E","G",2.15129824652889,1.64469000605304
"27","BART","BART_036","TSCA","Tsuga","canadensis",0.258932422703361,"E","G",2.15129824652889,12.0361006718221
"28","BART","BART_037","ACRU","Acer","rubrum",0.213862349096798,"A","A",2.84132394014866,7.52685556457913
"29","BART","BART_037","ACSAS","Acer","saccharum",1.09705122321703,"A","A",2.84132394014866,38.6105648748952
"30","BART","BART_037","BEAL2","Betula","alleghaniensis",0.212240501889383,"E","A",2.84132394014866,7.46977487819562
"31","BART","BART_037","FAGR","Fagus","grandifolia",0.830748624148344,"E","A",2.84132394014866,29.2380820225968
"32","BART","BART_037","FRAM2","Fraxinus","americana",0.283686602017322,"A","A",2.84132394014866,9.98431041278873
"33","BART","BART_037","TSCA","Tsuga","canadensis",0.203734639779788,"E","G",2.84132394014866,7.17041224694459
"34","BART","BART_039","ACPE","Acer","pensylvanicum",0.0152115916286818,"A","A",2.74678713401684,0.553795794377291
"35","BART","BART_039","ACRU","Acer","rubrum",0.47112344450845,"A","A",2.74678713401684,17.1518003224185
"36","BART","BART_039","ACSAS","Acer","saccharum",0.0716314540945009,"A","A",2.74678713401684,2.60782691193652
"37","BART","BART_039","BEAL2","Betula","alleghaniensis",0.18481125643089,"E","A",2.74678713401684,6.72827006294538
"38","BART","BART_039","FAGR","Fagus","grandifolia",0.947328415134081,"E","A",2.74678713401684,34.4885995497121
"39","BART","BART_039","PICEA","Picea","sp.",0.00393248860413102,"E","G",2.74678713401684,0.143166849568727
"40","BART","BART_039","TSCA","Tsuga","canadensis",1.0527484836161,"E","G",2.74678713401684,38.3265405090415
"41","BART","BART_040","ACRU","Acer","rubrum",1.66982011263421,"A","A",2.80889642077831,59.4475503006097
"42","BART","BART_040","ACSAS","Acer","saccharum",0.493796318689407,"A","A",2.80889642077831,17.5797268648512
"43","BART","BART_040","BEAL2","Betula","alleghaniensis",0.17064031736871,"E","A",2.80889642077831,6.07499500894475
"44","BART","BART_040","FAGR","Fagus","grandifolia",0.267202665363936,"E","A",2.80889642077831,9.51272761029393
"45","BART","BART_040","FRAM2","Fraxinus","americana",0.129472101837906,"A","A",2.80889642077831,4.60935835441134
"46","BART","BART_040","FRPE","Fraxinus","pennsylvanica",0.0169716689128555,"A","A",2.80889642077831,0.604211276261758
