"","CAMSno","plotID","Site","Plot","fraction","d13C","fractionModern","fMerror","d14C","del14Cerror","X14C.age","X14Cageerror","yr","decayRate","turnoverTime"
"1",187535,"BART_032","BART","032","HF",-26.3,0.9961,0.004,-12.4,4,"modern",NA,"2021",0.0308951562126836,32.3675333801828
"2",187536,"BART_033","BART","033","HF",-26.6,1.0016,0.0038,-6.9,3.8,"modern",NA,"2021",-0.0757227531147916,-13.2060702875403
"3",187537,"BART_034","BART","034","HF",-26.1,0.9796,0.0039,-28.7,3.9,"165",35,"2021",0.0058085893121008,172.158840342997
"4",187538,"BART_036","BART","036","HF",-26.3,1.0172,0.004,8.5,4,">modern",NA,"2021",-0.00715368753885576,-139.788045615416
"5",187539,"BART_040","BART","040","HF",-26.6,0.9659,0.0039,-42.4,3.9,"280",35,"2021",0.00342633521186415,291.857024536702
"6",187540,"BART_071","BART","071","HF",-26.2,0.9801,0.0039,-28.3,3.9,"160",35,"2021",0.00595757303512846,167.853586368738
"7",187496,"BART_042","BART","042","HF",-26.2,0.9566,0.0026,-51.6,2.6,"355",25,"2021",0.00266619990980741,375.065649174158
"8",187541,"DELA_004","DELA","004","HF",-26,0.991,0.004,-17.5,4,"75",35,"2021",0.0133193554023359,75.0787083753785
"9",187542,"DELA_014","DELA","014","HF",-26.5,0.9561,0.0038,-52,3.8,"360",35,"2021",0.00263445545907611,379.58508524213
"10",187543,"DELA_038","DELA","038","HF",-26.1,0.9722,0.0039,-36.1,3.9,"225",35,"2021",0.00423021930828386,236.394363299733
"11",187544,"DELA_041","DELA","041","HF",-26.5,0.9654,0.0039,-42.9,3.9,"285",35,"2021",0.00337507367897015,296.289828050549
"12",187497,"DELA_001","DELA","001","HF",-26.4,0.9194,0.0025,-88.4,2.5,"675",25,"2021",0.00137981709094216,724.733739395258
"13",187498,"DELA_002","DELA","002","HF",-26.6,0.8991,0.0024,-108.6,2.4,"855",25,"2021",0.00107787622777607,927.750305861417
"14",187499,"DELA_037","DELA","037","HF",-26.6,0.9204,0.0024,-87.5,2.4,"665",25,"2021",0.00139867111048164,714.964363320296
"15",187545,"HARV_001","HARV","001","HF",-26.7,0.9741,0.0039,-34.2,3.9,"210",35,"2021",0.00454941800048852,219.808335899805
"16",187546,"HARV_004","HARV","004","HF",-26.4,1.0219,0.0039,13.2,3.9,">modern",NA,"2021",-0.00564438133018277,-177.16733535571
"17",187547,"HARV_010","HARV","010","HF",-26.6,1.0185,0.0041,9.8,4.1,">modern",NA,"2021",-0.00665949607524545,-150.161512027491
"18",187548,"HARV_016","HARV","016","HF",-26.9,0.9729,0.0039,-35.4,3.9,"220",35,"2021",0.0043426114677259,230.276184602734
"19",187549,"HARV_021","HARV","021","HF",-26.9,0.9964,0.004,-12.2,4,"modern",NA,"2021",0.0334798328024403,29.8687274187077
