"","plotID","Site","Plot.x","mg.total.soil..aim.5000.","Total.N","field_mean_annual_temperature_C","field_mean_annual_precipitation_mm","field_domint_plant_species","CDI","pct.N.soil_FLF","pct.N.soil_OLF","pct.N.soil_HF","pct.C.soil_FLF","pct.C.soil_OLF","pct.C.soil_HF","C.N_FLF","C.N_OLF","C.N_HF","Sample.mass_FLF","Sample.mass_OLF","Sample.mass_HF","fraction.mass_FLF","fraction.mass_OLF","fraction.mass_HF","Total.fractions.mass_FLF","Total.fractions.mass_OLF","Total.fractions.mass_HF","Total.C_FLF","Total.C_OLF","Total.C_HF","mg.C_FLF","mg.C_OLF","mg.C_HF","mg.N_FLF","mg.N_OLF","mg.N_HF","mg.C.per.g.soil_FLF","mg.C.per.g.soil_OLF","mg.C.per.g.soil_HF","mg.N.per.g.soil_FLF","mg.N.per.g.soil_OLF","mg.N.per.g.soil_HF","proportion.C_FLF","proportion.C_OLF","proportion.C_HF","proportion.N_FLF","proportion.N_OLF","proportion.N_HF","CAMSno","Site.y","Plot.y","fraction","d13C","fractionModern","fMerror","d14C","del14Cerror","X14C.age","X14Cageerror","yr","decayRate","turnoverTime","fractionAngiosperm","plotBA","A","E","B","ER","Fe....","FeOx","meanNitrogenPercent","meanOrganicCarbonPercent","meanCNratio","meanorganicd13C","meand15N"
"1","BART_032","BART","032",5048.9,11.289493,6.2,1325,"Fagus grandifolia (American beech)|Tsuga cadensis (Eastern hemlock)|Acer rubrum (Red maple)",0.509652458,0.672328923357664,1.10046062992126,0.184,17.4214461678832,31.0020078740157,3.73,25.9120879120879,28.1718464351006,20.2,10.355,10.736,34.865,219.2,101.6,4727,5047.8,5047.8,5047.8,246.00295,246.00295,246.00295,38.18781,31.49804,176.3171,1.473745,1.118068,8.69768,7.56359008893026,6.23859454534651,34.9218839747272,0.291894274000277,0.221447840123591,1.72268811028145,0.155233138464396,0.128039277577769,0.716727583957835,0.130541291801146,0.0990361568938481,0.770422551305005,187535,"BART","032","HF",-26.3,0.9961,0.004,-12.4,4,"modern",NA,"2021",0.0308951562126836,32.3675333801828,0.769706001424478,2.97402874082711,0.465508175958122,0.534491824041878,0,0,0.64,6.397283951,0.176666666666667,3.92666666666667,21.9333333333333,-27.5333333333333,7.2
"2","BART_033","BART","033",5223.2,9.509199,6.2,1325,"Fagus grandifolia (American beech)|Tsuga cadensis (Eastern hemlock)|Acer rubrum (Red maple)",0.509652458,0.640740139211137,0.740670644391408,0.17,17.6588863109049,22.1853460620525,3.28,27.5601374570447,29.9530516431925,19.3,10.218,22.787,34.94,86.2,41.9,5086.2,5214.3,5214.3,5214.3,191.34498,191.34498,191.34498,15.22196,9.29566,166.82736,0.552318,0.310341,8.64654,2.91429774850666,1.77968678204932,31.9396844846071,0.105743222545566,0.059415875325471,1.65541047633635,0.0795524397870276,0.0485806316946491,0.871866928518323,0.058082494645448,0.0326358718541909,0.909281633500361,187536,"BART","033","HF",-26.6,1.0016,0.0038,-6.9,3.8,"modern",NA,"2021",-0.0757227531147916,-13.2060702875403,0.987135406856579,2.18080801172222,0.547403726233852,0.452596273766148,0,0,0.66,6.588748188,0.243333333333333,5.77333333333333,23.3666666666667,-26.8666666666667,6.76666666666667
"3","BART_034","BART","034",5053.4,9.331645,6.2,1325,"Fagus grandifolia (American beech)|Tsuga cadensis (Eastern hemlock)|Acer rubrum (Red maple)",0.509652458,0.619756421612046,0.869820588235294,0.149,20.2075509300266,30.6546470588235,3.28,32.6056338028169,35.2424942263279,22,10.006,10.753,35.081,225.8,102,4728.2,5056,5056,5056,231.98135,231.98135,231.98135,45.62865,31.26774,155.08496,1.39941,0.887217,7.045018,9.02929710689832,6.18746586456643,30.6892310127835,0.276924446907033,0.17556833023311,1.39411445759291,0.196691027101963,0.13478557651294,0.668523396385097,0.149963913114997,0.0950761628844646,0.754959924000538,187537,"BART","034","HF",-26.1,0.9796,0.0039,-28.7,3.9,"165",35,"2021",0.0058085893121008,172.158840342997,0.611909893597029,3.38929702414922,0.321124154102517,0.678875845897483,0,0,0.55,5.475959135,0.35,8.3625,24.075,-27.4,5.325
"4","BART_036","BART","036",5359.3,7.886712,6.2,1325,"Fagus grandifolia (American beech)|Tsuga cadensis (Eastern hemlock)|Acer rubrum (Red maple)",0.509652458,0.767595419847328,0.855136842105263,0.118,22.8555452562704,25.9402105263158,2.2,29.7755102040816,30.3345724907063,18.6,10.165,21.978,34.982,183.4,47.5,5146.4,5377.3,5377.3,5377.3,167.45947,167.45947,167.45947,41.91707,12.3216,113.2208,1.40777,0.40619,6.072752,7.82137032821451,2.29910622655944,21.1260425801877,0.262677961674099,0.0757916145765305,1.13312410202825,0.250311732146292,0.073579595110387,0.676108672743321,0.178498973970395,0.0515030851893666,0.769997940840239,187538,"BART","036","HF",-26.3,1.0172,0.004,8.5,4,">modern",NA,"2021",-0.00715368753885576,-139.788045615416,0.862998965360382,2.15129824652889,0.268912109664498,0.731087890335502,0,0,0.32,3.20271581,0.23,5.54666666666667,23.7666666666667,-26.1666666666667,5.9
"5","BART_040","BART","040",5122.7,8.347431,6.2,1325,"Fagus grandifolia (American beech)|Tsuga cadensis (Eastern hemlock)|Acer rubrum (Red maple)",0.509652458,0.725727525486561,0.850058690744921,0.145,18.3577849860982,27.8593453724605,3.03,25.2956989247312,32.7734375,20.9,9.689,21.857,34.838,107.9,44.3,4957.1,5109.3,5109.3,5109.3,182.34987,182.34987,182.34987,19.80805,12.34169,150.20013,0.78306,0.376576,7.187795,3.86672067464423,2.40921584320768,29.3205009077244,0.152860796064575,0.0735112343100318,1.40312628106272,0.108626619805103,0.0676813753692284,0.823692004825668,0.093808502280522,0.045112801770988,0.86107869594849,187539,"BART","040","HF",-26.6,0.9659,0.0039,-42.4,3.9,"280",35,"2021",0.00342633521186415,291.857024536702,0.982748005115762,2.80889642077831,0.822775876734077,0.177224123265923,0,0,0.86,8.586287543,0.19,4.35666666666667,22.4666666666667,-26.8333333333333,6.1
"6","BART_042","BART","042",5108.8,2.883089,6.2,1325,"Fagus grandifolia (American beech)|Tsuga cadensis (Eastern hemlock)|Acer rubrum (Red maple)",0.509652458,0.286548913043478,0.521153203342618,0.051,8.97853260869565,15.1471866295265,0.83,31.3333333333333,29.0647482014388,16.3,10.144,20.175,36.216,36.8,35.9,5079.5,5152.2,5152.2,5152.2,50.90179,50.90179,50.90179,3.3041,5.43784,42.15985,0.10545,0.187094,2.590545,0.646746789852803,1.06440651424992,8.25239782336361,0.0206408549953022,0.0366219072972127,0.507075046977764,0.0649112732577774,0.10683003485732,0.828258691884902,0.0365753537265065,0.0648935915609959,0.898531054712498,187496,"BART","042","HF",-26.2,0.9566,0.0026,-51.6,2.6,"355",25,"2021",0.00266619990980741,375.065649174158,0.729934287475332,3.31047367907249,0.484490012635746,0.515509987364254,0,0,0.32,3.196896217,0.256666666666667,5.69666666666667,21.1333333333333,-30.2333333333333,4.53333333333333
"7","BART_071","BART","071",5132.9,6.07226,6.2,1325,"Fagus grandifolia (American beech)|Tsuga cadensis (Eastern hemlock)|Acer rubrum (Red maple)",0.509652458,0.724252941176471,0.898809651474531,0.104,17.1852352941176,33.9263806970509,1.76,23.7282229965157,37.7459016393443,17,10.265,20.375,36.116,68,37.3,5042.8,5148.1,5148.1,5148.1,113.09378,113.09378,113.09378,11.68596,12.65454,88.75328,0.492492,0.335256,5.244512,2.27667790138129,2.46537824621559,17.2910596349042,0.0959480995148941,0.0653151240039744,1.02174443297161,0.103329820614361,0.111894217347762,0.784775962037877,0.0811052227671411,0.0552110746246043,0.863683702608255,187540,"BART","071","HF",-26.2,0.9801,0.0039,-28.3,3.9,"160",35,"2021",0.00595757303512846,167.853586368738,0.758266669176998,2.37778430030598,0.408679271832202,0.591320728167798,0,0,0.35,3.503944773,0.17,5.4,31.3666666666667,-27.8333333333333,2.83333333333333
"8","DELA_001","DELA","001",5310.4,2.756553,17.6,1372,"Quercus nigra (Water oak)|Celtis laevigata (Sugarberry)|Acer rubrum (Red maple)",1.191923992,0.267225388601036,0.794023255813953,0.048,7.6140932642487,15.0446511627907,0.48,28.4931506849315,18.9473684210526,9.9,9.848,20.671,34.849,38.6,17.2,5243.4,5299.2,5299.2,5299.2,30.69504,30.69504,30.69504,2.93904,2.58768,25.16832,0.103149,0.136572,2.516832,0.553449834287436,0.487285326905694,4.73943959023802,0.0194239605302802,0.0257178366978005,0.473943959023802,0.0957496716081817,0.0843028710827547,0.819947457309064,0.0374195598633511,0.0495444854497628,0.913035954686886,187497,"DELA","001","HF",-26.4,0.9194,0.0025,-88.4,2.5,"675",25,"2021",0.00137981709094216,724.733739395258,1,1.51611062347386,0.932396450010672,0.0671373186100917,0.000466231379236748,0,0.36,3.552538964,0.05,0.59125,12.15,-27.1125,5.5375
"9","DELA_002","DELA","002",5411.2,7.454405,17.6,1372,"Quercus nigra (Water oak)|Celtis laevigata (Sugarberry)|Acer rubrum (Red maple)",1.191923992,0.911746411483254,0.389117647058824,0.125,15.5921850079745,15.9638009049774,1.22,17.1014492753623,41.025641025641,9.8,10.1,23.493,35.12,62.7,44.2,5368.6,5475.5,5475.5,5475.5,82.32922,82.32922,82.32922,9.7763,7.056,65.49692,0.571665,0.17199,6.71075,1.8066787403903,1.30396215257244,12.1039547604967,0.105644773802484,0.0317840774689533,1.24015929923122,0.118746418343329,0.0857046866228054,0.795548895033865,0.0766882132108465,0.0230722639835104,0.900239522805643,187498,"DELA","002","HF",-26.6,0.8991,0.0024,-108.6,2.4,"855",25,"2021",0.00107787622777607,927.750305861417,1,0.761851926458793,0.544844436197192,0.455155563802808,0,0,0.88,8.766055227,0.13,1.31333333333333,9.88333333333333,-26.05,7.58333333333333
"10","DELA_004","DELA","004",5255.9,8.958541,17.6,1372,"Quercus nigra (Water oak)|Celtis laevigata (Sugarberry)|Acer rubrum (Red maple)",1.191923992,0.910228494623656,0.747984939759036,0.165,25.342876344086,20.7228614457831,1.61,27.8423236514523,27.7049180327869,9.7,9.646,20.609,34.93,37.2,33.2,5073.7,5144.1,5144.1,5144.1,97.99411,97.99411,97.99411,9.42755,6.87999,81.68657,0.338605,0.248331,8.371605,1.79370802336422,1.30900321543408,15.541880553283,0.0644237904069712,0.0472480450541296,1.59280142316254,0.0962052719290986,0.0702081992478936,0.833586528823008,0.0377968912571813,0.0277200271785328,0.934483081564286,187541,"DELA","004","HF",-26,0.991,0.004,-17.5,4,"75",35,"2021",0.0133193554023359,75.0787083753785,1,1.04873509900114,0.660271805920956,0.339728194079043,0,0,0.86,8.646983968,0.143333333333333,1.525,10.55,-25.8,6.5
