uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release
44c4c83c-2cff-4546-9115-ec2d98b24aec,2017-03-30,BART_071.basePlot.ltr,D01,BART,BART_071,tower,2016-09-19T16:00Z,2016-10-10T16:00Z,NEON.LTR.BART071.20161010.LVS,NEON.LTR.BART071.20161010.LVS.CN,,vegetation,N,-2.5,-28.8,0.5,50.9,111.4,OK,OK,,,2,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211221T214309Z,RELEASE-2022
c0b83db5-7005-4803-b638-74677b4c38f4,2017-03-30,BART_041.basePlot.ltr,D01,BART,BART_041,tower,2016-09-19T16:00Z,2016-10-10T16:00Z,NEON.LTR.BART041.20161010.NDL,NEON.LTR.BART041.20161010.NDL.CN,,vegetation,N,-1.7,-28.9,0.5,53.1,107,OK,OK,,,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211221T214309Z,RELEASE-2022
a18ce39b-d133-4770-9f92-7085ae962914,2017-03-30,BART_039.basePlot.ltr,D01,BART,BART_039,tower,2016-09-19T16:00Z,2016-10-10T16:00Z,NEON.LTR.BART039.20161010.NDL,NEON.LTR.BART039.20161010.NDL.CN,,vegetation,N,-3.1,-31.5,0.4,51.7,118.4,OK,OK,,,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211221T214309Z,RELEASE-2022
2619cd2e-efe1-455f-9b16-e2616feb6143,2017-03-30,BART_032.basePlot.ltr,D01,BART,BART_032,tower,2016-09-19T16:00Z,2016-10-10T16:00Z,NEON.LTR.BART032.20161010.LVS,NEON.LTR.BART032.20161010.LVS.CN,,vegetation,N,-2.6,-28.7,0.5,50.6,98.4,OK,OK,,,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211221T214309Z,RELEASE-2022
be5dabb3-1b95-47ac-bfc6-168bac7d8a19,2017-03-30,BART_032.basePlot.ltr,D01,BART,BART_032,tower,2016-09-19T16:00Z,2016-10-10T16:00Z,NEON.LTR.BART032.20161010.NDL,NEON.LTR.BART032.20161010.NDL.CN,,vegetation,N,2.6,-28.4,0.5,53,102.7,OK,OK,,,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211221T214309Z,RELEASE-2022
398f30b9-aff4-4189-8f42-3624c71dca00,2017-03-30,BART_039.basePlot.ltr,D01,BART,BART_039,tower,2016-09-19T16:00Z,2016-10-10T16:00Z,NEON.LTR.BART039.20161010.LVS,NEON.LTR.BART039.20161010.LVS.CN,,vegetation,N,-2.4,-27.4,0.5,50.4,97.3,OK,OK,,,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211221T214309Z,RELEASE-2022
68dc78e1-bd8c-40c7-8c86-b81960ca3ef5,2017-03-30,BART_041.basePlot.ltr,D01,BART,BART_041,tower,2016-09-19T16:00Z,2016-10-10T16:00Z,NEON.LTR.BART041.20161010.LVS,NEON.LTR.BART041.20161010.LVS.CN,,vegetation,N,-2.9,-28.2,0.6,50.6,81.8,OK,OK,,,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211221T214309Z,RELEASE-2022
353c6bbb-6cd3-40d8-b724-bfb0fc243d19,2017-03-30,BART_034.basePlot.ltr,D01,BART,BART_034,tower,2016-09-19T16:00Z,2016-10-10T16:00Z,NEON.LTR.BART034.20161010.LVS,NEON.LTR.BART034.20161010.LVS.CN,,vegetation,N,-4,-28.3,0.5,50.9,98.7,OK,OK,,,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211221T214309Z,RELEASE-2022
74a1bd8e-67ca-46cb-8368-cc6c13aa3741,2017-03-30,BART_071.basePlot.ltr,D01,BART,BART_071,tower,2016-09-19T16:00Z,2016-10-10T16:00Z,NEON.LTR.BART071.20161010.LVS,NEON.LTR.BART071.20161010.LVS.CN,,vegetation,N,-2.4,-28.9,0.4,50.8,113.8,OK,OK,,,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211221T214309Z,RELEASE-2022
d8535cad-9d74-4a15-9e70-ed74569cb2af,2017-03-30,BART_073.basePlot.ltr,D01,BART,BART_073,tower,2016-09-19T16:00Z,2016-10-10T16:00Z,NEON.LTR.BART073.20161010.LVS,NEON.LTR.BART073.20161010.LVS.CN,,vegetation,N,-3.6,-28.7,0.4,50.3,116.9,OK,OK,,,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211221T214309Z,RELEASE-2022
03b93fe3-bfb4-4fc4-8892-485a1428fa3e,2017-03-31,BART_073.basePlot.ltr,D01,BART,BART_073,tower,2016-09-19T16:00Z,2016-10-10T16:00Z,NEON.LTR.BART073.20161010.NDL,NEON.LTR.BART073.20161010.NDL.CN,,vegetation,N,-1.8,-30.6,0.5,51.7,108.4,OK,OK,,,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211221T214309Z,RELEASE-2022
d15440e8-3c2f-408a-90e0-9f7fa9294cb7,2017-03-30,BART_071.basePlot.ltr,D01,BART,BART_071,tower,2016-09-19T16:00Z,2016-10-10T16:00Z,NEON.LTR.BART071.20161010.NDL,NEON.LTR.BART071.20161010.NDL.CN,,vegetation,N,1.9,-29.7,0.4,52.7,118.1,OK,OK,,,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211221T214309Z,RELEASE-2022
196db352-7d2c-4193-a56a-5a590bf8b11f,2017-03-30,BART_033.basePlot.ltr,D01,BART,BART_033,tower,2016-09-19T16:00Z,2016-10-11T16:00Z,NEON.LTR.BART033.20161011.NDL,NEON.LTR.BART033.20161011.NDL.CN,,vegetation,N,-1.5,-30.9,0.5,50.4,105.8,OK,OK,,,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211221T214309Z,RELEASE-2022
638d3882-be53-42ab-be4f-aacf4f0e638a,2017-03-30,BART_033.basePlot.ltr,D01,BART,BART_033,tower,2016-09-19T16:00Z,2016-10-11T16:00Z,NEON.LTR.BART033.20161011.LVS,NEON.LTR.BART033.20161011.LVS.CN,,vegetation,N,-3.8,-28.8,0.6,49.5,86.1,OK,OK,,,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211221T214309Z,RELEASE-2022
46fa31ee-41eb-4940-9885-640f9b4806c3,2017-03-30,BART_051.basePlot.ltr,D01,BART,BART_051,tower,2016-09-20T16:00Z,2016-10-10T16:00Z,NEON.LTR.BART051.20161010.LVS,NEON.LTR.BART051.20161010.LVS.CN,,vegetation,N,-2.9,-28.1,0.5,49.3,99.6,OK,OK,,,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211221T214309Z,RELEASE-2022
05a22fe1-8063-4752-96fd-d853fb09faad,2017-03-30,BART_047.basePlot.ltr,D01,BART,BART_047,tower,2016-09-20T16:00Z,2016-10-10T16:00Z,NEON.LTR.BART047.20161010.NDL,NEON.LTR.BART047.20161010.NDL.CN,,vegetation,N,-1.6,-30.5,0.5,51.2,109.8,OK,OK,,,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211221T214309Z,RELEASE-2022
31b16bf4-224e-4b97-8cf6-ee31a14363f2,2017-03-30,BART_040.basePlot.ltr,D01,BART,BART_040,tower,2016-09-20T16:00Z,2016-10-10T16:00Z,NEON.LTR.BART040.20161010.LVS,NEON.LTR.BART040.20161010.LVS.CN,,vegetation,N,-2.5,-28.5,0.6,49.6,89.8,OK,OK,,,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211221T214309Z,RELEASE-2022
ba13d1dd-3f83-44b8-a12e-39dfc513f96a,2017-03-30,BART_047.basePlot.ltr,D01,BART,BART_047,tower,2016-09-20T16:00Z,2016-10-10T16:00Z,NEON.LTR.BART047.20161010.LVS,NEON.LTR.BART047.20161010.LVS.CN,,vegetation,N,-3.1,-28.7,0.6,49.6,85.5,OK,OK,,,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20211221T214309Z,RELEASE-2022
