uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF,publicationDate,release,cactiPresent,cactiAbsentList,fernsPresent,fernsAbsentList,yuccasPresent,yuccasAbsentList,palmsPresent,palmsAbsentList,ocotillosPresent,ocotillosAbsentList,xerophyllumPresent,xerophyllumAbsentList,nestedSubplotAreaOther,totalSampledAreaOther
1e467a92-3c86-4786-b12c-559782ef80af,BART_012.basePlot.vst,2014-08-05,D01,BART,BART_012,distributed,deciduousForest,44.046097,-71.316312,WGS84,20.3,314433.83,4879601.29,19N,556.9,0.4,,vst_BART_2014,,,,NEON.DOC.000987vD,,,,,,,,,,10,noneSelected,400,80,400,"",D01JRS08,,legacyData,20220104T173618Z,RELEASE-2022,,,,,,,,,,,,,,
900d1ab1-5d24-42d7-aa5a-904a0f7feffb,BART_001.basePlot.vst,2014-08-13,D01,BART,BART_001,distributed,mixedForest,44.047079,-71.306661,WGS84,20.3,315210.06,4879688.67,19N,467.7,0.6,,vst_BART_2014,,,,NEON.DOC.000987vD,,,,,,,,,,noneSelected,noneSelected,400,400,400,QC: NO ERRORS,D01NIH14,,legacyData,20220104T173618Z,RELEASE-2022,,,,,,,,,,,,,,
16458a54-1c6f-40b5-90d8-2ac8fbabd1fd,BART_005.basePlot.vst,2014-08-27,D01,BART,BART_005,distributed,mixedForest,44.054614,-71.282188,WGS84,20.3,317193.86,4880470.98,19N,306.9,0.4,,vst_BART_2014,,,,NEON.DOC.000987vD,,,,,,,,,,noneSelected,noneSelected,400,400,400,"",D01JRS08,,legacyData,20220104T173618Z,RELEASE-2022,,,,,,,,,,,,,,
f6037c79-3594-48b6-b001-133c595d793e,BART_001.basePlot.vst,2015-08-17,D01,BART,BART_001,distributed,mixedForest,44.047079,-71.306661,WGS84,20.3,315210.06,4879688.67,19N,467.7,0.6,,vst_BART_2015,,,,NEON.DOC.000987vD,,,,,,,,,,10,noneSelected,400,80,400,,ramundson@field-ops.org,cgoranson@neoninc.org,legacyData,20220104T173020Z,RELEASE-2022,,,,,,,,,,,,,,
f6cda891-89b4-43b9-8940-7650968c35b1,BART_044.basePlot.vst,2015-08-26,D01,BART,BART_044,tower,deciduousForest,44.061036,-71.284327,WGS84,20.1,317042.31,4881189.03,19N,303.1,0.2,,vst_BART_2015,,,,NEON.DOC.000987vD,,,,,,,,,,100,noneSelected,800,400,800,,ramundson@field-ops.org,ramundson@field-ops.org,legacyData,20220104T173020Z,RELEASE-2022,,,,,,,,,,,,,,
d14f8d0b-05d1-44a2-8773-624010ebda11,BART_037.basePlot.vst,2015-08-27,D01,BART,BART_037,tower,deciduousForest,44.061598,-71.283244,WGS84,20.2,317130.78,4881249.05,19N,290.6,0.2,,vst_BART_2015,,,,NEON.DOC.000987vD,,,,,,,,,,100,noneSelected,800,400,800,,ccahill@field-ops.org,gvanscoy@field-ops.org,legacyData,20220104T173020Z,RELEASE-2022,,,,,,,,,,,,,,
3505f967-3fbb-4ce4-aa99-29504cb6c8de,BART_073.basePlot.vst,2015-08-27,D01,BART,BART_073,tower,mixedForest,44.064774,-71.288616,WGS84,20.1,316710.32,4881613.76,19N,274.9,0.2,,vst_BART_2015,,,,NEON.DOC.000987vD,,,,,,,,,,25,noneSelected,800,100,800,,ramundson@field-ops.org,cgoranson@field-ops.org,legacyData,20220104T173020Z,RELEASE-2022,,,,,,,,,,,,,,
0e1f105f-581d-4f02-b488-b03b1a4db3fd,BART_074.basePlot.vst,2015-08-27,D01,BART,BART_074,tower,mixedForest,44.060251,-71.2832,WGS84,20.1,317130.15,4881099.34,19N,311.2,0.2,,vst_BART_2015,,,,NEON.DOC.000987vD,,,,,,,,,,25,noneSelected,800,100,800,,ssmith@neoninc.org,ramundson@field-ops.org,legacyData,20220104T173020Z,RELEASE-2022,,,,,,,,,,,,,,
07bc0e75-17e4-40f1-9844-a256aae02be0,BART_075.basePlot.vst,2015-08-31,D01,BART,BART_075,tower,mixedForest,44.059141,-71.286492,WGS84,20.3,316863.06,4880983.36,19N,297,0.4,,vst_BART_2015,,,,NEON.DOC.000987vD,,,,,,,,,,100,noneSelected,800,400,800,,ccahill@field-ops.org,ramundson@field-ops.org,legacyData,20220104T173020Z,RELEASE-2022,,,,,,,,,,,,,,
fdba4d28-c11a-4972-b518-17d6f7e19636,BART_042.basePlot.vst,2015-08-31,D01,BART,BART_042,tower,deciduousForest,44.060194,-71.288052,WGS84,20.2,316741.36,4881103.79,19N,288.3,0.2,,vst_BART_2015,,,,NEON.DOC.000987vD,,,,,,,,,,100,noneSelected,800,400,800,,ehardiman@field-ops.org,gvanscoy@field-ops.org,legacyData,20220104T173020Z,RELEASE-2022,,,,,,,,,,,,,,
